# Constructed from biom file
#OTU ID	OL-16S-1a	OL-16S-1b	OL-16S-2a	OL-16S-2b	OL-16S-3a	OL-16S-3b	OL-16S-4a	OL-16S-4b
7a67662a35c24ad02e1a9c553f695752	328.0	301.0	359.0	367.0	0.0	0.0	0.0	0.0
76cc4e4423fe1d58c82a861e79323bd7	317.0	276.0	369.0	369.0	0.0	0.0	0.0	0.0
2e06738ba1ef7e3f75f0ed55e95a2bb8	261.0	261.0	331.0	341.0	0.0	0.0	0.0	0.0
e2fc9fa8e63d8276f399c93709e08fd5	231.0	283.0	308.0	305.0	0.0	0.0	0.0	0.0
c3caa6e2a48f3f2ab0b049512dc8ccda	245.0	274.0	305.0	291.0	0.0	0.0	0.0	0.0
f1ba05821c5f68be8c7b9ecdac04497b	247.0	233.0	285.0	313.0	0.0	0.0	0.0	0.0
a94a729130e76c26abd07844436fdeb5	239.0	236.0	259.0	299.0	0.0	0.0	0.0	0.0
391bf0e54f28aa990e4fb379aeb1e27b	261.0	241.0	271.0	257.0	0.0	0.0	0.0	0.0
8145f5e16c5514889a111411946fdce1	179.0	251.0	238.0	269.0	0.0	0.0	0.0	0.0
a179e3415f06dd7c5c01716613869de8	205.0	214.0	258.0	246.0	0.0	0.0	0.0	0.0
d9b68c2801789e5033af524e9579bc6c	0.0	0.0	0.0	0.0	152.0	90.0	119.0	130.0
e3a9f12464238cd45ef04be10f3221cc	0.0	0.0	0.0	0.0	132.0	76.0	122.0	111.0
6f1acc90123cbf55ff12a937e937378f	0.0	0.0	0.0	0.0	157.0	94.0	83.0	102.0
5867104194c871f7bcbf25f8a84e01f9	0.0	0.0	0.0	0.0	129.0	63.0	103.0	108.0
615c84c753ad586852541e8d7c4a56a2	45.0	45.0	49.0	64.0	47.0	26.0	39.0	35.0
2114195f7deaec4ce89b00725659cabf	57.0	38.0	38.0	50.0	48.0	31.0	44.0	39.0
2384db2d6d49bf5aa86c9a23542b4f39	75.0	55.0	82.0	101.0	0.0	0.0	0.0	0.0
7483ba9c65f3060172cad674add02163	0.0	0.0	0.0	0.0	145.0	0.0	0.0	151.0
30409ab8de31707cb4bd8310b08e40d4	0.0	0.0	0.0	0.0	77.0	105.0	0.0	71.0
f342c8d7070cb66e871be0c9d05ff96e	44.0	51.0	45.0	51.0	22.0	0.0	12.0	24.0
1508ed417c566944af90f460dfae298c	35.0	34.0	53.0	46.0	23.0	0.0	40.0	10.0
11a50f916fbeebd53a431e8470460a14	0.0	0.0	0.0	0.0	112.0	0.0	0.0	126.0
216fe8337c03cae9ed97652a9258ad62	25.0	61.0	59.0	72.0	0.0	0.0	0.0	0.0
58a58486e709fa496dd18a6ef65143f8	0.0	97.0	107.0	0.0	0.0	0.0	0.0	0.0
5a66bdde7cceb85406a90baaaa7569b5	0.0	0.0	0.0	0.0	58.0	0.0	55.0	89.0
d0cd7a58b82ebe8aca394ba8fe8b7917	30.0	39.0	23.0	42.0	65.0	0.0	0.0	0.0
acc5e4c9c2d47752676a21e7b1538a76	104.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0
4b4b7c840d08128c0d56f51b17c2962a	46.0	77.0	65.0	0.0	0.0	0.0	0.0	0.0
2c85718b65504152b771bdcdecb47332	0.0	0.0	0.0	0.0	51.0	71.0	64.0	0.0
bd786103272d12037e5554bdd0eae589	0.0	0.0	0.0	0.0	45.0	62.0	40.0	31.0
eee88cac1501937235073af05ace1427	109.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0
602256abe201bd47abeafa91db0e2499	0.0	92.0	0.0	77.0	0.0	0.0	0.0	0.0
79df7438686fcd4adbd56a8cd92847ea	0.0	0.0	0.0	0.0	166.0	0.0	0.0	0.0
935ef60f7423e7669e69b6bd0212f4f7	0.0	0.0	0.0	0.0	0.0	68.0	39.0	59.0
a765b3c2110496dff8576d1e0048b447	52.0	0.0	95.0	18.0	0.0	0.0	0.0	0.0
a0aa0417f7eff21c194651c53cafdb58	75.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0
26d1fdcb438006fa2f903da310c1fbc3	71.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0
41a16213fe9d7430ff86dddb8cf64656	64.0	0.0	65.0	32.0	0.0	0.0	0.0	0.0
474cbb4a4164aa210757188706628396	0.0	99.0	0.0	62.0	0.0	0.0	0.0	0.0
37e8ead35ba2e7fd71ce6f59a5657a11	16.0	16.0	58.0	70.0	0.0	0.0	0.0	0.0
1e66eb11077b8b80e21f48b5bff68704	45.0	63.0	27.0	24.0	0.0	0.0	0.0	0.0
dc5f817a927fafc2ca08dbcc2f9f246b	0.0	0.0	0.0	0.0	0.0	0.0	75.0	84.0
f8c0a524de1089bba610ccd739344b6d	102.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
