# Constructed from biom file
#OTU ID	Ocean-lake-1a	Ocean-lake-1b	Ocean-lake-2a	Ocean-lake-2b	Ocean-lake-3a	Ocean-lake-3b	Ocean-lake-4a	Ocean-lake-4b
580f28aa5d1f44a43a6dfff991ec40d1	58850.0	59121.0	68237.0	78651.0	116.0	144.0	83.0	117.0
00d87d56475b26569d129f896e82aa2a	0.0	0.0	0.0	0.0	19670.0	30384.0	4731.0	6603.0
b443bc86139d20e266f08bcf24cf751a	18097.0	17432.0	6233.0	7004.0	0.0	0.0	0.0	0.0
4f979d7eedec737a4aaafc26652f6bf2	2507.0	2575.0	0.0	0.0	5078.0	7931.0	10777.0	12323.0
0f3cd48f1c94814b7154f25164019d34	6552.0	6662.0	4939.0	6188.0	370.0	709.0	986.0	1224.0
11b9d90019b1ad2132d54d18269e8cfe	59.0	59.0	42.0	43.0	2888.0	4531.0	5830.0	7120.0
4f4c9cb45479dbc207642b01c955e0fa	0.0	0.0	0.0	0.0	4906.0	7588.0	3741.0	3220.0
61c878583bedcc18b949cb09ccdb4204	24.0	30.0	18.0	31.0	1981.0	3037.0	5189.0	6596.0
641eb4995a896167800364fac0199771	32.0	25.0	0.0	0.0	1999.0	2801.0	4745.0	6138.0
36e18a0abb8e178aacb6b8d60e81cdeb	0.0	0.0	0.0	0.0	1869.0	2929.0	4435.0	5941.0
362a6ba72853b7391b69a89202880f19	0.0	0.0	0.0	0.0	1680.0	2874.0	4507.0	5556.0
18413b6284bf33c6689416d6fc6156a8	0.0	0.0	0.0	0.0	527.0	805.0	5843.0	6716.0
1117c553b9addd9abc1068b71be7c2a9	2413.0	2569.0	3701.0	4323.0	42.0	64.0	122.0	97.0
18a9d6afc3c93243247135d371538854	0.0	0.0	0.0	0.0	752.0	1103.0	4568.0	5677.0
37fdd165ca93286fc92698d3a3e23472	0.0	0.0	0.0	0.0	0.0	0.0	5392.0	6625.0
12a76450d16948a8424ab366731f715d	3054.0	3051.0	2398.0	2852.0	0.0	37.0	75.0	88.0
888a360f6f9c93019e3683c917a5a30f	3273.0	3293.0	1953.0	2791.0	0.0	0.0	0.0	0.0
9851e629ac302bd5ac2de6dc0f3b8cca	0.0	0.0	0.0	0.0	4370.0	6717.0	82.0	91.0
c0691781ea88ce1153419a83c817d0ec	0.0	0.0	0.0	0.0	826.0	1247.0	5190.0	3995.0
67a34e4295d4d78881313a76a07e63fc	3793.0	3693.0	1155.0	1614.0	0.0	0.0	0.0	0.0
96eb04954a27c2d0e361d61815afbca1	0.0	0.0	0.0	0.0	762.0	1123.0	3799.0	4552.0
ed8ee19647172dcfc8ed815c2911fe66	0.0	0.0	0.0	0.0	942.0	1467.0	3282.0	4264.0
b0c5b9aafe4462cc72c6e96c60040d26	2176.0	2260.0	2526.0	2934.0	0.0	0.0	0.0	0.0
79fc87d51594551637b3c9a1b628b4c8	2084.0	2318.0	2202.0	2562.0	40.0	89.0	72.0	121.0
c451188af73f722c8e4008ea7e58628f	2360.0	2426.0	2091.0	2449.0	0.0	0.0	0.0	0.0
d28a43868d75da51cd2bc954d2708d37	1663.0	1540.0	1721.0	1880.0	193.0	272.0	438.0	497.0
5cf8c03e23441ef96ea64d4f8b542ff3	2293.0	2387.0	1597.0	1853.0	0.0	0.0	17.0	0.0
5944a54953a85e3427d888a16ebd2849	0.0	0.0	0.0	0.0	761.0	1064.0	2887.0	3313.0
9332492778cbdb84fd1d132ba70983f4	0.0	0.0	0.0	0.0	610.0	876.0	3561.0	2708.0
a5e871dd507a8cbdc536b0a8bd6040c1	0.0	0.0	3001.0	3688.0	0.0	0.0	0.0	0.0
67f1288a71fc99e500b291365495ab64	0.0	0.0	0.0	0.0	1908.0	3010.0	743.0	926.0
fecc90352ddabd411e7c100442009b8f	638.0	648.0	2311.0	2768.0	0.0	0.0	0.0	0.0
b25479981dec680371abe9f534f783b4	0.0	0.0	0.0	0.0	264.0	380.0	2689.0	2972.0
70402e80eb45ca255fd5e4a3c6a64707	1046.0	993.0	1909.0	2139.0	0.0	0.0	0.0	0.0
72baa20d784fde5d3dcb25d911c2e21b	2156.0	2507.0	523.0	613.0	8.0	27.0	51.0	83.0
62824215cd97d2b529c7cf5ae8c2b26c	0.0	0.0	0.0	0.0	605.0	887.0	1889.0	2325.0
54b9cb16e9c28b31d912974a63cda3fa	0.0	0.0	0.0	0.0	1271.0	1855.0	1366.0	1036.0
bb779716d4afd189826419b97fbd360e	0.0	0.0	0.0	0.0	435.0	751.0	2032.0	2254.0
4bd7686246b011632d9ac3ad56fe1340	191.0	168.0	245.0	249.0	779.0	919.0	1200.0	1701.0
cefef1afb5aaae13beb3067a9492b577	1169.0	1308.0	1221.0	1589.0	0.0	0.0	0.0	0.0
e065568334097ec85cc9969e9fcd4c52	415.0	421.0	512.0	704.0	454.0	701.0	906.0	1173.0
7e8825f0c3911c34bd4b6e434704ec52	1737.0	1620.0	608.0	830.0	0.0	0.0	0.0	0.0
79b80a9e964aa828c2358040d4cd6055	0.0	0.0	0.0	0.0	715.0	1190.0	1331.0	1329.0
963dccae77b7bcdbbc801ac2006ea06b	765.0	758.0	497.0	725.0	209.0	345.0	513.0	732.0
9d9cedf1a446b19f34f78fbe7840d347	665.0	643.0	1226.0	1571.0	0.0	0.0	17.0	0.0
0b9c5bfb1b7d0d8060f41ed3b38f69ae	1208.0	1263.0	531.0	712.0	0.0	0.0	0.0	0.0
942d127f7062c042b09607ed3b689ed5	1068.0	969.0	619.0	758.0	0.0	0.0	0.0	0.0
dfeeec98582bbb9b7e5d46ab011ec2f8	0.0	0.0	0.0	0.0	88.0	149.0	1326.0	1692.0
6ff74f833001b8bda3ae466cc74443e2	0.0	0.0	0.0	0.0	294.0	337.0	1096.0	1335.0
275d2c56e4eb8e2d2f76ca1c88070ed5	0.0	0.0	0.0	0.0	379.0	576.0	902.0	1195.0
bc769c927b40e8fc98fc67c26c82c1a1	0.0	0.0	1210.0	1462.0	0.0	0.0	0.0	0.0
a440f88f627130dc5f895127dad7e063	392.0	391.0	287.0	242.0	113.0	192.0	413.0	559.0
4bd35bdafb83c7036b00c35b95d62155	0.0	0.0	0.0	0.0	0.0	0.0	986.0	1444.0
2e98441c022e12c3684c69120268e659	0.0	0.0	0.0	0.0	225.0	385.0	754.0	932.0
7db4e1fd2bbda803d25b2c2771b2ac74	0.0	0.0	0.0	0.0	32.0	60.0	1001.0	1191.0
2896738f0180cd89b521f067935a907c	0.0	0.0	9.0	12.0	290.0	434.0	639.0	783.0
08b19f0cf2cf1e88741e6f1747e5de57	415.0	460.0	554.0	716.0	0.0	0.0	0.0	0.0
ca468d0ccd3952a9c029ccc6fe1bf866	0.0	0.0	0.0	0.0	215.0	302.0	720.0	885.0
2fbc153fb7151998bd7a89612af7c275	11.0	30.0	0.0	81.0	376.0	496.0	477.0	644.0
