Class,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Actinobacteria,7351.0,7380.0,7360.0,7421.0,7378.0,8540.0,8595.0,8529.0,8370.0,8580.0
Bacilli,123655.0,123768.0,123833.0,124069.0,124095.0,26134.0,25773.0,25843.0,25862.0,25885.0
Bacteroidia,1053432.0,1053397.0,1053515.0,1053804.0,1052733.0,66696.0,66500.0,66254.0,66456.0,67395.0
Betaproteobacteria,1309.0,1243.0,1289.0,1260.0,1321.0,90.0,93.0,107.0,95.0,99.0
CFGB1340,552238.0,550862.0,551817.0,552766.0,551662.0,0.0,0.0,0.0,0.0,0.0
CFGB3035,376.0,388.0,371.0,365.0,345.0,0.0,0.0,0.0,0.0,0.0
CFGB3053,8090.0,8010.0,8092.0,8008.0,8019.0,0.0,0.0,0.0,0.0,0.0
Clostridia,6343823.0,6344842.0,6343787.0,6342611.0,6343863.0,397007.0,396022.0,397217.0,395771.0,395818.0
Coriobacteriia,262933.0,263133.0,263791.0,263551.0,262842.0,15615.0,15298.0,15481.0,15257.0,15278.0
Deltaproteobacteria,1445.0,1430.0,1457.0,1382.0,1468.0,507.0,508.0,517.0,450.0,496.0
Erysipelotrichia,401609.0,402966.0,402263.0,401503.0,402227.0,7941.0,8115.0,8005.0,8049.0,8029.0
Gammaproteobacteria,343448.0,343198.0,342263.0,342571.0,343779.0,25811.0,26006.0,26097.0,26185.0,25925.0
Negativicutes,89250.0,89370.0,89291.0,89951.0,89532.0,8656.0,8738.0,8796.0,8702.0,8777.0
Saccharomycetes,807685.0,806655.0,807547.0,807417.0,807438.0,9252898.0,9252871.0,9253885.0,9253745.0,9254260.0
Verrucomicrobiae,3356.0,3358.0,3324.0,3321.0,3298.0,96.0,109.0,104.0,111.0,115.0
Acidimicrobiia,0.0,0.0,0.0,0.0,0.0,7.0,69.0,0.0,29.0,24.0
Acidobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Agaricomycotina,0.0,0.0,0.0,0.0,0.0,1902.0,1146.0,587.0,1153.0,588.0
Alphaproteobacteria,0.0,0.0,0.0,0.0,0.0,7985.0,8057.0,8114.0,7953.0,8100.0
Alveolata,0.0,0.0,0.0,0.0,0.0,9550.0,9759.0,9769.0,9676.0,9780.0
Anaerolineae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Arachnida,0.0,0.0,0.0,0.0,0.0,28.0,31.0,29.0,37.0,36.0
Arthropoda,0.0,0.0,0.0,0.0,0.0,804.0,785.0,773.0,797.0,781.0
Atribacteria Unknown Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
BD2-11 terrestrial group,0.0,0.0,0.0,0.0,0.0,14.0,8.0,10.0,11.0,12.0
Bacteroidetes BD2-2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bacteroidetes Order II,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,10.0,20.0
Blastocatellia,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Caldisericia,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
Candidatus Levybacteria,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Candidatus Roizmanbacteria,0.0,0.0,0.0,0.0,0.0,41.0,48.0,47.0,41.0,42.0
Candidatus Shapirobacteria,0.0,0.0,0.0,0.0,0.0,9.0,10.0,8.0,13.0,11.0
Cavosteliida,0.0,0.0,0.0,0.0,0.0,10.0,13.0,8.0,9.0,14.0
Chlorobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Chloroplast,0.0,0.0,0.0,0.0,0.0,360.0,321.0,325.0,339.0,301.0
Chloroplastida,0.0,0.0,0.0,0.0,0.0,12275.0,12285.0,12308.0,12313.0,12378.0
Chordata,0.0,0.0,0.0,0.0,0.0,102.0,110.0,122.0,106.0,107.0
