Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinomycetales,0.0003246,0.0003328,0.0003263,0.0003275,0.0003255,3.2318652215246666e-05,3.333654576410696e-05,3.2013401597620224e-05,3.171912612797354e-05,3.2827543379578416e-05,0.0003273400000000001,3.2443053816905164e-05,3.233109957919783e-06,6.462020137605352e-07
Bacteroidales,0.1053432,0.1053397,0.1053515,0.1053804,0.1052733,0.0067294503617315645,0.006711050741657327,0.0066843376603939585,0.006705867735284699,0.006800755902165032,0.10533761999999999,0.006726292480246515,3.9355139435656514e-05,4.462191482367591e-05
Bifidobacteriales,0.0001348,0.000135,0.0001333,0.0001334,0.0001366,9.594599876401355e-06,1.000096372923209e-05,1.0098864857293446e-05,9.899599874335692e-06,9.797759100981866e-06,0.00013462,9.878357487648891e-06,1.3535139452551006e-06,1.9437175168289277e-07
Burkholderiales,0.0001309,0.0001243,0.0001289,0.000126,0.0001321,1.8280237659248897e-05,2.202232417144036e-05,2.1207616200316235e-05,1.8688020170939827e-05,2.0908619937146872e-05,0.00012844,2.0221363627818437e-05,3.2692506786724093e-06,1.6437446907717086e-06
Clostridia_unclassified,0.0085988,0.0086606,0.0086424,0.0085882,0.0086328,0.0,0.0,0.0,0.0,0.0,0.00862456,0.0,3.029303550323021e-05,0.0
Clostridiales,0.6257835,0.6258236,0.6257363,0.6256729,0.6257535,0.020171585784358036,0.020110927861129245,0.020207828579444184,0.020086490177677614,0.020079547703117394,0.62575396,0.020131276021145294,5.6136334044918794e-05,5.6082103806647e-05
Desulfovibrionales,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,5.4537725613228755e-06,5.152011618089258e-06,5.958330265803133e-06,5.151832587664492e-06,5.050391289165911e-06,0.00014364,5.353267664409134e-06,3.353058305487689e-06,3.704781271928266e-07
Eggerthellales,0.0262933,0.0263133,0.0263791,0.0263551,0.0262842,0.0,0.0,0.0,0.0,0.0,0.026325000000000005,0.0,4.07407658249077e-05,0.0
Enterobacterales,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,5.958751502186104e-06,1.9193768773273707e-06,7.978103237261822e-06,9.293501922845751e-06,2.0201565156663643e-06,0.034305180000000005,5.433978011057483e-06,6.246084373429571e-05,3.3782570780240166e-06
Erysipelotrichales,0.0401609,0.0402966,0.0402263,0.0401503,0.0402227,0.0017411673880964142,0.0017576441204536276,0.001750537234363246,0.0017651592673892027,0.0017476374017029717,0.04021136,0.0017524290824010923,5.893257163912072e-05,9.254988968712562e-06
Lactobacillales,0.0123655,0.0123768,0.0123833,0.0124069,0.0124095,0.0016860236877541497,0.0016523814517075686,0.0016536891203818018,0.0016473742321496576,0.0016660230784700505,0.012388399999999999,0.0016610983140926457,1.9186192952224984e-05,1.553027545474954e-05
Micrococcales,0.0002757,0.0002702,0.0002764,0.0002812,0.0002757,1.5351359802242168e-05,1.3031558798696359e-05,1.3532478908773217e-05,1.1818910054053836e-05,1.303000952604805e-05,0.00027583999999999996,1.3352863417962727e-05,3.901666310693419e-06,1.2832316372201527e-06
OFGB1340,0.0552238,0.0550862,0.0551817,0.0552766,0.0551662,0.0,0.0,0.0,0.0,0.0,0.055186900000000004,0.0,7.071725390596046e-05,0.0
OFGB3035,3.76e-05,3.88e-05,3.71e-05,3.65e-05,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.6899999999999996e-05,0.0,1.5858751527153714e-06,0.0
OFGB3053,0.000809,0.000801,0.0008092,0.0008008,0.0008019,0.0,0.0,0.0,0.0,0.0,0.00080438,0.0,4.329203159936056e-06,0.0
Saccharomycetales,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.9345037263910984,0.9347235076996309,0.9345373401993495,0.9347793146850463,0.9347526818335304,0.08073484,0.934659314161731,4.0195746043578434e-05,0.00012876690171659055
Veillonellales,0.008925,0.008937,0.0089291,0.0089951,0.0089532,0.0,0.0,0.0,0.0,0.0,0.008947880000000002,0.0,2.851573249979736e-05,0.0
Verrucomicrobiales,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,9.695595664574e-06,1.101116208572018e-05,1.0502819451585183e-05,1.1212812102563896e-05,1.1615899965081595e-05,0.00033314,1.080765785390497e-05,2.5451915448547312e-06,7.3966681896662e-07
Acari,0.0,0.0,0.0,0.0,0.0,2.6258904924887917e-06,3.1316149051130784e-06,2.7266935114692304e-06,3.5355713836913184e-06,3.6362817281994555e-06,0.0,3.1312104041923754e-06,0.0,4.575989339364522e-07
Acidimicrobiales,0.0,0.0,0.0,0.0,0.0,7.069705172085208e-07,6.97036865976782e-06,0.0,2.929473432201378e-06,2.4241878187996373e-06,0.0,2.6062000855954713e-06,0.0,2.7195106777358214e-06
Acidobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0203265049664675e-07,2.0201565156663643e-07,0.0,8.080966041265663e-08,0.0,1.1065318484407537e-07
Acoelomorpha,0.0,0.0,0.0,0.0,0.0,1.1109536698991043e-06,6.061190138928539e-07,0.0,0.0,0.0,0.0,3.4341453675839166e-07,0.0,5.029738053268355e-07
Aeromonadales,0.0,0.0,0.0,0.0,0.0,5.049789408632291e-07,5.050991782440449e-07,3.0296594571880336e-07,4.040653009932935e-07,2.0201565156663643e-07,0.0,3.8382500347720147e-07,0.0,1.317081995518616e-07
Agaricomycetes,0.0,0.0,0.0,0.0,0.0,0.00016230023159344187,8.404850325980908e-05,2.4944196197514812e-05,8.333846832986678e-05,2.2524745149679962e-05,0.0,7.54312289060625e-05,0.0,5.707679470606106e-05
Alteromonadales,0.0,0.0,0.0,0.0,0.0,1.383642297965248e-05,1.8486629923732044e-05,1.605719512309658e-05,2.000123239916803e-05,1.9292494724613778e-05,0.0,1.753479503005258e-05,0.0,2.5465696772851358e-06
Anaerolineales,0.0,0.0,0.0,0.0,0.0,0.0,4.0407934259523594e-07,0.0,0.0,0.0,0.0,8.081586851904719e-08,0.0,1.8070977566927476e-07
Anaeroplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0203265049664675e-07,2.0201565156663643e-07,0.0,8.080966041265663e-08,0.0,1.1065318484407537e-07
Apicomplexa,0.0,0.0,0.0,0.0,0.0,3.726744583570631e-05,4.172119212295811e-05,3.877964105200683e-05,3.929535052159779e-05,4.030212248754397e-05,0.0,3.94731504039626e-05,0.0,1.6672272601198692e-06
Bacillales,0.0,0.0,0.0,0.0,0.0,1.4240406132343063e-05,1.3031558798696359e-05,1.4037422151637889e-05,1.3031105957033716e-05,1.191892344243155e-05,0.0,1.3251883296428515e-05,0.0,9.311707926619825e-07
Bacteroidia Draconibacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,4.040653009932935e-07,2.0201565156663643e-07,0.0,2.0200996521021814e-07,0.0,1.4285865934581311e-07
Bangiales,0.0,0.0,0.0,0.0,0.0,7.069705172085208e-07,1.0101983564880899e-06,9.088978371564101e-07,8.08130601986587e-07,1.2120939093998187e-06,0.0,9.292582444478853e-07,0.0,1.943229275847501e-07
