,Full_Taxon,read1000_rep1,read1000_rep2,read1000_rep3,read1000_rep4,read1000_rep5,read10000_rep1,read10000_rep2,read10000_rep3,read10000_rep4,read10000_rep5,read100000_rep1,read100000_rep2,read100000_rep3,read100000_rep4,read100000_rep5,read1000000_rep1,read1000000_rep2,read1000000_rep3,read1000000_rep4,read1000000_rep5,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,Kingdom,Phylum,Class,Order,Family,Genus,Species
0,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,0,2,0,2,0,5,5,5,5,3,28,30,44,31,31,275,330,276,264,291,2967,3023,2925,2980,2966,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_oris
1,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,26,32,26,23,34,279,305,338,295,289,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_sp_oral_taxon_448
2,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae,0,0,0,0,0,2,1,2,1,0,16,11,15,16,10,134,142,137,135,144,1348,1350,1333,1334,1366,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia_wiggsiae
3,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,0,0,0,0,0,0,0,0,0,1,5,1,3,3,5,39,34,39,32,37,318,321,339,345,359,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_dentocariosa
4,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,1,0,0,0,0,2,3,1,3,3,29,25,21,28,25,253,253,268,233,252,2439,2381,2425,2467,2398,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_mucilaginosa
5,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,9,11,8,4,6,90,93,97,88,94,916,898,885,944,978,9184,9307,9438,9364,9226,92969,92459,92663,92584,92576,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia_equolifaciens
6,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,14,12,14,15,11,144,136,110,130,116,1333,1338,1236,1263,1250,13271,13019,13205,13226,13337,130744,131679,131791,131952,131376,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella_lenta
7,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB45432|s__GGB45432_SGB63101,0,0,0,0,1,3,5,6,6,5,35,35,26,26,28,314,293,322,307,298,3109,2969,2988,3081,3057,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,GGB45432,GGB45432_SGB63101
8,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,1,1,2,5,2,36,30,37,37,37,331,360,384,364,371,3661,3533,3552,3554,3542,35621,35546,35830,35421,35331,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter_pamelaeae
9,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_urolithinfaciens,0,0,0,0,0,0,0,0,0,0,8,9,6,2,11,61,39,50,50,57,490,480,519,513,502,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter_urolithinfaciens
10,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,6,10,8,14,9,93,106,104,104,89,1032,1019,1114,1021,985,10602,10775,10645,10657,10526,106147,105808,105671,105854,106007,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
11,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,27,30,21,30,29,257,274,277,269,266,2702,2748,2810,2692,2717,26910,26905,26767,26752,26656,269217,269087,269716,269202,268790,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis
12,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,27,21,16,25,25,223,216,203,234,206,2054,2032,2073,2125,2056,21045,21207,20860,20714,20910,209286,208936,209756,209501,209968,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_thetaiotaomicron
13,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0,0,0,1,1,0,2,2,0,2,10,13,12,7,7,129,162,166,157,148,1505,1544,1469,1548,1476,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_finegoldii
