Phylum,ocean_metaphlan,ocean_kraken,ocean_kaiju,ocean_kaiju_euk,ocean_gottcha,nt_rpm,nr_rpm,pam_rel_abd
Actinobacteria,0.002968270466313947,,0.007750982808191046,0.007472276007745115,,,,0.0028307365625758188
Bacteroidetes,0.04187122093889792,,0.08467758023822097,0.08406031801912808,0.004003813177759811,,,0.019845061059386954
Cyanobacteria,0.00019290699596778807,0.0012418586090725912,0.003621428152320601,0.0015871618846447222,9.687259927138427e-05,,,0.06584493851033973
Firmicutes,0.0018533468045801554,0.002071113875882085,0.00181892859238397,0.001348354162999472,,,,0.005645028124330514
Proteobacteria,0.09530832377295832,0.09970115008487647,0.24220383735257878,0.24040368479727747,0.035146564252790426,,,0.033676264164383324
Rhodothermaeota,3.262488424135113e-07,,0.0006401455142873907,0.0006395587631285572,,,,
Tenericutes,7.681438098086352e-05,,8.33186645543625e-05,4.517983923018248e-05,,,,0.00011894466347333285
Thermodesulfobacteria,0.0008077137141148188,,5.6328111248019714e-05,5.45678577715191e-05,,,,
4572-55,,1.5255527444312483e-06,,,,,,
AABM5-125-24,,7.041012666605762e-07,,,,,,
AB1-6,,8.214514777706722e-07,,,,,,
ARS69,,1.7602531666514405e-07,,,,,,
Acidobacteriota,,0.00033204242233601675,,,,2.0918694265319474e-06,0.0,0.0004341592853768575
Actinobacteriota,,0.005139880571516651,,,,,,0.0002985443470985499
Aenigmarchaeota,,2.347004222201921e-06,,,,,,0.0012599573916786944
Aerophobota,,5.867510555504802e-07,,,,,,
Altiarchaeota,,3.285805911082689e-06,,,,,,
Aquificota,,1.6135654027638203e-05,,,,,,2.258371688106367e-05
Armatimonadota,,2.1181713105372335e-05,,,,,,3.998613213355413e-06
Asgardarchaeota,,1.2556472588780275e-05,,,,,,
BMS3Abin14,,1.9362784833165845e-06,,,,,,
Bacteroidota,,0.03851662761545016,,,,0.007030598820121664,0.11234036110285403,0.040522960037071086
Bdellovibrionota,,0.00011500320688789411,,,,2.6148367831649337e-07,8.71612261054978e-08,0.00040971705812902295
Bdellovibrionota_A,,4.107257388853361e-07,,,,,,
Bdellovibrionota_B,,1.2556472588780275e-05,,,,,,
Binatota,,1.243912237767018e-05,,,,,,
Bipolaricaulota,,3.5205063333028808e-06,,,,,,
CG03,,7.627763722156242e-07,,,,,,
CG2-30-53-67,,9.388016888807683e-07,,,,,,
CG2-30-70-394,,7.627763722156242e-07,,,,,,
Caldatribacteriota,,9.035966255477395e-06,,,,,,
Caldisericota,,3.989907177743265e-06,,,,,,4.7363855104674684e-05
Calditrichota,,2.2296540110918245e-06,,,,1.1330959393714712e-06,8.71612261054978e-08,2.038729553851633e-05
Calescibacterota,,5.867510555504802e-07,,,,,,
Campylobacterota,,0.0003415477894359345,,,,5.229673566329867e-07,0.0,0.00029370095644575326
Chloroflexota,,0.0002447925403756603,,,,3.747932722536406e-05,0.00010860288772745028,0.00019131393078546956
Chloroflexota_A,,2.5464995810890838e-05,,,,,,
Chloroflexota_B,,3.520506333302881e-07,,,,,,
Chrysiogenetota,,1.4668776388762004e-06,,,,,,
Cloacimonadota,,1.4140700438766572e-05,,,,,,
Coprothermobacterota,,7.627763722156243e-07,5.867511588335387e-07,5.867511588335387e-07,,,,3.942294717392661e-07
Crenarchaeota,,0.0001819515023262039,1.1735023176670774e-05,8.214516223669542e-06,,,,2.0894162002181103e-05
DTU030,,2.3470042222019206e-07,,,,,,
Dadabacteria,,1.0033443049913211e-05,,,,,,4.618116668945688e-06
Deferribacterota,,1.660505487207859e-05,,,,,,2.083784350621835e-06
Deferrisomatota,,2.9337552777524008e-06,,,,,,
Deinococcota,,4.2656801738519906e-05,,,,,,3.215786119473156e-05
Delongbacteria,,2.992430383307449e-06,,,,,,
Dependentiae,,1.9069409305390606e-05,,,,,,4.826495104007872e-05
Desantisbacteria,,1.4668776388762004e-06,,,,,,
Desulfobacterota,,0.0009240155622808961,,,,,,2.033097704255358e-05
Desulfobacterota_A,,8.607637984925544e-05,,,,,,
Desulfuromonadota,,0.00012104674276006406,,,,,,
Dictyoglomota,,2.816405066642305e-06,,,,,,
Dormibacterota,,2.1181713105372335e-05,,,,,,
EX4484-52,,2.3470042222019206e-07,,,,,,
Edwardsbacteria,,1.4082025333211524e-06,,,,,,
Eisenbacteria,,2.523029538867065e-06,,,,,,
Elusimicrobiota,,3.426626164414804e-05,,,,,,7.321404475157799e-07
Eremiobacterota,,1.9362784833165846e-05,,,,,,
Euryarchaeota,,8.947953597144823e-05,0.00019304113125623423,0.00015842281288505546,,3.512597412051562e-05,0.00698597227235565,0.0024861800042757
FCPU426,,1.6429029555413445e-06,,,,,,1.1263699192550459e-07
FEN-1099,,1.7602531666514404e-06,,,,,,
Fermentibacterota,,2.2883291166468726e-06,,,,,,
Fibrobacterota,,3.4442286960813185e-05,,,,,,9.179914841928625e-06
Firestonebacteria,,1.9949535888716326e-06,,,,,,
Firmicutes_A,,0.0016418468036413535,,,,,,
Firmicutes_B,,0.0001563104811986479,,,,,,
Firmicutes_C,,9.816345159359532e-05,,,,,,
Firmicutes_D,,1.1558995794344459e-05,,,,,,
Firmicutes_E,,1.0678869211018739e-05,,,,,,
Firmicutes_F,,3.8549544349666545e-05,,,,,,
Firmicutes_G,,2.0242911416491564e-05,,,,,,
Firmicutes_H,,1.2908523222110563e-06,,,,,,
Firmicutes_I,,0.00029701338431965303,,,,,,
Firmicutes_J,,2.816405066642305e-06,,,,,,
Firmicutes_K,,1.7309156138739165e-05,,,,,,
Fusobacteriota,,0.00010884232080461407,,,,,,8.245027808946936e-05
GCA-001730085,,9.388016888807683e-07,,,,,,
GWC2-55-46,,3.403156122192785e-06,,,,,,
Gemmatimonadota,,8.191044735484703e-05,,,,,,0.000104132899035129
Gemmatimonadota_A,,1.0561518999908643e-06,,,,,,
Goldbacteria,,1.5255527444312486e-06,,,,,,
Hadarchaeota,,2.933755277752401e-07,,,,,,
Halobacterota,,0.00022108779773142093,,,,,,
Huberarchaeaota,,6.454261611055282e-07,,,,,,
Hydrogenedentota,,4.283282705518505e-06,,,,,,
Hydrothermarchaeota,,1.5255527444312486e-06,,,,,,
Iainarchaeota,,3.285805911082689e-06,,,,,,
KSB1,,4.400632916628601e-06,,,,,,
Krumholzibacteriota,,5.984860766614898e-06,,,,,,
Latescibacterota,,1.0444168788798546e-05,,,,,,1.2953254071433028e-06
Lindowbacteria,,6.454261611055282e-07,,,,,,
MBNT15,,6.4542616110552816e-06,,,,,,1.914828862733578e-06
Margulisbacteria,,4.916973845513023e-05,,,,,,2.421695326398349e-06
Marinisomatota,,7.305050641603479e-05,,,,,,
Methylomirabilota,,4.717478486625861e-05,,,,,,
Micrarchaeota,,3.637856544412977e-06,,,,,,
Moduliflexota,,4.752683549958889e-06,,,,,,
Muirbacteria,,1.5842278499862965e-06,,,,,,
Myxococcota,,0.0002488997977645137,,,,,,0.00015391844946620204
Nanoarchaeota,,5.521327432730018e-05,5.867511588335387e-07,5.867511588335387e-07,,1.5427537020673112e-05,3.9222551747474015e-06,3.942294717392661e-07
Nanohaloarchaeota,,1.0561518999908643e-06,,,,,,1.689554878882569e-07
Nitrospinota,,2.7753324927537713e-05,,,,,,6.701901019567524e-06
Nitrospirota,,0.0001097224473879398,,,,,,9.990901183792258e-05
Nitrospirota_A,,1.5842278499862963e-06,,,,,,
O2-12-FULL-43-9,,2.4056793277569685e-06,,,,,,
OLB16,,8.801265833257202e-07,,,,,,
Omnitrophota,,3.209528273861127e-05,,,,,,
Patescibacteria,,0.00031338373876951147,,,,,,0.00039107563596535195
Planctomycetota,,0.000608460844605848,,,,7.635323406841609e-05,0.019658604419512293,0.0020518517634109546
Poribacteria,,1.2321772166560084e-05,,,,,,
RBG-13-61-14,,8.801265833257202e-07,,,,,,
RBG-13-66-14,,4.107257388853361e-07,,,,,,
RUG730,,8.801265833257202e-07,,,,,,
Ratteibacteria,,4.6940084444038413e-07,,,,,,
Riflebacteria,,5.6914852388396575e-06,,,,,,
SAR324,,4.9873839721790815e-05,,,,,,
SM23-31,,8.801265833257202e-07,,,,,,
SZUA-182,,1.5255527444312486e-06,,,,,,
SZUA-79,,5.867510555504802e-07,,,,,,
Schekmanbacteria,,1.5842278499862963e-06,,,,,,1.7458733748453212e-06
Spirochaetota,,0.00018893383988725462,,,,0.0,4.79386743580238e-06,0.0002190226307991437
Sumerlaeota,,1.9362784833165845e-06,,,,,,
Synergistota,,1.7074455716518974e-05,,,,,,1.6332363829198167e-06
TA06,,7.627763722156242e-07,,,,,,
TA06_A,,7.041012666605762e-07,,,,,,
Tectomicrobia,,3.931232072188217e-06,,,,,,3.2664727658396335e-06
Thermodesulfobiota,,1.4668776388762004e-06,,,,,,
Thermoplasmatota,,0.000147861265998721,,,,,,0.0009649047913298351
Thermosulfidibacterota,,1.7602531666514405e-07,,,,,,1.1263699192550459e-07
Thermotogota,,4.6822734232928315e-05,,,,6.101285827384846e-07,8.71612261054978e-08,2.4554864239760003e-05
UAP2,,5.867510555504802e-07,,,,,,
UBA10199,,5.1047341832891775e-06,,,,,,
UBA2233,,2.933755277752401e-07,,,,,,
UBA6262,,3.520506333302881e-07,,,,,,
UBA8248,,4.694008444403842e-06,,,,,,
UBA8481,,5.867510555504802e-07,,,,,,
UBA9089,,1.2908523222110565e-06,,,,,,
UBP13,,3.520506333302881e-07,,,,,,
UBP14,,7.041012666605762e-07,,,,,,
UBP15,,3.520506333302881e-07,,,,,,
UBP17,,4.224607599963457e-06,,,,,,
UBP18,,1.7602531666514405e-07,,,,,,
UBP3,,1.5255527444312483e-06,,,,,,
UBP4,,1.1735021111009604e-06,,,,,,
UBP6,,1.6429029555413445e-06,,,,,,
UBP7,,3.755206755523073e-06,,,,,,
UBP7_A,,4.107257388853361e-07,,,,,,
Verrucomicrobiota,,0.0007302116886325725,,,,0.00018870405451840277,2.6148367831649343e-06,0.0015766362944772505
Verrucomicrobiota_A,,5.321832073842855e-05,,,,,,
WOR-3,,3.755206755523073e-06,,,,,,
WOR-3_A,,2.4643544333120167e-06,,,,,,
WOR-3_B,,4.987383972179081e-06,,,,,,
Wallbacteria,,1.5255527444312486e-06,,,,,,
Zixibacteria,,7.627763722156242e-06,,,,,,1.0137329273295414e-06
unclassified,,,0.6320049287097342,0.61541747344951,,,,
cannot be assigned to a (non-viral) phylum,,,0.00870151968550138,0.009967728686264155,,,,
Planctomycetes,,,0.005416299947192396,0.005332981282638033,,,,0.0013395917449700262
Verrucomicrobia,,,0.0053124449920788595,0.005274892917913513,,,,0.002117406492711598
Chloroflexi,,,0.001205773631402922,0.0011060259344012205,,,,0.00037581332355944607
