tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3118923,2,3118923,Actinarchaeum,"",archaea,false,,,,0.26148367831649344,6,,,98.039,51.0,10^-20.9952,,,,,,,,,,,,,,,,,[2814576],0
2814576,1,3118923,Actinarchaeum halophilum,"",archaea,false,,,,0.26148367831649344,6,,,98.039,51.0,10^-20.9952,,,,,,,,,,,,,,,,,,0
3118803,2,3118803,Fontisubflavum,"",bacteria,false,,,,2.4405143309539388,56,,,92.7165,69.5714,10^-27.3827,,,,,,,,,,,,,,,,,[2978973],0
2978973,1,3118803,Fontisubflavum oceani,"",bacteria,false,,,,2.4405143309539388,56,,,92.7165,69.5714,10^-27.3827,,,,,,,,,,,,,,,,,,0
3117352,2,3117352,Marinimicrococcus,"",bacteria,false,,,,,,,,,,,,,,,,0.17432245221099563,4,,,90.2,46.0,10^-21.3488,,,,,[3031815],0
3031815,1,3117352,Marinimicrococcus flavescens,"",bacteria,false,,,,,,,,,,,,,,,,0.17432245221099563,4,,,90.2,46.0,10^-21.3488,,,,,,0
3113648,2,3113648,Medakamo,"",eukaryota,false,,,,0.6537091957912337,15,,,95.9385,148.867,10^-80.7315,,,,,,,,,,,,,,,,,[3113649],0
3113649,1,3113648,Medakamo hakoo,"",eukaryota,false,,,,0.6537091957912337,15,,,95.9385,148.867,10^-80.7315,,,,,,,,,,,,,,,,,,0
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,69.4,49.0,10^-12.1432,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,69.4,49.0,10^-12.1432,,,,,,0
3111530,2,3111530,Ophiotheca,"",eukaryota,false,,,,0.08716122610549781,2,,,98.587,142.0,10^-81.6216,,,,,,,,,,,,,,,,,[1680578],0
1680578,1,3111530,Ophiotheca pedata,"",eukaryota,false,,,,0.08716122610549781,2,,,98.587,142.0,10^-81.6216,,,,,,,,,,,,,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.08716122610549781,2,,,96.667,150.0,10^-82.9695,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.08716122610549781,2,,,96.667,150.0,10^-82.9695,,,,,,,,,,,,,,,,,,0
3098102,2,3098102,Marinihelvus,"",bacteria,false,,,,0.7844510349494803,18,,,96.0001,150.0,10^-81.5971,,,,,,0.6537091957912337,15,,,78.09,46.1,10^-14.2539,,,,,[2613842],0
2613842,1,3098102,Marinihelvus fidelis,"",bacteria,false,,,,0.7844510349494803,18,,,96.0001,150.0,10^-81.5971,,,,,,0.6537091957912337,15,,,78.09,46.1,10^-14.2539,,,,,,0
3094135,2,3094135,Marixanthotalea,"",bacteria,false,,,,0.13074183915824672,3,,,94.2855,148.5,10^-77.1413,,,,,,,,,,,,,,,,,[2844359],0
2844359,1,3094135,Marixanthotalea marina,"",bacteria,false,,,,0.13074183915824672,3,,,94.2855,148.5,10^-77.1413,,,,,,,,,,,,,,,,,,0
3089077,2,3089077,Pacificoceanicola,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,86.8,38.0,10^-10.9031,,,,,[2562685],0
2562685,1,3089077,Pacificoceanicola onchidii,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,86.8,38.0,10^-10.9031,,,,,,0
3088879,2,3088879,Phycobacter,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,88.9,45.0,10^-17.1244,,,,,[2668075],0
2668075,1,3088879,Phycobacter azelaicus,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,88.9,45.0,10^-17.1244,,,,,,0
3087188,2,3087188,Binuclearia,"",eukaryota,false,,,,0.21790306526374453,5,,,97.3335,150.0,10^-84.3419,,,,,,,,,,,,,,,,,[3087189],0
3087189,1,3087188,Binuclearia lauterbornii,"",eukaryota,false,,,,0.21790306526374453,5,,,97.3335,150.0,10^-84.3419,,,,,,,,,,,,,,,,,,0
3079908,2,3079908,Picosynechococcus,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,91.7,48.0,10^-20.9318,,,,,[111781],0
111781,1,3079908,[Leptolyngbya] sp. PCC 7376,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,91.7,48.0,10^-20.9318,,,,,,0
