Phylum,ocean_kraken
4572-55,1.5255527444312483e-06
AABM5-125-24,7.041012666605762e-07
AB1-6,8.214514777706722e-07
ARS69,1.7602531666514405e-07
Acidobacteriota,0.00033204242233601675
Actinobacteriota,0.005139880571516651
Aenigmarchaeota,2.347004222201921e-06
Aerophobota,5.867510555504802e-07
Altiarchaeota,3.285805911082689e-06
Aquificota,1.6135654027638203e-05
Armatimonadota,2.1181713105372335e-05
Asgardarchaeota,1.2556472588780275e-05
BMS3Abin14,1.9362784833165845e-06
Bacteroidota,0.03851662761545016
Bdellovibrionota,0.00011500320688789411
Bdellovibrionota_A,4.107257388853361e-07
Bdellovibrionota_B,1.2556472588780275e-05
Binatota,1.243912237767018e-05
Bipolaricaulota,3.5205063333028808e-06
CG03,7.627763722156242e-07
CG2-30-53-67,9.388016888807683e-07
CG2-30-70-394,7.627763722156242e-07
Caldatribacteriota,9.035966255477395e-06
Caldisericota,3.989907177743265e-06
Calditrichota,2.2296540110918245e-06
Calescibacterota,5.867510555504802e-07
Campylobacterota,0.0003415477894359345
Chloroflexota,0.0002447925403756603
Chloroflexota_A,2.5464995810890838e-05
Chloroflexota_B,3.520506333302881e-07
Chrysiogenetota,1.4668776388762004e-06
Cloacimonadota,1.4140700438766572e-05
Coprothermobacterota,7.627763722156243e-07
Crenarchaeota,0.0001819515023262039
Cyanobacteria,0.0012418586090725912
DTU030,2.3470042222019206e-07
Dadabacteria,1.0033443049913211e-05
Deferribacterota,1.660505487207859e-05
Deferrisomatota,2.9337552777524008e-06
Deinococcota,4.2656801738519906e-05
Delongbacteria,2.992430383307449e-06
Dependentiae,1.9069409305390606e-05
Desantisbacteria,1.4668776388762004e-06
Desulfobacterota,0.0009240155622808961
Desulfobacterota_A,8.607637984925544e-05
Desulfuromonadota,0.00012104674276006406
Dictyoglomota,2.816405066642305e-06
Dormibacterota,2.1181713105372335e-05
EX4484-52,2.3470042222019206e-07
Edwardsbacteria,1.4082025333211524e-06
Eisenbacteria,2.523029538867065e-06
Elusimicrobiota,3.426626164414804e-05
Eremiobacterota,1.9362784833165846e-05
Euryarchaeota,8.947953597144823e-05
FCPU426,1.6429029555413445e-06
FEN-1099,1.7602531666514404e-06
Fermentibacterota,2.2883291166468726e-06
Fibrobacterota,3.4442286960813185e-05
Firestonebacteria,1.9949535888716326e-06
Firmicutes,0.002071113875882085
Firmicutes_A,0.0016418468036413535
Firmicutes_B,0.0001563104811986479
Firmicutes_C,9.816345159359532e-05
Firmicutes_D,1.1558995794344459e-05
Firmicutes_E,1.0678869211018739e-05
Firmicutes_F,3.8549544349666545e-05
Firmicutes_G,2.0242911416491564e-05
Firmicutes_H,1.2908523222110563e-06
Firmicutes_I,0.00029701338431965303
Firmicutes_J,2.816405066642305e-06
Firmicutes_K,1.7309156138739165e-05
Fusobacteriota,0.00010884232080461407
GCA-001730085,9.388016888807683e-07
GWC2-55-46,3.403156122192785e-06
Gemmatimonadota,8.191044735484703e-05
Gemmatimonadota_A,1.0561518999908643e-06
Goldbacteria,1.5255527444312486e-06
Hadarchaeota,2.933755277752401e-07
Halobacterota,0.00022108779773142093
Huberarchaeaota,6.454261611055282e-07
Hydrogenedentota,4.283282705518505e-06
Hydrothermarchaeota,1.5255527444312486e-06
Iainarchaeota,3.285805911082689e-06
KSB1,4.400632916628601e-06
Krumholzibacteriota,5.984860766614898e-06
Latescibacterota,1.0444168788798546e-05
Lindowbacteria,6.454261611055282e-07
MBNT15,6.4542616110552816e-06
Margulisbacteria,4.916973845513023e-05
Marinisomatota,7.305050641603479e-05
Methylomirabilota,4.717478486625861e-05
Micrarchaeota,3.637856544412977e-06
Moduliflexota,4.752683549958889e-06
Muirbacteria,1.5842278499862965e-06
Myxococcota,0.0002488997977645137
Nanoarchaeota,5.521327432730018e-05
Nanohaloarchaeota,1.0561518999908643e-06
