"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"1","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriia_unclassified","Flavobacteriia_unclassified","Flavobacteriia_unclassified","Flavobacteria_bacterium_MS024_3C",1.28153,1.23433
"2","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_sp_10_33",1.24487,1.26136
"3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter","Lentibacter_algarum",0.92557,0.91957
"4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina","Planktomarina_temperata",0.82839,0.82603
"5","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_marina",0.70548,0.77831
"6","Bacteria","Bacteroidetes","CFGB4857","OFGB4857","FGB4857","GGB13973","GGB13973_SGB21398",0.66158,0.71828
"7","Bacteria","Proteobacteria","CFGB26023","OFGB26023","FGB26023","GGB43047","GGB43047_SGB60287",0.64735,0.62529
"8","Bacteria","Bacteroidetes","CFGB4857","OFGB4857","FGB4857","GGB13973","GGB13973_SGB64484",0.56414,0.59377
"9","Bacteria","Proteobacteria","CFGB5168","OFGB5168","FGB5168","GGB14708","GGB14708_SGB22250",0.54597,0.54484
"10","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus_Pelagibacter","Candidatus_Pelagibacter_ubique",0.4875,0.46226
"11","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriia_unclassified","Flavobacteriia_unclassified","Flavobacteriia_unclassified","Flavobacteria_bacterium_MS024_2A",0.42199,0.44086
"12","Bacteria","Proteobacteria","CFGB2292","OFGB2292","FGB2292","GGB6384","GGB6384_SGB9054",0.41307,0.42502
"13","Bacteria","Proteobacteria","CFGB26565","OFGB26565","FGB26565","GGB42993","GGB42993_SGB60225",0.38195,0.38319
"14","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","GGB26023","GGB26023_SGB38025",0.37175,0.33817
"15","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillales_unclassified","GGB46904","GGB46904_SGB64816",0.28808,0.25267
"16","Bacteria","Proteobacteria","CFGB7892","OFGB7892","FGB7892","GGB24694","GGB24694_SGB36575",0.27382,0.27312
"17","Bacteria","Bacteroidetes","CFGB800","OFGB800","FGB800","GGB24318","GGB24318_SGB36144",0.26406,0.27761
"18","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriia_unclassified","Flavobacteriia_unclassified","Flavobacteriia_unclassified","Flavobacteriia_unclassified_SGB79047",0.20511,0.22632
"19","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Paraperlucidibaca","Paraperlucidibaca_baekdonensis",0.20434,0.19914
"20","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola","Glaciecola_nitratireducens",0.18879,0.19169
"21","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","GGB46766","GGB46766_SGB64655",0.18335,0.187
"22","Bacteria","Proteobacteria","CFGB35481","OFGB35481","FGB35481","GGB46916","GGB46916_SGB64828",0.17715,0.167
"23","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriia_unclassified","Flavobacteriia_unclassified","GGB24305","GGB24305_SGB36130",0.17049,0.17234
"24","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","GGB24890","GGB24890_SGB36800",0.16724,0.15951
"25","Bacteria","Proteobacteria","CFGB11653","OFGB11653","FGB11653","GGB34075","GGB34075_SGB57855",0.16558,0.1783
"26","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp_4H_3_7_5",0.14962,0.14967
"27","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_distincta",0.13631,0.14614
"28","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Thalassolituus","Thalassolituus_oleivorans",0.1291,0.1096
"29","Bacteria","Proteobacteria","CFGB419","OFGB419","FGB419","GGB26625","GGB26625_SGB60641",0.12351,0.13771
"30","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","GGB3932","GGB3932_SGB5334",0.11012,0.11451
"31","Bacteria","Proteobacteria","CFGB2312","OFGB2312","FGB2312","GGB6413","GGB6413_SGB9086",0.09872,0.09536
"32","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_issachenkonii",0.0941,0.08833
"33","Bacteria","Actinobacteria","CFGB24891","OFGB24891","FGB24891","GGB43892","GGB43892_SGB61249",0.09051,0.09067
"34","Bacteria","Proteobacteria","CFGB39874","OFGB39874","FGB39874","GGB47040","GGB47040_SGB64963",0.08006,0.08694
"35","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","GGB42979","GGB42979_SGB60207",0.07976,0.08162
"36","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","GGB39874","GGB39874_SGB64981",0.06785,0.08025
"37","Bacteria","Actinobacteria","CFGB14472","OFGB14472","FGB14472","GGB39922","GGB39922_SGB64790",0.06619,0.07389
"38","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","GGB38368","GGB38368_SGB57651",0.05883,0.06488
"39","Bacteria","Proteobacteria","CFGB20892","OFGB20892","FGB20892","GGB43214","GGB43214_SGB60509",0.05469,0.05746
"40","Bacteria","Bacteroidetes","CFGB12097","OFGB12097","FGB12097","GGB34784","GGB34784_SGB64645",0.05309,0.04117
"41","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya_marilimosa",0.05237,0.05512
"42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Marivita_cryptomonadis",0.04858,0.03951
"43","Bacteria","Proteobacteria","CFGB7578","OFGB7578","FGB7578","GGB24164","GGB24164_SGB35971",0.04811,0.04531
"44","Bacteria","Bacteroidetes","CFGB7657","OFGB7657","FGB7657","GGB24307","GGB24307_SGB36132",0.04662,0.04223
"45","Bacteria","Bacteroidetes","CFGB463","OFGB463","FGB463","GGB972","GGB972_SGB1257",0.04246,0.04681
"46","Bacteria","Bacteroidetes","CFGB14523","OFGB14523","FGB14523","GGB40183","GGB40183_SGB49693",0.03976,0.03391
"47","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_colwelliana",0.03381,0.03477
"48","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified_SGB64833",0.0306,0.03708
"49","Bacteria","Proteobacteria","CFGB12388","OFGB12388","FGB12388","GGB35257","GGB35257_SGB52150",0.02841,0.02963
"50","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_neustonica",0.0268,0.02438
"51","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified","Rhodobacteraceae_bacterium_Water_Bin34",0.02648,0.01987
"52","Bacteria","Actinobacteria","CFGB25708","OFGB25708","FGB25708","GGB43899","GGB43899_SGB61256",0.0259,0.04101
"53","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter_pacificensis",0.02552,0.02966
"54","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","Limnobacter_sp_MED105",0.02541,0.03667
"55","Bacteria","Proteobacteria","CFGB7386","OFGB7386","FGB7386","GGB23661","GGB23661_SGB35361",0.02507,0.03339
"56","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","GGB6440","GGB6440_SGB9120",0.02433,0.02272
"57","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter_pontiacus",0.02198,0.02247
"58","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp_Hel1_53",0.01997,0.01961
"59","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera","Rheinheimera_baltica",0.01947,0.02084
"60","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Boseongicola","Boseongicola_aestuarii",0.01919,0.02157
"61","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","GGB24159","GGB24159_SGB35966",0.01865,0.02459
"62","Bacteria","Cyanobacteria","Cyanobacteria_unclassified","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus_sp_ROS8604",0.01758,0.01115
