,taxa_id,domain,kingdom,phylum,class,order,family,genus,species
0,3044860,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,N/A,Yasminevirus
1,3040949,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,N/A,Candidatus Litorirhabdus
2,3028536,Bacteria,N/A,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,N/A,Neorhodopirellula
3,2993541,Bacteria,N/A,Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,N/A,Neolewinella
4,2919372,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,N/A,Seongchinamella
5,2849660,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,N/A,Taishania
6,2847769,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,N/A,Aequoribacter
7,2824158,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,N/A,Aquirhabdus
8,2819281,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,N/A,Acidiluteibacter
9,2800684,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,N/A,Parerythrobacter
10,2800681,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,N/A,Aurantiacibacter
11,2792075,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,N/A,Pontixanthobacter
12,2715929,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Aurantibacter
13,2714592,Bacteria,N/A,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,N/A,Crateriforma
14,2709686,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,N/A,Novosphingopyxis
15,2709685,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,N/A,Parasphingorhabdus
16,2676755,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,N/A,Croceibacterium
17,2661818,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,N/A,Saliniradius
18,2315209,Eukaryota,N/A,N/A,Bigyra,Thraustochytrida,Thraustochytriaceae,N/A,Hondaea
19,2211641,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,N/A,Yoonia
20,2211636,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,N/A,Cognatiyoonia
21,2126330,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,N/A,N/A,N/A,Candidatus Kentron
22,2083206,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,N/A,Tritonibacter
23,2035712,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Chromatiales,Thioalkalibacteraceae,N/A,Guyparkeria
24,2023705,Bacteria,N/A,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,N/A,Membranihabitans
25,1920241,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Pleioneaceae,N/A,Aliikangiella
26,1904377,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Amorphaceae,N/A,Acuticoccus
27,1855416,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,N/A,Qipengyuania
28,1783488,Bacteria,N/A,Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,N/A,Phytoactinopolyspora
29,1775705,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,N/A,Frigidibacter
30,1649495,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Seonamhaeicola
31,1648492,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,N/A,Ascidiaceihabitans
32,1632780,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phreatobacteraceae,N/A,Phreatobacter
33,1621534,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,N/A,Paraglaciecola
34,1579505,Bacteria,N/A,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,N/A,Rubripirellula
35,1573826,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,N/A,Psychrobium
36,1564515,Bacteria,N/A,Bacteroidota,Saprospiria,Saprospirales,Haliscomenobacteraceae,N/A,Phaeodactylibacter
37,1518149,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,N/A,Thalassotalea
38,1471399,Bacteria,N/A,Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,N/A,Draconibacterium
39,1458243,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,N/A,Pseudomaricurvus
40,1434037,Bacteria,N/A,Rhodothermota,Rhodothermia,Rhodothermales,Rubricoccaceae,N/A,Rubrivirga
41,1434034,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Pricia
42,1434014,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,N/A,Lentibacter
43,1406885,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,N/A,Aliiglaciecola
44,1386924,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Aestuariibaculum
45,1341118,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,N/A,Luminiphilus
46,1295327,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,N/A,Croceicoccus
47,1284657,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,N/A,Planktomarina
48,1246884,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Maricaulales,Robiginitomaculaceae,N/A,Algimonas
49,1242273,Eukaryota,N/A,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,N/A,Halamphora
50,1227948,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,N/A,Sphingomicrobium
51,1217416,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,N/A,Halioglobus
52,1004300,Bacteria,N/A,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,N/A,Hydrotalea
53,947567,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,N/A,Litoreibacter
54,907197,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,N/A,Psychrosphaera
55,880756,Eukaryota,N/A,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,N/A,Fistulifera
56,722752,Eukaryota,N/A,N/A,Bolidophyceae,Parmales,Triparmaceae,N/A,Triparma
57,682522,Bacteria,N/A,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,N/A,Ilumatobacter
58,659428,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,N/A,Marivita
59,599651,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,N/A,Bermanella
60,529881,Bacteria,N/A,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,N/A,Aquiluna
61,518755,Bacteria,N/A,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,N/A,Roseibacillus
62,518753,Bacteria,N/A,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,N/A,Luteolibacter
63,510690,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,N/A,Sneathiella
64,475794,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,N/A,Haliea
65,459520,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,N/A,Neptuniibacter
66,449810,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Lutimonas
67,446680,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Eudoraea
68,444051,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Mesoflavibacter
69,442430,Bacteria,N/A,Verrucomicrobiota,Opitutia,Puniceicoccales,Coraliomargaritaceae,N/A,Coraliomargarita
70,418700,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Litorivicinaceae,N/A,Litorivicinus
71,414371,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,N/A,Aureimonas
72,390846,Bacteria,N/A,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,N/A,Echinicola
73,387658,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Marixanthomonas
74,379899,Bacteria,N/A,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,N/A,Niabella
75,367771,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,N/A,Marinovum
76,366580,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,N/A,Bowmanella
77,363408,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Nonlabens
78,358023,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Lutibacter
79,349742,Bacteria,N/A,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,N/A,Sedimenticola
80,335927,Bacteria,N/A,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,N/A,Thalassovita
81,332157,Bacteria,N/A,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,N/A,Larkinella
82,326319,Bacteria,N/A,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,N/A,Dokdonia
