Genus,ocean,pam_rel_abd
Streptophyta,2485304,0.15737749597248377
Hastigerina,1255594,0.07950827732867882
Remanella,700678,0.04436919955184878
Collembola,653979,0.04141206767405073
Chloroplast,607871,0.03849235982973901
uncultured,597657,0.03784557627977372
Reticulamoeba,578255,0.03661697882173312
Sarcocystis,461156,0.02920189100918307
Pseudoalteromonas,439264,0.027815618689245706
Colwellia,420724,0.026641605862110736
Cymbella,415009,0.026279713558600686
Solanum,372122,0.023563969862951416
Burmannia,367105,0.023246277179362628
Oleispira,318001,0.020136852914873115
Schoepfia,307900,0.019497224890768997
Globigerinoides,276945,0.017537054067470022
Globorotalia,267044,0.016910090690907816
Syndiniales,244583,0.015487787448713718
Dendrodoa,187470,0.011871207373408457
Gnetum,131530,0.008328905455936493
Bothrioplana,130856,0.00828622559372026
Cajanus,128915,0.008163315189326033
Melosira,124029,0.007853917849877195
NS5,112242,0.007107526846994784
Tenacibaculum,110038,0.006967962431082946
Dokdonia,100145,0.006341505640422414
Cuscuta,98597,0.006243481268448038
NS3a,94658,0.005994051035110139
Alteromonas,89219,0.005649635945207922
Lepidodasys,89115,0.005643050328486129
Acari,84659,0.005360881981252396
Meloidoderita,79025,0.005004118859996818
Arthurdendyus,71913,0.004553763993406531
Enoplida,65462,0.004145265786942255
Chlamydomonas,65192,0.0041281685127606774
Araucaria,64741,0.004099609732553672
Serinthea,62797,0.0039765093584463165
Convoluta,59400,0.003761400319946991
Plasmodium,59246,0.0037516485413397207
Pseudophaeobacter,57819,0.0036612862811282
Trichodorus,57732,0.0036557771594474694
Glaciecola,57157,0.0036193662977644808
Psychrosphaera,55931,0.0035417320083325782
Psychrobacter,55710,0.003527737572798769
Shewanella,54805,0.00347043004267163
Polaribacter,53953,0.0034164786441430975
Piskurozyma,53391,0.0033808909845503333
Peridiniphycidae,50607,0.003204599090766959
Candidatus,50052,0.0031694546938381613
Planktomarina,48875,0.0030949232430540264
Sulfitobacter,46485,0.0029435807049282134
BAL58,46019,0.002914072076155565
Thalassolituus,43462,0.0027521545573322577
Erythrobacter,42613,0.0026983931285168537
Litostomatea,33920,0.0021479242231077765
Eutreptiella,32495,0.0020576886093716744
Chaetoceros,31659,0.002004750382646495
Klebsormidium,30308,0.001919200688500899
Yamadazyma,30229,0.001914198152721845
Spirotrichea,28927,0.0018317512972240168
Pentapharsodinium,28130,0.0017812826767695093
Paraglaciecola,26205,0.0016593854441786346
Streptococcus,25056,0.001586627044050367
Lutimonas,22198,0.0014056492306764865
Prevotella,21580,0.0013665154697719876
Oceaniserpentilla,21561,0.0013653123282555061
Candida,21483,0.0013603731157141618
Pseudohongiella,21329,0.0013506213371068916
Flavobacterium,21254,0.001345872094278676
Luminiphilus,21204,0.0013427059323931985
Loktanella,20011,0.001267161309805711
Fluviicola,18834,0.0011926298590215763
Xylariaceae,17942,0.0011361455309846617
Heliimonas,17934,0.0011356389450829854
Neurospora,17573,0.0011127792562698395
Methanosaeta,17362,0.0010994180531131255
Oceanococcus,17350,0.001098658174260611
Neptunomonas,16571,0.0010493293720848752
Alkanindiges,16397,0.0010383111287234142
Pseudomonas,16248,0.0010288759663046921
Ruminococcaceae,15687,0.0009933516299496371
Arenicella,15360,0.0009726449312186158
Rubritalea,15247,0.0009654894053574372
Marinobacterium,15210,0.0009631464455621841
Conthreep,14674,0.0009292051901498678
Rickettsia,14398,0.0009117279765420332
Spumellaria,14297,0.0009053323295333691
Dimeregramma,13778,0.0008724675691621152
Bacteroides,13750,0.0008706945185062479
Collinsella,13621,0.0008625258208417166
Winogradskyella,13524,0.0008563834667838907
Vibrio,13485,0.0008539138605132184
