,GCF_000967895.1_nr_rpm,GCF_001653755.1_nr_rpm,GCF_030704535.1_nr_rpm,GCF_000208865.1_nr_rpm,GCF_032362555.1_nr_rpm,GCF_000204415.1_nr_rpm,GCF_002310855.1_nr_rpm,GCF_000150955.2_nr_rpm,GCF_000007345.1_nr_rpm,GCF_009362255.1_nr_rpm,GCF_002287195.1_nr_rpm,GCF_000002765.6_nr_rpm,GCF_000016525.1_nr_rpm,GCF_000063445.1_nr_rpm,GCF_000012325.1_nr_rpm
1449799,5e-06,,,,,,,,,,,,,,
92647,1e-05,,,,,,,,,,,,,,
1697053,5e-06,,,,,,,,,,,,,,
2182327,5e-06,,,,,,,,,,,,,,
2030817,0.00506,,,,,,,,,,,,,,
2024846,1.5e-05,,,,,,,,,,,,,,
188908,0.97319,,,,,,,,,,,,,,
1822250,0.00969,,,,,,,,,,,,,,
484498,5e-06,,,,,,2.5e-06,,,,,,,,
187493,3e-05,,,,,,,,,,,,,,
2653152,5e-06,,,,,,,,,,,,,,
1572645,6e-05,,,,,,,,,,,,,,
553,3e-05,,,,,,3.5e-05,,,,,,,,5.5e-05
649161,5e-06,,,,,,4.75e-05,,,,,,,,3.5e-05
314281,1.5e-05,,,,,,7.5e-06,,,,,,,,0.0004
348147,5e-06,,,,,,,,,,,,,,
165438,5e-05,,,,,,2.5e-06,,,,,,,,
758796,0.00616,,,,,,,,,,,,,,0.00875
56799,5e-06,,,,,,2.5e-06,,,,,,,,0.00018
28229,5e-06,,,,,,,,,,,,,,0.722865
29544,2e-05,,,,,,5e-06,,,,,,,,
6269,5e-06,,,5.87122144547685e-05,1.515174472e-06,,,,,,,,,,
2756,5e-06,,,,,,,,,,,,,,
1420917,1.5e-05,,,,,,,,,,,,,,
388400,5e-05,,,,,,1.75e-05,,,,,,,,
727,5e-06,,,,,,,,,,,,,,5e-06
723172,1e-05,,,,,,,,,,,,,,
246167,2e-05,,,,,,1.75e-05,,,,,,,,
670,5e-06,,2.55476088e-06,,,,,,,,,,,,5e-06
318456,5e-06,,,,,,7.5e-06,,,,,,,,
244366,1e-05,,,,,,1.25e-05,,,,,,,,
573,1.5e-05,,6.812695681e-06,,2.121244261e-05,,2.5e-06,,,,,3.5785165903607643e-07,,2e-05,
562,1.5e-05,,1.4476978320000001e-05,,,,0.00534,,,,,,,,1e-05
1977880,5e-06,,,,,,,,,,,,,,
470,1e-05,,0.00011624162010000001,,0.0001621236685,,7.5e-06,,,,,,,,2e-05
2832375,5e-06,,,,,,,,,,,,,,
2653165,1.5e-05,,,,,,,,,,,,,,
29438,1.5e-05,,,,,,0.00013,,,,,,,,5e-06
317,2e-05,,,,,,,,,,,,,,
