,GCF_000967895.1_nt_rpm,GCF_001653755.1_nt_rpm,GCF_030704535.1_nt_rpm,GCF_000208865.1_nt_rpm,GCF_032362555.1_nt_rpm,GCF_000204415.1_nt_rpm,GCF_002310855.1_nt_rpm,GCF_000150955.2_nt_rpm,GCF_000007345.1_nt_rpm,GCF_009362255.1_nt_rpm,GCF_002287195.1_nt_rpm,GCF_000002765.6_nt_rpm,GCF_000016525.1_nt_rpm,GCF_000063445.1_nt_rpm,GCF_000012325.1_nt_rpm
188908,0.9951,,,,,,,,,,,,,,
326320,,0.99317,,,,,,,,,,,,,
313590,,2e-05,,,,,,,,,,,,,
149353,,,4.2579348000000003e-07,,,,,,,,,,,,
2136672,,,4.2579348000000003e-07,,,,,,,,,,,,
416090,,,4.2579348000000003e-07,,,,,,,,,,,,
345095,,,8.515869600000001e-07,,,,,,,,,,,,
345093,,,4.2579348000000003e-07,,,,,,,,,,,,
2976882,,,4.2579348000000003e-07,,,,,,,,,,,,
934824,,,4.2579348000000003e-07,,0.0001606084941,,,,,,,,,,
987876,,,4.2579348000000003e-07,,6.666767677999999e-05,,,,,,3.4452647007205363e-06,,,,
987875,,,4.2579348000000003e-07,,7.424354913999999e-05,,,,,,6.890529401441072e-07,,,,
548140,,,4.2579348000000003e-07,,,,,,,,,,,,
1660579,,,8.515869600000001e-07,,0.00037121774570000003,,,,,,,,,,
558755,,,8.515869600000001e-07,,3.030348945e-06,,,,,,4.134317640864643e-06,,,,
310453,,,4.2579348000000003e-07,,,,,,,,,,,,
2029555,,,4.2579348000000003e-07,,,,,,,,,,,,
345131,,,8.515869600000001e-07,,,,,,,,,,,,
2598218,,,4.2579348000000003e-07,,7.575872362e-06,,,,,,6.890529401441072e-07,,,,
662956,,,4.2579348000000003e-07,,3.787936181e-05,,,,,,3.4452647007205353e-07,,,,
2867102,,,4.2579348000000003e-07,,3.030348945e-06,,,,,,1.7226323503602677e-06,,,,
264432,,,8.515869600000001e-07,,,,,,,,,,,,
722662,,,4.2579348000000003e-07,,3.484901286e-05,,,,,,,,,,
178808,,,4.2579348000000003e-07,,,,,,,,,,,,
178804,,,4.2579348000000003e-07,,,,,,,,,,,,
2689579,,,4.2579348000000003e-07,,,,,,,,,,,,
152359,,,4.2579348000000003e-07,,,,,,,,,,,,
2908915,,,4.2579348000000003e-07,,,,,,,,,,,,
2003742,,,4.2579348000000003e-07,,,,,,,,,,,,
1006121,,,2.1289674e-06,,,,,,,,,,,,
485369,,,4.2579348000000003e-07,,,,,,,,,,,,
255354,,,4.2579348000000003e-07,,,,,,,,,,,,
332429,,,4.2579348000000003e-07,,,,,,,,,,,,
165298,,,4.2579348000000003e-07,,,,,,,,,,,,
149359,,,2.1289674e-06,,,,,,,,,,,,
2884235,,,4.2579348000000003e-07,,3.030348945e-06,,,,,,,,,,
138070,,,8.515869600000001e-07,,0.0001075773875,,,,,,,,,,
2954194,,,4.2579348000000003e-07,,,,,,,,,,,,
1148074,,,8.515869600000001e-07,,,,,,,,,,,,
1051289,,,4.2579348000000003e-07,,,,,,,,,,,,
345087,,,4.2579348000000003e-07,,,,,,,,,,,,
714442,,,8.515869600000001e-07,,,,,,,,,,,,
416091,,,4.2579348000000003e-07,,,,,,,,,,,,
345099,,,3.8321413209999996e-06,,,,,,,,,,,,
345097,,,4.2579348000000003e-07,,,,,,,,,,,,
345092,,,1.27738044e-06,,,,,,,,,,,,
102599,,,4.2579348000000003e-07,,1.515174472e-06,,,,,,,,,,
210075,,,4.2579348000000003e-07,,,,,,,,,,,,
2763562,,,4.2579348000000003e-07,,,,,,,,,,,,
79561,,,8.515869600000001e-07,,,,,,,,,,,,
326968,,,4.2579348000000003e-07,,,,,,,,,,,,
210372,,,4.2579348000000003e-07,,,,,,,,,,,,
443222,,,4.2579348000000003e-07,,,,,,,,,,,,
67918,,,4.2579348000000003e-07,,,,,,,,,,,,
344094,,,4.2579348000000003e-07,,,,,,,,,,,,
1642859,,,4.2579348000000003e-07,,,,,,,,,,,,
47615,,,1.021904352e-05,,1.515174472e-06,,,,,,,,,,
46745,,,4.2579348000000003e-07,,,,,,,,,,,,
991123,,,4.2579348000000003e-07,,,,,,,,,,,,
2015165,,,4.2579348000000003e-07,,,,,,,,,,,,
24957,,,4.2579348000000003e-07,,,,,,,,,,,,
2768810,,,4.2579348000000003e-07,,6.060697889e-06,,,,,,1.2747479392665982e-05,,,,
28930,,,1.7031739200000001e-06,,1.515174472e-06,,,,,,,,,,
28929,,,1.7031739200000001e-06,,,,,,,,,,,,
577420,,,4.2579348000000003e-07,,,,,,,,,,,,
50507,,,4.2579348000000003e-07,,,,,,,,,,,,
45171,,,8.515869600000001e-07,,,,,,,,,,,,
13451,,,8.515869600000001e-07,,1.515174472e-06,,,,,,3.4452647007205353e-07,,,,
13441,,,4.2579348000000003e-07,,,,,,,,,,,,
33127,,,4.2579348000000003e-07,,,,,,,,,,,,
433483,,,4.2579348000000003e-07,,,,,,,,,,,,
176864,,,8.515869600000001e-07,,3.030348945e-06,,,,,,,,,,
158543,,,4.2579348000000003e-07,,,,,,,,,,,,
2587412,,,4.2579348000000003e-07,,,,,,,,,,,,
276776,,,4.2579348000000003e-07,,,,,,,,,,,,
122310,,,4.2579348000000003e-07,,,,,,,,,,,,
4373,,,8.515869600000001e-07,,,,,,,,,,,,
49997,,,4.2579348000000003e-07,,,,,,,,,,,,
321363,,,4.2579348000000003e-07,,,,,,,,,,,,
60698,,,4.2579348000000003e-07,,,,,,,,,,,,
4330,,,4.2579348000000003e-07,,,,,,,,,,,,
4298,,,2.9805543600000003e-06,,,,,,,,,,,,
45834,,,4.2579348000000003e-07,,4.545523417e-06,,,,,,1.0335794102161607e-06,,,,
28526,,,4.2579348000000003e-07,,1.515174472e-06,,,,,,6.890529401441072e-07,,,,
44685,,,4.2579348000000003e-07,,,,,,,,,,,,
47965,,,4.2579348000000003e-07,,,,,,,,,,,,
4002,,,4.2579348000000003e-07,,1.515174472e-06,,,,,,,,,,
36775,,,4.2579348000000003e-07,,,,,,,,,,,,
1616296,,,1.27738044e-06,,,,,,,,,,,,
489508,,,4.2579348000000003e-07,,,,,,,,,,,,
3750,,,8.515869600000001e-07,,7.575872362e-06,,,,,,,,,,
38785,,,8.515869600000001e-07,,,,,,,,,,,,
3649,,,4.2579348000000003e-07,,,,,,,,,,,,
165200,,,4.2579348000000003e-07,,,,,,,,,,,,
416114,,,8.515869600000001e-07,,,,,,,,,,,,
345127,,,8.515869600000001e-07,,,,,,,,,,,,
3607,,,8.515869600000001e-07,,,,,,,,,,,,
2983818,,,2.55476088e-06,,,,,,,,,,,,
2877934,,,8.515869600000001e-07,,,,,,,,,,,,
2817680,,,1.7031739200000001e-06,,,,,,,,,,,,
2784648,,,4.2579348000000003e-07,,,,,,,,,,,,
2784646,,,4.2579348000000003e-07,,,,,,,,,,,,
2784611,,,4.2579348000000003e-07,,,,,,,,,,,,
2599121,,,0.018303158530000002,,,,,,,,,,,,
2448770,,,1.27738044e-06,,,,,,,,,,,,
2448769,,,1.27738044e-06,,,,,,,,,,,,
2448768,,,8.515869600000001e-07,,,,,,,,,,,,
2448766,,,0.000266972512,,,,,,,,,,,,
2316920,,,8.515869600000001e-07,,,,,,,,,,,,
2021218,,,8.515869600000001e-07,,,,,,,,,,,,
2021217,,,4.2579348000000003e-07,,,,,,,,,,,,
2021216,,,1.7031739200000001e-06,,,,,,,,,,,,
2021215,,,3.4063478400000002e-06,,,,,,,,,,,,
2018007,,,0.0491689279,,,,,,,,,,,,
1749390,,,4.2579348000000003e-07,,,,,,,,,,,,
1306156,,,1.7031739200000001e-06,,,,,,,,,,,,
1239142,,,1.27738044e-06,,,,,,,,,,,,
1051312,,,2.9805543600000003e-06,,,,,,,,,,,,
1046265,,,2.1289674e-06,,,,,,,,,,,,
1046264,,,0.0004462315671,,,,,,,,,,,,
1046262,,,0.00044750894749999995,,,,,,,,,,,,
1046260,,,8.515869600000001e-07,,,,,,,,,,,,
1046259,,,2.1289674e-06,,,,,,,,,,,,
1046257,,,8.515869600000001e-07,,,,,,,,,,,,
1046255,,,4.2579348000000003e-07,,,,,,,,,,,,
1046254,,,1.27738044e-05,,,,,,,,,,,,
1046253,,,8.515869600000001e-07,,,,,,,,,,,,
884148,,,4.683728280999999e-06,,,,,,,,,,,,
884147,,,0.09221622294000001,,6.060697889e-06,,,,,,,,,,
