,taxon_id,GCF_000002765.6_class,GCF_000007345.1_class,GCF_000012325.1_class,GCF_000016525.1_class,GCF_000063445.1_class,GCF_000150955.2_class,GCF_000204415.1_class,GCF_000208865.1_class,GCF_000967895.1_class,GCF_001653755.1_class,GCF_002287195.1_class,GCF_002310855.1_class,GCF_009362255.1_class,GCF_030704535.1_class,GCF_032362555.1_class
Aconoidasida,422676.0,0.63814,2e-05,,,,1.2087493143369515e-06,,0.00011308031493583408,,,,,,1.1904761904761905e-05,2.0303030303030303e-05
Actinomycetia,1760.0,0.00021714285714285715,0.00013,,,1e-05,3.7471228744445494e-06,1e-05,,,,6.896551724137931e-07,3e-05,,0.014973809523809525,0.0020554545454545456
Gammaproteobacteria,1236.0,8.571428571428571e-05,,0.96569,,1e-05,1.2570992869104295e-05,,1.0019774741149855e-05,0.97572,0.00013,1.3793103448275862e-05,0.97867,0.00053,0.020576190476190477,0.010063636363636363
Bacilli,91061.0,7.571428571428571e-05,,0.00035,,,3.867997805878245e-06,,2.8627927831856727e-06,0.0002,,6.896551724137931e-07,,,0.005368095238095238,0.0007781818181818182
Spirotrichea,33829.0,4.642857142857143e-05,,,,,6.1646215031184525e-06,,7.156981957964182e-07,,,,,,1.380952380952381e-05,1.0606060606060606e-05
Kinetoplastea,5653.0,3.928571428571428e-05,,,,,3.6262479430108546e-07,,4.294189174778509e-06,,,,,,2.2857142857142858e-05,4.6969696969696966e-05
Neocallimastigomycetes,451455.0,3.928571428571428e-05,,,,,,,,,,,,,3.238095238095238e-05,3.484848484848485e-05
Glomeromycetes,214506.0,1e-05,,,,,9.18649478896083e-06,,8.588378349557018e-06,1e-05,,,,,0.0001961904761904762,0.00013878787878787878
Conoidasida,1280412.0,1e-05,,,,,4.71412232591411e-06,,0.4556399522772443,,,,,,2.857142857142857e-05,4.7575757575757576e-05
Mortierellomycetes,2212732.0,7.857142857142858e-06,,,,,1.5713741086380369e-06,,7.156981957964182e-07,,,,,,5.095238095238095e-05,9.424242424242424e-05
Spirochaetia,203692.0,7.142857142857143e-06,,,,1e-05,4.834997257347806e-07,,7.156981957964182e-07,,1e-05,,,,1.0476190476190477e-05,9.393939393939394e-06
Epsilonproteobacteria,29547.0,5e-06,,,,,2.1757487658065125e-06,,,,,,,,1.2857142857142857e-05,6.060606060606061e-06
Basidiobolomycetes,1399768.0,5e-06,,,,,3.6262479430108546e-07,,,,,,,,1e-05,2.1515151515151516e-05
Leotiomycetes,147548.0,4.2857142857142855e-06,,,,,6.043746571684758e-07,,1.4313963915928364e-06,,,,,,0.00030333333333333335,5.909090909090909e-05
Agaricomycetes,155619.0,4.2857142857142855e-06,,,,,1.4384116840609722e-05,,1.145117113274269e-05,,,,5e-06,,0.00018047619047619048,0.0005793939393939394
Bigyra,2683628.0,4.2857142857142855e-06,,,,,4.834997257347806e-07,,,,,,,,2.5714285714285714e-05,2.6666666666666667e-05
Oligohymenophorea,6020.0,3.5714285714285714e-06,,,,,,,1.7892454894910454e-05,,,,,,2.5714285714285714e-05,2.4242424242424244e-05
