,taxon_id,GCF_000002765.6_family,GCF_000007345.1_family,GCF_000012325.1_family,GCF_000016525.1_family,GCF_000063445.1_family,GCF_000150955.2_family,GCF_000204415.1_family,GCF_000208865.1_family,GCF_000967895.1_family,GCF_001653755.1_family,GCF_002287195.1_family,GCF_002310855.1_family,GCF_009362255.1_family,GCF_030704535.1_family,GCF_032362555.1_family
Plasmodiidae,1639119.0,0.638035,2e-05,,,,3.6262479430108546e-07,,6.870702679645614e-05,,,,,,1.9047619047619047e-06,3.3333333333333333e-06
Streptosporangiaceae,2004.0,0.00021714285714285715,,,,,,,,,,,,,3.8095238095238094e-06,2.4242424242424244e-06
Streptococcaceae,1300.0,7.571428571428571e-05,,0.00015,,,,,,8e-05,,3.4482758620689656e-07,,,0.002092857142857143,3.606060606060606e-05
Oxytrichidae,57506.0,4.642857142857143e-05,,,,,3.5053730115771593e-06,,7.156981957964182e-07,,,,,,7.142857142857143e-06,6.96969696969697e-06
Enterobacteriaceae,543.0,4.142857142857143e-05,,0.0008,,,,,3.578490978982091e-06,0.00025,,,0.000495,,0.005406666666666666,0.0026184848484848483
Trypanosomatidae,5654.0,3.928571428571428e-05,,,,,2.417498628673903e-07,,4.294189174778509e-06,,,,,,1.1428571428571429e-05,3.909090909090909e-05
Neocallimastigaceae,29007.0,3.928571428571428e-05,,,,,,,,,,,,,3.238095238095238e-05,3.484848484848485e-05
Spongiibacteraceae,1706375.0,2.857142857142857e-05,,,,,,,,0.00011,,,5e-06,,,9.09090909090909e-07
Theileriidae,27994.0,1.2142857142857142e-05,,,,,1.2087493143369515e-07,,2.9343626027653148e-05,,,,,,2.8571428571428573e-06,7.575757575757576e-06
Pythiaceae,4782.0,1e-05,,,,,5.076747120215196e-06,,5.725585566371345e-06,,,,,,2.8095238095238096e-05,3.121212121212121e-05
Vibrionaceae,641.0,9.285714285714286e-06,,0.00251,,,1.2087493143369515e-07,,,0.00115,6e-05,,0.00152,1e-05,0.00879095238095238,0.0007875757575757575
Acaulosporaceae,36752.0,8.571428571428571e-06,,,,,7.252495886021709e-07,,,,,,,,5.7142857142857145e-06,1.1212121212121212e-05
Mortierellaceae,4854.0,7.857142857142858e-06,,,,,1.5713741086380369e-06,,7.156981957964182e-07,,,,,,5.095238095238095e-05,9.424242424242424e-05
Brachyspiraceae,143786.0,7.142857142857143e-06,,,,,,,,,,,,,,3.636363636363636e-06
Sarcocystidae,5809.0,5.7142857142857145e-06,,,,,3.867997805878245e-06,,0.45500655937396445,,,,,,1.2857142857142857e-05,2.9696969696969696e-05
Basidiobolaceae,4858.0,5e-06,,,,,3.6262479430108546e-07,,,,,,,,1e-05,2.1515151515151516e-05
Helicobacteraceae,72293.0,5e-06,,,,,2.1757487658065125e-06,,,,,,,,7.619047619047619e-06,6.060606060606061e-07
Sclerotiniaceae,28983.0,4.2857142857142855e-06,,,,,3.6262479430108546e-07,,,,,,,,4.2857142857142855e-06,3.3333333333333333e-06
Blastocystidae,2547934.0,4.2857142857142855e-06,,,,,3.6262479430108546e-07,,,,,,,,1.1904761904761905e-05,9.090909090909091e-06
Legeriomycetaceae,4883.0,3.5714285714285714e-06,,,,,,,,,,,,,9.523809523809523e-06,2.0303030303030303e-05
Tetrahymenidae,291294.0,3.5714285714285714e-06,,,,,,,1.2882567524335528e-05,,,,,,1.3333333333333333e-05,6.666666666666667e-06
Morganellaceae,1903414.0,3.5714285714285714e-06,,0.00012,,,1.2087493143369515e-07,,7.156981957964182e-07,3e-05,,,6e-05,,0.0006504761904761905,
Chlorellaceae,35461.0,2.8571428571428573e-06,,,,,6.043746571684758e-07,,7.156981957964182e-07,,,,,,0.0005461904761904762,3.7272727272727276e-05
Pleomassariaceae,85915.0,2.8571428571428573e-06,,,,,,,,,,,,,,5.151515151515151e-06
Ceratobasidiaceae,5250.0,2.1428571428571427e-06,,,,,,,7.156981957964182e-07,,,,,,1.9523809523809524e-05,1.0909090909090909e-05
Eimeriidae,5799.0,2.1428571428571427e-06,,,,,1.2087493143369515e-07,,0.00017964024714490096,,,,,,2.8571428571428573e-06,7.878787878787878e-06
Aspergillaceae,1131492.0,2.1428571428571427e-06,,,,,4.834997257347806e-07,,7.156981957964182e-07,,,,,,1.5714285714285715e-05,1.9696969696969697e-05
