,taxon_id,GCF_000002765.6_genus,GCF_000007345.1_genus,GCF_000012325.1_genus,GCF_000016525.1_genus,GCF_000063445.1_genus,GCF_000150955.2_genus,GCF_000204415.1_genus,GCF_000208865.1_genus,GCF_000967895.1_genus,GCF_001653755.1_genus,GCF_002287195.1_genus,GCF_002310855.1_genus,GCF_009362255.1_genus,GCF_030704535.1_genus,GCF_032362555.1_genus
Plasmodium,5820.0,0.636315,2e-05,,,,3.6262479430108546e-07,,6.727563040486332e-05,,,,,,9.523809523809523e-07,3.3333333333333333e-06
Thermopolyspora,359169.0,0.00021714285714285715,,,,,,,,,,,,,,
Streptococcus,1301.0,7.571428571428571e-05,,0.00015,,,,,,8e-05,,,,,0.002092857142857143,3.606060606060606e-05
Stylonychia,5948.0,4.642857142857143e-05,,,,,3.5053730115771593e-06,,7.156981957964182e-07,,,,,,5.2380952380952384e-06,6.96969696969697e-06
Klebsiella,570.0,4e-05,,0.00011,,,,,,0.00015,,,7e-05,,0.002444761904761905,0.0009884848484848485
Piromyces,4821.0,3.928571428571428e-05,,,,,,,,,,,,,2.3809523809523808e-06,6.666666666666667e-06
Zhongshania,1434050.0,2.857142857142857e-05,,,,,,,,,,,,,,
Trypanosoma,5690.0,2.5714285714285714e-05,,,,,2.417498628673903e-07,,1.4313963915928364e-06,,,,,,5.2380952380952384e-06,1.909090909090909e-05
Hepatocystis,77566.0,1.5714285714285715e-05,,,,,,,,,,,,,4.761904761904762e-07,
Mitosporidium,1633384.0,1.2857142857142857e-05,,,,,9.669994514695612e-07,,,,,,,,4.2857142857142855e-06,5.757575757575758e-06
Leishmania,5658.0,1.2142857142857142e-05,,,,,,,1.4313963915928364e-06,,,,,,1.9047619047619047e-06,1.1515151515151515e-05
Theileria,5873.0,1.2142857142857142e-05,,,,,1.2087493143369515e-07,,2.9343626027653148e-05,,,,,,2.8571428571428573e-06,7.575757575757576e-06
Globisporangium,1448052.0,1e-05,,,,,,,5.725585566371345e-06,,,,,,9.047619047619047e-06,1.0909090909090909e-05
Vibrio,662.0,9.285714285714286e-06,,0.0018,,,1.2087493143369515e-07,,,0.00084,6e-05,,0.000925,1e-05,0.008256190476190476,0.0007872727272727273
Acaulospora,27372.0,8.571428571428571e-06,,,,,7.252495886021709e-07,,,,,,,,5.7142857142857145e-06,1.1212121212121212e-05
Brachyspira,29521.0,7.142857142857143e-06,,,,,,,,,,,,,,3.636363636363636e-06
Linnemannia,2779861.0,7.142857142857143e-06,,,,,,,,,,,,,2.8571428571428573e-06,3.939393939393939e-06
Helicobacter,209.0,5e-06,,,,,2.1757487658065125e-06,,,,,,,,7.619047619047619e-06,6.060606060606061e-07
Basidiobolus,4859.0,5e-06,,,,,3.6262479430108546e-07,,,,,,,,1e-05,2.1515151515151516e-05
Besnoitia,94642.0,5e-06,,,,,,,0.0009919576993738357,,,,,,4.761904761904762e-07,1.2727272727272727e-05
Blastocystis,12967.0,4.2857142857142855e-06,,,,,3.6262479430108546e-07,,,,,,,,1.1904761904761905e-05,9.090909090909091e-06
Monilinia,38447.0,4.2857142857142855e-06,,,,,,,,,,,,,,2.121212121212121e-06
Smittium,4888.0,3.5714285714285714e-06,,,,,,,,,,,,,7.619047619047619e-06,1.7575757575757576e-05
