,taxon_id,GCF_000002765.6_order,GCF_000007345.1_order,GCF_000012325.1_order,GCF_000016525.1_order,GCF_000063445.1_order,GCF_000150955.2_order,GCF_000204415.1_order,GCF_000208865.1_order,GCF_000967895.1_order,GCF_001653755.1_order,GCF_002287195.1_order,GCF_002310855.1_order,GCF_009362255.1_order,GCF_030704535.1_order,GCF_032362555.1_order
Haemosporida,5819.0,0.6380921428571429,2e-05,,,,3.6262479430108546e-07,,6.942272499225257e-05,,,,,,1.9047619047619047e-06,3.3333333333333333e-06
Streptosporangiales,85012.0,0.00021714285714285715,,,,,,,,,,,,,0.0005419047619047619,3.636363636363636e-06
Lactobacillales,186826.0,7.571428571428571e-05,,0.00015,,,3.6262479430108546e-07,,,9e-05,,3.4482758620689656e-07,,,0.002912857142857143,0.0003115151515151515
Sporadotrichida,693921.0,4.642857142857143e-05,,,,,6.1646215031184525e-06,,7.156981957964182e-07,,,,,,1.2857142857142857e-05,1e-05
Enterobacterales,91347.0,4.5e-05,,0.00134,,,1.2087493143369515e-07,,4.294189174778509e-06,0.00038,,,0.000775,,0.006186666666666667,0.003106666666666667
Neocallimastigales,29006.0,3.928571428571428e-05,,,,,,,,,,,,,3.238095238095238e-05,3.484848484848485e-05
Trypanosomatida,2704949.0,3.928571428571428e-05,,,,,2.417498628673903e-07,,4.294189174778509e-06,,,,,,1.1428571428571429e-05,3.909090909090909e-05
Cellvibrionales,1706369.0,2.857142857142857e-05,,3e-05,,,,,,0.00031,,,1e-05,,4.2857142857142855e-06,4.848484848484849e-06
Piroplasmida,5863.0,1.2142857142857142e-05,,,,,8.46124520035866e-07,,3.292211700663524e-05,,,,,,7.142857142857143e-06,1.1818181818181819e-05
Pythiales,121069.0,1e-05,,,,,5.076747120215196e-06,,5.725585566371345e-06,,,,,,2.8095238095238096e-05,3.121212121212121e-05
Diversisporales,214509.0,1e-05,,,,,1.8131239715054272e-06,,5.009887370574928e-06,,,,,,1.8095238095238094e-05,5.939393939393939e-05
Eucoccidiorida,75739.0,9.285714285714286e-06,,,,,4.109747668745635e-06,,0.4556206284259578,,,,,,2.0476190476190476e-05,4.090909090909091e-05
Vibrionales,135623.0,9.285714285714286e-06,,0.00251,,,1.2087493143369515e-07,,,0.00116,6e-05,,0.00152,1e-05,0.00879095238095238,0.0007875757575757575
Mortierellales,214503.0,7.857142857142858e-06,,,,,1.5713741086380369e-06,,7.156981957964182e-07,,,,,,5.095238095238095e-05,9.424242424242424e-05
Brachyspirales,1643686.0,7.142857142857143e-06,,,,,,,,,,,,,,3.636363636363636e-06
Campylobacterales,213849.0,5e-06,,,,,2.1757487658065125e-06,,,,,,,,1.1904761904761905e-05,5.151515151515151e-06
Basidiobolales,1264872.0,5e-06,,,,,3.6262479430108546e-07,,,,,,,,1e-05,2.1515151515151516e-05
Helotiales,5178.0,4.2857142857142855e-06,,,,,6.043746571684758e-07,,,,,,,,1.8095238095238094e-05,1.7575757575757576e-05
Opalinata,42740.0,4.2857142857142855e-06,,,,,3.6262479430108546e-07,,,,,,,,1.1904761904761905e-05,9.090909090909091e-06
Hymenostomatida,31277.0,3.5714285714285714e-06,,,,,,,1.2882567524335528e-05,,,,,,1.4761904761904761e-05,1.2121212121212122e-05
Harpellales,61421.0,3.5714285714285714e-06,,,,,,,,,,,,,1.4761904761904761e-05,2.4545454545454545e-05
Chlorellales,35460.0,2.8571428571428573e-06,,,,,6.043746571684758e-07,,7.156981957964182e-07,,,,,,0.0005466666666666667,3.7272727272727276e-05
