,taxon_id,GCF_000002765.6_species,GCF_000007345.1_species,GCF_000012325.1_species,GCF_000016525.1_species,GCF_000063445.1_species,GCF_000150955.2_species,GCF_000204415.1_species,GCF_000208865.1_species,GCF_000967895.1_species,GCF_001653755.1_species,GCF_002287195.1_species,GCF_002310855.1_species,GCF_009362255.1_species,GCF_030704535.1_species,GCF_032362555.1_species
Plasmodium falciparum,5833.0,0.2274357142857143,,,,,,,5.725585566371345e-06,,,,,,,
Plasmodium reichenowi,5854.0,0.0006957142857142857,,,,,,,1.7892454894910454e-05,,,,,,,3.0303030303030305e-07
Plasmodium ovale,36330.0,0.0006335714285714285,,,,,,,3.578490978982091e-06,,,,,,,3.0303030303030305e-07
Plasmodium sp.,31272.0,0.0005814285714285714,,,,,,,2.8627927831856727e-06,,,,,,,
Plasmodium yoelii,5861.0,0.00045642857142857144,,,,,1.2087493143369515e-07,,7.156981957964182e-06,,,,,,,
Plasmodium sp. gorilla clade G1,880534.0,0.00029642857142857145,,,,,,,,,,,,,,
Plasmodium sp. DRC-Itaito,720590.0,0.0002614285714285714,,,,,,,7.156981957964182e-06,,,,,,,
Plasmodium malariae,5858.0,0.00022214285714285714,,,,,,,2.8627927831856727e-06,,,,,,,
Thermopolyspora flexuosa,103836.0,0.00021714285714285715,,,,,,,,,,,,,,
Plasmodium vivax,5855.0,0.0001792857142857143,,,,,,,6.441283762167764e-06,,,,,,,
Plasmodium sp. gorilla clade G3,880536.0,0.0001707142857142857,2e-05,,,,,,,,,,,,,
Plasmodium sp. gorilla clade G2,880535.0,9.714285714285714e-05,,,,,,,1.4313963915928364e-06,,,,,,,
Plasmodium gaboni,647221.0,7.214285714285714e-05,,,,,,,,,,,,,,
Streptococcus infantis,68892.0,5.0714285714285716e-05,,,,,,,,,,,,,,
Plasmodium knowlesi,5850.0,4.7857142857142856e-05,,,,,,,2.1470945873892545e-06,,,,,,,
Stylonychia lemnae,5949.0,4.642857142857143e-05,,,,,3.5053730115771593e-06,,7.156981957964182e-07,,,,,,5.2380952380952384e-06,6.96969696969697e-06
Klebsiella pneumoniae,573.0,4e-05,,0.00011,,,,,,0.00014,,,3e-05,,0.002327142857142857,0.0009106060606060606
Piromyces finnis,1754191.0,3.928571428571428e-05,,,,,,,,,,,,,9.523809523809523e-07,3.636363636363636e-06
Zhongshania marina,2304603.0,2.857142857142857e-05,,,,,,,,,,,,,,
Plasmodium vinckei,5860.0,2.7142857142857144e-05,,,,,,,,,,,,,,
Trypanosoma cruzi,5693.0,2.5714285714285714e-05,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,9.523809523809523e-07,8.787878787878788e-06
Plasmodium relictum,85471.0,2.5714285714285714e-05,,,,,,,,,,,,,,
Plasmodium chabaudi,5825.0,2.2857142857142858e-05,,,,,,,,,,,,,,
Plasmodium gallinaceum,5849.0,2.1428571428571428e-05,,,,,,,,,,,,,4.761904761904762e-07,
Streptococcus australis,113107.0,2.1428571428571428e-05,,,,,,,,,,,,,,
Plasmodium cynomolgi,5827.0,2e-05,,,,,,,2.1470945873892545e-06,,,,,,,
Plasmodium coatneyi,208452.0,1.8571428571428572e-05,,,,,,,,,,,,,,
Plasmodium gonderi,77519.0,1.5714285714285715e-05,,,,,,,,,,,,,,
Hepatocystis sp. ex Piliocolobus tephrosceles,2600580.0,1.5714285714285715e-05,,,,,,,,,,,,,4.761904761904762e-07,
Plasmodium fragile,5857.0,1.4285714285714285e-05,,,,,,,,,,,,,,
Mitosporidium daphniae,1485682.0,1.2857142857142857e-05,,,,,9.669994514695612e-07,,,,,,,,4.2857142857142855e-06,5.757575757575758e-06
Leishmania tarentolae,5689.0,1.2142857142857142e-05,,,,,,,7.156981957964182e-07,,,,,,9.523809523809523e-07,9.393939393939394e-06
Theileria orientalis,68886.0,1.0714285714285714e-05,,,,,,,2.290234226548538e-05,,,,,,2.3809523809523808e-06,3.636363636363636e-06
Globisporangium splendens,82926.0,1e-05,,,,,,,5.725585566371345e-06,,,,,,9.047619047619047e-06,1.0909090909090909e-05
Vibrio cholerae,666.0,9.285714285714286e-06,,0.00026,,,,,,6e-05,,,0.000115,,0.007135714285714286,5.4545454545454545e-06
Plasmodium inui,52288.0,9.285714285714286e-06,,,,,,,,,,,,,,
Acaulospora morrowiae,94023.0,8.571428571428571e-06,,,,,7.252495886021709e-07,,,,,,,,4.2857142857142855e-06,6.96969696969697e-06
Plasmodium berghei,5821.0,7.857142857142858e-06,,,,,,,,,,,,,,
Brachyspira pilosicoli,52584.0,7.142857142857143e-06,,,,,,,,,,,,,,
Linnemannia elongata,310910.0,7.142857142857143e-06,,,,,,,,,,,,,,
Helicobacter pylori,210.0,5e-06,,,,,2.1757487658065125e-06,,,,,,,,7.142857142857143e-06,3.0303030303030305e-07
Besnoitia besnoiti,94643.0,5e-06,,,,,,,0.0009919576993738357,,,,,,4.761904761904762e-07,1.2727272727272727e-05
Basidiobolus meristosporus,423460.0,5e-06,,,,,3.6262479430108546e-07,,,,,,,,1e-05,2.0606060606060605e-05
Blastocystis hominis,12968.0,4.2857142857142855e-06,,,,,,,,,,,,,2.8571428571428573e-06,2.121212121212121e-06
Tetrahymena thermophila,5911.0,3.5714285714285714e-06,,,,,,,1.2882567524335528e-05,,,,,,1.3333333333333333e-05,6.666666666666667e-06
Smittium simulii,133385.0,3.5714285714285714e-06,,,,,,,,,,,,,2.3809523809523808e-06,5.151515151515151e-06
Pleomassaria siparia,100044.0,2.8571428571428573e-06,,,,,,,,,,,,,,5.151515151515151e-06
Helicosporidium sp. ATCC 50920,1291522.0,2.8571428571428573e-06,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,1.761904761904762e-05,5.151515151515151e-06
Providencia rettgeri,587.0,2.1428571428571427e-06,,,,,,,,,,,,,,
Monilinia fructicola,38448.0,2.1428571428571427e-06,,,,,,,,,,,,,,3.0303030303030305e-07
Monilinia laxa,61186.0,2.1428571428571427e-06,,,,,,,,,,,,,,1.2121212121212122e-06
Aspergillus homomorphus,319626.0,2.1428571428571427e-06,,,,,,,,,,,,,,6.060606060606061e-07
Rhizoctonia solani,456999.0,2.1428571428571427e-06,,,,,,,,,,,,,1.2857142857142857e-05,6.666666666666667e-06
Proteus vulgaris,585.0,1.4285714285714286e-06,,,,,,,,,,,,,,
Gigaspora margarita,4874.0,1.4285714285714286e-06,,,,,4.834997257347806e-07,,,,,,,,9.523809523809523e-07,3.0303030303030305e-06
Eimeria acervulina,5801.0,1.4285714285714286e-06,,,,,1.2087493143369515e-07,,1.646105850331762e-05,,,,,,,1.2121212121212122e-06
Theileria parva,5875.0,1.4285714285714286e-06,,,,,,,4.294189174778509e-06,,,,,,,1.5151515151515152e-06
Pseudoloma neurophilia,146866.0,1.4285714285714286e-06,,,,,,,,,,,,,,
Acinetobacter baumannii,470.0,7.142857142857143e-07,,8e-05,,,1.9339989029391224e-06,,,,,,4.5e-05,,0.003159047619047619,0.0019651515151515152
Escherichia coli,562.0,7.142857142857143e-07,,0.00048,,,,,7.156981957964182e-07,4e-05,,,0.00014,,0.0018804761904761904,0.00029848484848484847
Stentor coeruleus,5963.0,7.142857142857143e-07,,,,,,,1.4313963915928364e-06,,,,,,4.7619047619047615e-06,7.272727272727272e-06
Wickerhamiella sorbophila,45607.0,7.142857142857143e-07,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Tetrabaena socialis,47790.0,7.142857142857143e-07,,,,,,,,,,,,,6.666666666666667e-06,
Eimeria necatrix,51315.0,7.142857142857143e-07,,,,,,,2.290234226548538e-05,,,,,,,
Ascoidea rubescens,54195.0,7.142857142857143e-07,,,,,3.6262479430108546e-07,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Gregarina niphandrodes,110365.0,7.142857142857143e-07,,,,,,,1.4313963915928364e-06,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Galdieria sulphuraria,130081.0,7.142857142857143e-07,,,,,,,7.156981957964182e-07,,,,,,1.4761904761904761e-05,9.090909090909091e-06
Candidatus Phytoplasma ziziphi,135727.0,7.142857142857143e-07,,,,,,,,,,,,,,
Rozella allomycis,281847.0,7.142857142857143e-07,,,,,2.417498628673903e-07,,7.156981957964182e-07,,,,,,1.4761904761904761e-05,2.6666666666666667e-05
Hypoxylon sp. CI-4A,1001833.0,7.142857142857143e-07,,,,,,,,,,,,,4.761904761904762e-07,
Gymnopus androsaceus,1447940.0,7.142857142857143e-07,,,,,,,,,,,,,1.9047619047619047e-06,3.0303030303030305e-07
Pelomyxa schiedti,1580589.0,7.142857142857143e-07,,,,,,,,,,,,,1.5238095238095238e-05,1.606060606060606e-05
Chloropicon primus,1764295.0,7.142857142857143e-07,,,,,,,,,,,,,7.714285714285714e-05,1.606060606060606e-05
Nematocida displodere,1805483.0,7.142857142857143e-07,,,,,,,,,,,,,,3.0303030303030305e-07
Candidatus Terasakiella magnetica,1867952.0,7.142857142857143e-07,,,,,1.2087493143369515e-07,,1.4313963915928364e-06,,,,,,,
