superkingdom,kingdom,phylum,class,order,family,genus,species,tax_id
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Diabelia,Diabelia spathulata,761859
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Periphyllus,Periphyllus acericola,1425412
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Homalium,Homalium ceylanicum,1679365
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,9
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,Rhododendron molle,49168
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. TT2012,1720342
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Lophostemon,Lophostemon confertus,73751
Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Schizomimiviridae,,Mimiviridae sp. ChoanoV1,2596887
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis auriculariae,2777116
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Lindera,Lindera pulcherrima,344094
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Tortrix,Tortrix viridana,311328
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis carniolica,753698
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis macrostachya,753700
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Heleomyzidae,Heteromyza,Heteromyza rotundicornis,2867252
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus baccata,106549
Eukaryota,,Oomycota,,Pythiales,Pythiaceae,Pythium,Pythium insidiosum,114742
Eukaryota,,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium gaboni,647221
