Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,SampleID,Count
fbe95386d8bf61072772099799630738,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,82327.0
114ebbae22dde659336c1de48981be71,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanoida,Calanoida,Unassigned,OL-PAMA-1a,45570.0
814f23eaf5c483399e5a9241f8627296,Eukaryota,Arthropoda,Maxillopoda,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,2946.0
880658c664f0e8e7fc58217cf49ed129,Eukaryota,Chytridiomycota,Chytridiomycetes,uncultured,uncultured,uncultured,Unassigned,OL-PAMA-1a,9267.0
5816f402bcbb7c62e1ac2a9320b229f9,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,61.0
bb409a99e351e2e0d2f90e133fa32b22,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,8917.0
f338ba87d2657e7168d977dbfc6a33d9,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,Unassigned,OL-PAMA-1a,3844.0
edd3cff5ec04647f1cf47b7fa92d750e,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,3061.0
50a72f6a7ec72eea5a9406b103b6e88b,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Chaetoceros,Unassigned,OL-PAMA-1a,4603.0
d7e8e88e00fae18123b5bf08c8628ab0,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,OL-PAMA-1a,4698.0
a513a5274550c81570db81c14be3384c,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,Unassigned,OL-PAMA-1a,1446.0
c40d514a8f84995765ac99230eec7aaa,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,OL-PAMA-1a,3769.0
4efe4e79e06715d6c8a9712b40688704,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,OL-PAMA-1a,2852.0
334d319a6059c6c223e245ff8b70168c,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,uncultured,Unassigned,OL-PAMA-1a,1388.0
fa75116da6c57c8895465fa4c65bfc02,Eukaryota,Rotifera,Monogononta,Ploimida,Ploimida,Ploimida,Unassigned,OL-PAMA-1a,1544.0
bec66fa1962ff3b98b5dea67903e55cb,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Geminigera,Unassigned,OL-PAMA-1a,1682.0
da6c3064bfe4af4a3a339f6070a82467,Eukaryota,Kathablepharidae,Kathablepharidae,Kathablepharidae,Kathablepharidae,Katablepharis,Unassigned,OL-PAMA-1a,789.0
61a4aa6e20218d620ad117daf196d166,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Navicula,Unassigned,OL-PAMA-1a,71.0
1b5b53a1a23d7974e30be24cc1a0e453,Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellales,Viridilobus,Unassigned,OL-PAMA-1a,759.0
6a2c569225a1691c5073770a4edece82,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Mesodiniidae,Myrionecta,Unassigned,OL-PAMA-1a,3761.0
a9b4b93778e6faeef07ff9bd5e8e4d8c,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Cryptomonas,Unassigned,OL-PAMA-1a,1429.0
