Genus,OL-PAMA-1a,OL-PAMA-1b,OL-PAMA-2a,OL-PAMA-2b,OL-PAMA-3a,OL-PAMA-3b,OL-PAMA-4a,OL-PAMA-4b
"=""028H05-P-BN-P5""",0.0,0.0,0.0,0.0,3.688213208229141e-05,3.210004943407613e-05,0.0003376881028260273,0.0
"=""0319-6G20""",0.0,0.0006959556156756651,5.32509718302359e-05,0.0,0.00019178708682791534,0.0,2.1105506426626707e-05,0.0
"=""053A03-B-DI-P58""",0.0,0.0,0.0,0.0,7.376426416458282e-05,0.00026322040535942424,0.0002532660771195205,0.0002508483234210238
"=""1-20""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001505089940526143
"=""11-24""",0.0,0.0,0.0,0.0004914004914004914,0.0,0.0,0.0,0.0
"=""211ds20""",0.0,0.0,0.0,0.000512311150609023,0.0,0.0,0.0,0.0
"=""37-13""",0.00043799730944509913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""4-29-1""",0.0,0.00044109862965359056,0.0,4.18213184170631e-05,0.0,0.0,0.0,0.0
"=""4572-13""",0.0,0.0,0.0,0.0,0.0,0.0,4.2211012853253414e-05,0.0
"=""67-14""",0.0006987099936386105,0.00033327452018271287,0.0015016774056126525,6.273197762559465e-05,0.0,0.00041088063275617447,0.0004010046221059074,9.121757215309957e-05
"=""A0839""",0.0003545692505031755,0.0,0.00020235369295489643,5.227664802132887e-05,0.0,0.0,0.0,0.0
"=""A31""",7.299955157418319e-05,0.0,0.0,0.00013591928485545506,0.0,0.0,0.0,0.0
"=""A4b""",9.38565663096641e-05,0.0,0.0,0.000324115217732239,0.0011876046530497834,0.00021828033615171769,0.0004221101285325341,9.577845076075455e-05
"=""AB1""",0.0,0.0,0.0,0.0,0.0,0.00017976027683082633,0.0004326628817458475,4.104790746889481e-05
"=""ADurb.Bin063-1""",0.0,0.0010390323276284576,0.0007987645774535385,0.0003345705473365048,0.0,0.0,0.0,0.0
"=""ADurb.Bin118""",0.00019814163998706864,0.0,0.0007242132168912083,0.0,0.0,0.0,0.0,0.0
"=""ADurb.Bin120""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023716568759805888
"=""ADurb.Bin180""",0.00010428507367740456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
