Phylum,OL-PAMA-1a,OL-PAMA-1b,OL-PAMA-2a,OL-PAMA-2b,OL-PAMA-3a,OL-PAMA-3b,OL-PAMA-4a,OL-PAMA-4b
Acidobacteriota,0.0037297060114085123,0.002722587879299884,0.0038852405990717548,0.002785687530229801,0.0038301024371736733,0.0017740504798000162,0.004980318224525764,0.001499246288002486
Actinobacteriota,0.009890660959425455,0.008908891227046165,0.01166700516778372,0.006753292093520549,0.011169626565012376,0.0073051293517384965,0.014326858714942797,0.004636759883440416
Altiarchaeota,0.0,0.0,0.0,0.0,0.0001264656465104515,0.0,0.0,0.0
Amoebozoa,2.2387190944829007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancyromonadida,0.0,0.0,0.0,0.0,8.581597441780636e-05,0.0,0.0,8.995477728014917e-05
Annelida,0.0,0.0,0.0,0.0,0.002868060197647739,0.0027380489843194466,0.0024195380770199153,0.0015319571161043584
Apicomplexa,0.0,0.0,0.0,0.0,0.0,0.0,0.0008351705037429149,0.0011666862023001164
Apusomonadidae,0.0,0.0,0.0,0.0,1.3549890697548373e-05,0.0013232070727434004,1.2281919172689925e-05,0.0023442760139675235
Armatimonadota,7.611644921241862e-05,0.00011136114033807706,0.0,0.0005491368368990861,0.0,0.0,0.0,1.9081316392758912e-05
Arthropoda,0.2199944479766457,0.15350173185773422,0.05261059583718849,0.06220156594915211,0.27754692778811585,0.1532647660379295,0.16726131625327773,0.364733911042903
Ascomycota,0.0012089083110207663,0.020617171119832266,5.6416852842281046e-05,0.0,4.968293255767737e-05,1.0996180659917455e-05,5.526863627710466e-05,0.000466129300451682
Asgardarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.00012281919172689925,0.0
Bacteroidota,0.008928011748797808,0.006789189521300698,0.009417853301138117,0.0046767547831273164,0.0584316453180611,0.03499351225341065,0.06496521146394335,0.03160683765343423
Basidiomycota,0.0004164017515738195,0.0,0.0,0.0,0.0003929468302289028,0.0,0.0,0.0
Bdellovibrionota,0.0011999534346428347,0.001781778245409233,0.0018880840084550057,0.001181917033060947,0.006856244692959477,0.003749697605031852,0.009272848975380893,0.003971639712035677
Bicosoecida,0.002816308620859489,0.0038707596365786788,0.001940739737774468,0.003382101048451325,0.0029493595418330293,0.0016897464280739823,0.005146124133357078,0.0043232811141308055
Bryozoa,0.0,0.0,0.0,0.0,0.0003929468302289028,0.0,0.0,0.0
Calditrichota,0.0,0.00031104318508221523,3.3850111705368625e-05,0.0,0.0010207584325486441,0.00048749734258967385,0.0008781572208473296,0.00024805711310586586
Campylobacterota,4.4774381889658014e-05,0.0,0.0005115127991033482,0.0,0.002619645534859352,0.0015431306859417496,0.002634471662541989,0.001005857964132577
Centrohelida,0.00081041631220281,0.0006873670386384757,0.0009440420042275029,0.003873051200645872,7.678271395277411e-05,0.00017227349700537346,0.0,0.0005288250543136042
Cercozoa,0.009147406220057133,0.005813819533512023,0.006785066835165001,0.012928354007789742,0.013256309732434825,0.01702208766155222,0.015352398965862405,0.018983183908453296
Chloroflexi,0.002565572082277404,0.001962260093543358,0.003200716117918745,0.0015274004734941468,0.0036178208162454158,0.002503463796907874,0.005348775799706462,0.0024015199631458005
Chlorophyta,0.05970663824985896,0.07527245078989608,0.04678461550034226,0.030708022852820416,0.01115156004408231,0.01560358035642287,0.013196922151055324,0.008613851400159737
Chytridiomycota,0.04290729016485927,0.053472547558887,0.03841611566207057,0.0527098630067242,0.0,0.0,0.0,0.0
Ciliophora,0.04404455946485659,0.04255915580575545,0.06414596168167355,0.07455896311327856,0.0019421509999819335,0.00237517502254217,0.002904673884341167,0.005004756699586481
Cloacimonadota,0.0,0.0,0.0,0.0,0.0,2.199236131983491e-05,1.8422878759034887e-05,0.0
Cnidaria,0.00017014265118070045,0.001009930341686699,0.0,0.0,0.05344980217159582,0.027109250720249833,0.021960071480769585,0.07289335452268086
Compsopogonales,0.0,0.0,0.00014668381738993072,0.0,0.0,0.0,0.0,0.0
Crenarchaeota,2.6864629133794807e-05,0.0,0.00012787819977583704,0.0003163900980809304,9.033260465032249e-05,0.0001172925937057862,0.0,5.1792144494631336e-05
Cryptomycota,0.0010298107834621343,0.001559055964733079,0.0,0.0,0.0,0.00018693507121859675,0.0,0.0004197889606406961
Cryptophyceae,0.03496879225582291,0.05162932868432573,0.02833630462091636,0.02677314829967597,0.00508120901158064,0.010842234130678611,0.0059014621624775086,0.006801126342847641
Cyanobacteria,0.0017462008936966625,0.0013593739199889406,0.0020460511964133926,0.0012110103754132164,0.01130512547198786,0.0066856778412298125,0.011766078567436947,0.00456043461786938
Dadabacteria,0.0,0.0,0.0,0.0,4.064967209264512e-05,0.0,0.00034389373683531787,0.0
Deferrisomatota,0.0,0.0,0.0,0.0,9.936586511535474e-05,0.0,0.0,7.905116791285835e-05
Deinococcota,0.0,0.0,0.0,0.0,0.00016259868837058047,0.00017960428411198512,0.00015352398965862407,0.0
