Genus,OL-16S-1a,OL-16S-1b,OL-16S-2a,OL-16S-2b,OL-16S-3a,OL-16S-3b,OL-16S-4a,OL-16S-4b
028H05-P-BN-P5,0.0,0.0,0.0,0.0,0.0033174671859224,0.0,0.0,0.0016617429837518464
0319-6G20,0.00859106529209622,0.00817592331547787,0.0098159509202454,0.006169154228855721,0.0,0.0,0.0,0.0
053A03-B-DI-P58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00258493353028065
67-14,0.0,0.0,0.0,0.006965174129353234,0.0,0.0,0.002208317997791682,0.0
A0839,0.0,0.0,0.0,0.006965174129353234,0.0,0.0,0.0,0.0
A4b,0.0012272950417280314,0.0,0.0,0.0,0.00793307370546661,0.0,0.005888847994111152,0.007200886262924667
AEGEAN-169_marine_group,0.019391261659302897,0.023963913166055822,0.024049079754601226,0.019303482587064675,0.006490696668109044,0.0,0.009569377990430622,0.006277695716395864
AKYH767,0.0,0.006202424584155625,0.009570552147239264,0.0015920398009950248,0.0,0.0,0.0,0.0
Acanthopleuribacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022156573116691287
Acholeplasma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004615952732644018
Acidibacter,0.018409425625920472,0.01240484916831125,0.013496932515337423,0.016318407960199004,0.0,0.0,0.0,0.0
Aestuariicella,0.0,0.0,0.0,0.0,0.003028991778450887,0.0,0.0,0.0
Alcanivorax,0.0,0.0,0.0,0.0,0.006057983556901774,0.0,0.005520794994479205,0.0
Algivirga,0.0,0.0,0.0,0.0,0.0,0.0,0.004048582995951417,0.0
Alicyclobacillus,0.0,0.0,0.001226993865030675,0.0,0.0,0.0,0.0,0.0
Aminicenantales,0.0,0.0,0.0,0.001791044776119403,0.0,0.0,0.0,0.0
Anaerolinea,0.0,0.0,0.0,0.001990049751243781,0.0,0.0,0.0,0.0
Anderseniella,0.0,0.0,0.0,0.006965174129353234,0.0073561228905235825,0.0,0.0,0.009047267355982274
