Genus,Ocean-lake-1a,Ocean-lake-1b,Ocean-lake-2a,Ocean-lake-2b,Ocean-lake-3a,Ocean-lake-3b,Ocean-lake-4a,Ocean-lake-4b
0319-6G20,0.00010327530244910003,0.0001890909090909091,0.0,0.0,0.0,0.0,0.0,0.0
Acanthopleuribacter,0.0,0.0,0.0,0.0,0.0035074045206547155,0.0021572064176890926,0.0,0.0
Actiniaria,0.0,0.0,0.0,0.0,0.08476227591582229,0.10233247943912634,0.15422941275261715,0.14504172688703437
Ammonia,0.0,0.0,0.0,0.0,0.0,0.00040447620331670486,0.00016794491406818565,0.0
Amoebophrya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003729777612009884
Amphibelone,0.0,0.0,0.0,0.0,0.012081060015588464,0.009572603478495348,0.012315960365000279,0.010676488414378293
Ancyromonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0011196327604545708,0.002191244347055807
Arcellinida,0.0,0.0,8.029226384037898e-05,0.0,0.0,0.0,0.0,0.0
Aristerostoma,0.0,0.0,0.0,0.0,0.0,0.000943777807738978,0.0007277612942954711,0.000932444403002471
Aspidisca,0.0,0.0,0.0,0.0,0.0003897116134060795,0.0,0.0,0.0003729777612009884
Atkinsiella,8.852168781351432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD2-11_terrestrial_group,7.376807317792859e-05,0.00017454545454545454,0.0,3.482015390508026e-05,0.0,0.004179587434272617,0.001231596036500028,0.0
Bicosta,0.0,0.0,0.0,0.0,0.0011691348402182386,0.0,0.00039187146615909984,0.0001864888806004942
Bigelowiella,0.0,0.0,0.0,0.0,0.0,0.0,0.00016794491406818565,0.0
Boothiomyces,0.0,0.0,8.029226384037898e-05,0.0,0.0,0.0,0.0,0.0
Caenogastropoda,0.0,0.0,0.0,0.0,0.006430241621200311,0.004584063637589322,0.0,0.0002797333209007413
Calanoida,0.0,0.0,0.0,0.0,0.1465315666406859,0.14871241741944183,0.255724122487824,0.2646743437922514
Cheilostomatida,2.9507229271171435e-05,0.0,0.0,0.0,0.021239282930631334,0.010651206687339895,0.0,0.0004662222015012355
Chlamydaster,0.0,0.0,0.0,9.285374374688069e-05,0.0,0.0,0.0,0.0010723110634528416
Chlorarachnion,0.0,0.0,0.0,0.0,0.002533125487139517,0.0,0.0010636511224318423,0.000932444403002471
Chrysocampanula,0.0,0.0,0.0,0.0,0.004286827747466875,0.006741270055278414,0.005038347422045569,0.002564222108256795
Ciliophrys,0.0,0.0,0.0,0.0,0.0,0.0,0.0002239265520909142,0.0001864888806004942
Codonosigidae,0.0,0.0,0.0,0.00012767389765196095,0.0,0.0,0.0,0.0
Corethron,0.0,0.0,0.0,0.0,0.0029228371005455963,0.0028313334232169343,0.001847394054750042,0.0020979999067555597
Coscinodiscophytina,0.0,0.0,0.0,0.0,0.001558846453624318,0.0016179048132668194,0.0,0.0
Creolimax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003729777612009884
Ctenostomatida,0.0,4.3636363636363636e-05,0.0,0.0,0.0,0.0,0.0,0.0
Cyclotella,0.9026261434051343,0.8953309090909091,0.9347090074537985,0.9353273674802975,0.15023382696804366,0.147094512606175,0.08290880591166097,0.08984101822928808
Cyphoderia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002797333209007413
Developayella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023311110075061774
Didymium,0.0,0.0,0.0,0.000266954513272282,0.0,0.0,0.0,0.0
Diplonema,0.0,0.0,0.0,0.0002553477953039219,0.0,0.0,0.0,0.0
Duboscquella,0.0,0.0,0.0,0.0,0.0021434138737334374,0.001348254011055683,0.00039187146615909984,0.001864888806004942
Epiclintes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006060888619516062
Euamoebida,0.00010327530244910003,0.0,0.0,0.0,0.0003897116134060795,0.0006741270055278415,0.0002239265520909142,0.0001864888806004942
Euglena,0.0004868692829743287,0.00046545454545454543,0.0,0.00011606717968360087,0.0,0.0,0.0,0.0
Euglypha,0.00011802891708468574,0.00011636363636363636,0.0003345510993349124,0.0003830216929558829,0.0,0.0,0.0,0.0
Euplotes,0.0,0.0,0.0,0.0,0.0,0.003235809626533639,0.0005598163802272854,0.0013986666045037064
Exanthemachrysis,0.0,0.0,0.0,0.0,0.0,0.0,0.00039187146615909984,0.0
Geminigera,0.0,0.0,0.0,0.0,0.02396726422447389,0.01968450856141297,0.02239265520909142,0.01669075481374423
Gyromitus,0.0,7.272727272727273e-05,0.0,0.0,0.0,0.0,0.0,0.0
Haliangium,0.0003098259073473001,0.00024727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
Halodaphnea,0.0,0.0,0.0,0.0,0.012275915822291504,0.012403936901712282,0.002183283882886413,0.003636533171709637
Haplozoon,0.0,0.0,0.0,0.0,0.003312548713951676,0.0021572064176890926,0.0026871186250909704,0.0011655555037530887
Haptoglossa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001864888806004942
Hartmannella,0.0,0.0,0.0,0.0,0.0,0.0006741270055278415,0.0,0.0
Helicotheca,0.0,0.0,0.0,0.0,0.0,0.0005393016044222731,0.0,0.0
Hemistasia,0.00010327530244910003,0.00014545454545454546,0.00016058452768075797,3.482015390508026e-05,0.0,0.0,0.0002239265520909142,0.0
Heterobranchia,0.0,0.0,0.0,0.0,0.0,0.0,0.037227789285114485,0.04070119819105786
Heterosigma,0.0,0.0,0.0,0.0,0.0,0.000943777807738978,0.0013435593125454852,0.0
