Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Ocean-lake-1a,Ocean-lake-1b,Ocean-lake-2a,Ocean-lake-2b,Ocean-lake-3a,Ocean-lake-3b,Ocean-lake-4a,Ocean-lake-4b
005b6594c36d41c0a68b5e7a3acff5c3,Eukaryota,MAST-12,MAST-12C,MAST-12C,MAST-12C,MAST-12C,Unassigned,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
007b10c0b915f30f555fb4e42ca63935,Eukaryota,Cercozoa,Imbricatea,Imbricatea,Thaumatomonadida,Gyromitus,Unassigned,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
015155602d9ce5798709655439c9c95c,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,Unassigned,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
01af3e8fd35debf1e892d632c9cdb795,Eukaryota,Retaria,Acantharia,Symphyacanthida,Symphyacanthida,Amphibelone,Unassigned,0.0,0.0,0.0,0.0,62.0,71.0,220.0,229.0
02849e987055db30c9e0f9dd02a1ea33,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Prymnesiales,Prymnesiales,Chrysocampanula,Unassigned,0.0,0.0,0.0,0.0,22.0,50.0,90.0,55.0
02f00ed1ae154705ddcc41afa05672f1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Poseidonocella,Unassigned,0.0,0.0,0.0,0.0,67.0,46.0,0.0,0.0
03cccd279f4ed0175e0aaa3dcc668280,Eukaryota,SA1-3C06,SA1-3C06,SA1-3C06,SA1-3C06,SA1-3C06,Unassigned,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
0a7e6a054c79a598f5b066c01bc85034,Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales,Ciliophrys,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0aca9aac7ec2ce1726f775a805040ee0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Cyclotella,Unassigned,26.0,16.0,14.0,0.0,75.0,85.0,105.0,147.0
0aeeb949d479de84d56b9f06275092f1,Eukaryota,Amoebozoa,Discosea,Dactylopodida,Dactylopodida,Parvamoeba,Unassigned,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
0b543c0c40978c7fc40c3c1c3776b91f,Eukaryota,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales,Tetraselmis,Unassigned,0.0,0.0,0.0,0.0,117.0,159.0,461.0,469.0
0bb0d1fef309c2f5741c8c3169811956,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniaria,Actiniaria,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,723.0,857.0
0db6bf4666bc9272fd481dd3523e337b,Eukaryota,Cnidaria,Anthozoa,Octocorallia,Octocorallia,Octocorallia,Unassigned,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
0e570dde32288c8c6ad72cde66d87438,Eukaryota,Euglenozoa,Euglenida,Heteronematina,Heteronematina,Petalomonas,Unassigned,176.0,185.0,108.0,191.0,0.0,0.0,10.0,0.0
0ecd90e72ae80da54445ffbec16bc30b,Eukaryota,Euglenozoa,Euglenida,Heteronematina,Heteronematina,Petalomonas,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
106dd66448b5829a997792d0a5c3c4aa,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Skeletonema,Unassigned,17.0,15.0,38.0,21.0,52.0,67.0,126.0,101.0
117db21a564edc570f6489eba98fe64a,Eukaryota,Diatomea,Coscinodiscophytina,Coscinodiscophytina,Rhizosolenids,Pseudosolenia,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,47.0,113.0
11aa037e3ba3455ad3613029a6f81c6b,Eukaryota,MAST-7,MAST-7D,MAST-7D,MAST-7D,MAST-7D,Unassigned,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
15a06a39a3d303e97fdb897795453493,Eukaryota,Apicomplexa,Novel_Apicomplexa_Class_1,Novel_Apicomplexa_Class_1,Novel_Apicomplexa_Class_1,Novel_Apicomplexa_Class_1,Unassigned,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0
163aaa77abbaff468cf3f57cc28bc4b9,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Phaeocystis,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0
1690134d73477da11efcdadd2d63ebc6,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Colpodea,Aristerostoma,Unassigned,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0
16d3b3761f9e1e7d262d229bae93b0cf,Eukaryota,Dinoflagellata,Dinoflagellata,Noctilucales,Noctilucales,Noctilucales,Unassigned,0.0,0.0,0.0,0.0,23.0,56.0,63.0,82.0
16dc227854a9c90dd2ddf7628fa85a3e,Eukaryota,Euglenozoa,Diplonemea,Diplonemea,Diplonemea,Rhynchopus,Unassigned,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
178309bb4da0f8e505be01d063c5f287,Eukaryota,Diatomea,Coscinodiscophytina,Coscinodiscophytina,Melosirids,Melosira,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
18094fa9cdbf8231b26c7bf890f9d02a,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Zoothamnopsis,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0
