,FeatureID,SampleID,Count,Kingdom,Phylum,Class,Order,Family,Genus,Species,Method,core
0,7a67662a35c24ad02e1a9c553f695752,OL-16S-1a,328.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
1,76cc4e4423fe1d58c82a861e79323bd7,OL-16S-1a,317.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
2,2e06738ba1ef7e3f75f0ed55e95a2bb8,OL-16S-1a,261.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
3,e2fc9fa8e63d8276f399c93709e08fd5,OL-16S-1a,231.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
4,c3caa6e2a48f3f2ab0b049512dc8ccda,OL-16S-1a,245.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
5,f1ba05821c5f68be8c7b9ecdac04497b,OL-16S-1a,247.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
6,391bf0e54f28aa990e4fb379aeb1e27b,OL-16S-1a,261.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
7,a94a729130e76c26abd07844436fdeb5,OL-16S-1a,239.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
8,8145f5e16c5514889a111411946fdce1,OL-16S-1a,179.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
9,a179e3415f06dd7c5c01716613869de8,OL-16S-1a,205.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
10,615c84c753ad586852541e8d7c4a56a2,OL-16S-1a,45.0,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,16S,1a
11,3b13e1e0f09ba55518fa6cbbec4cf6b3,OL-16S-1a,82.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
12,2384db2d6d49bf5aa86c9a23542b4f39,OL-16S-1a,75.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
13,d56ee16c189c53ec4bfc9a643157b3cb,OL-16S-1a,55.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
14,f342c8d7070cb66e871be0c9d05ff96e,OL-16S-1a,44.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,Unassigned,16S,1a
15,9f8960cf1237e95ad9c9b290584b2581,OL-16S-1a,41.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,Unassigned,16S,1a
16,fda4ef534982960826bf945dd959b00c,OL-16S-1a,24.0,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,16S,1a
17,51ce3633dad7039b0b159776ecd5a199,OL-16S-1a,21.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,16S,1a
18,5a6fe78d457c44a09e968c5f59435e1a,OL-16S-1a,36.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
19,b97b1d633870f8d1f0324ce9da82f0c9,OL-16S-1a,23.0,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,Unassigned,16S,1a
20,be1bd2d4eaa9c108b340ecf96a2939ff,OL-16S-1a,32.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,16S,1a
21,1de210f1a87a7a5a340fd385324ccf37,OL-16S-1a,39.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,16S,1a
22,1e66eb11077b8b80e21f48b5bff68704,OL-16S-1a,45.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
23,5510490cd0b58fccc100e072cb048895,OL-16S-1a,119.0,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Unassigned,Unassigned,16S,1a
24,c2bcdf835bcd3f44b8dd055920a14a6e,OL-16S-1a,33.0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,Unassigned,16S,1a
25,acc5e4c9c2d47752676a21e7b1538a76,OL-16S-1a,104.0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unassigned,Unassigned,16S,1a
26,5bfb130e23d129800a7e2d5114291f0b,OL-16S-1a,27.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Unassigned,Unassigned,16S,1a
27,216fe8337c03cae9ed97652a9258ad62,OL-16S-1a,16.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
28,532ef122fea64d4c167bb7643689e205,OL-16S-1a,29.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,MWH-UniP1_aquatic_group,MWH-UniP1_aquatic_group,Unassigned,16S,1a
29,5a45b1a451c8a03548b1f4779469d98e,OL-16S-1a,37.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,16S,1a
30,280546b7a3ea14b1c53f066f98e8a780,OL-16S-1a,46.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,MWH-UniP1_aquatic_group,MWH-UniP1_aquatic_group,Unassigned,16S,1a
31,e67b6e10b832eb692e2b9448394edcb3,OL-16S-1a,30.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
32,0f2ed35d38e0078f9a57040783a1f27d,OL-16S-1a,25.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
33,9b027540621376c8e0b682720b523902,OL-16S-1a,9.0,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,16S,1a
34,e79f4bd136281e64ca97be795598e9dd,OL-16S-1a,43.0,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,Unassigned,16S,1a
35,26d1fdcb438006fa2f903da310c1fbc3,OL-16S-1a,71.0,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unassigned,Unassigned,16S,1a
36,10054312dbbcf26bd4020615096a7fe0,OL-16S-1a,18.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
37,a765b3c2110496dff8576d1e0048b447,OL-16S-1a,55.0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unassigned,Unassigned,16S,1a
38,df7b298da4045625ddd83e7d37379549,OL-16S-1a,37.0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unassigned,Unassigned,16S,1a
39,f2165b309a00a791a430aed160732576,OL-16S-1a,10.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
40,41a16213fe9d7430ff86dddb8cf64656,OL-16S-1a,64.0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unassigned,Unassigned,16S,1a
41,4ae64d59f555d0f0d2926534262d5432,OL-16S-1a,84.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,16S,1a
42,76c2f3c83d3cf3d986fed85d5bbeec2f,OL-16S-1a,27.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
43,f34c049cafabf6747654eb44cf153d82,OL-16S-1a,30.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
44,64007ed1f563bd50b266faf295f99139,OL-16S-1a,19.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,16S,1a
45,080361f2074d9c1560e005a0257b7784,OL-16S-1a,36.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Unassigned,Unassigned,16S,1a
46,f2da6e39397a2f45b3ccf4aa8026535c,OL-16S-1a,22.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,1a
47,f3d29127aabde3b3973047192a1e9988,OL-16S-1a,19.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Unassigned,Unassigned,16S,1a
48,37e8ead35ba2e7fd71ce6f59a5657a11,OL-16S-1a,16.0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,Unassigned,16S,1a
49,2dbd82e9f15cceb8df479fde9243c868,OL-16S-1a,24.0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,Clade_III,Unassigned,16S,1a
50,b9ef3e1976c0dddfd7cc916fdc4ecf8a,OL-16S-1a,70.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,Unassigned,16S,1a
51,afd9d44c84fe96150ecd36f4077ad3cb,OL-16S-1a,56.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,16S,1a
52,a0aa0417f7eff21c194651c53cafdb58,OL-16S-1a,67.0,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,Unassigned,16S,1a
53,3bb7602a5822221ffdbd55266d87a94a,OL-16S-1a,135.0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,Unassigned,16S,1a
