,FeatureID,SampleID,Count,Kingdom,Phylum,Class,Order,Family,Genus,Species,Method,core
0,580f28aa5d1f44a43a6dfff991ec40d1,Ocean-lake-1a,58850.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Cyclotella,Unassigned,18S,1a
1,0f3cd48f1c94814b7154f25164019d34,Ocean-lake-1a,6552.0,Eukaryota,Chlorophyta,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
2,11b9d90019b1ad2132d54d18269e8cfe,Ocean-lake-1a,59.0,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
3,641eb4995a896167800364fac0199771,Ocean-lake-1a,32.0,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
4,12a76450d16948a8424ab366731f715d,Ocean-lake-1a,3054.0,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Unassigned,Unassigned,18S,1a
5,888a360f6f9c93019e3683c917a5a30f,Ocean-lake-1a,3273.0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
6,67a34e4295d4d78881313a76a07e63fc,Ocean-lake-1a,3793.0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
7,b0c5b9aafe4462cc72c6e96c60040d26,Ocean-lake-1a,2176.0,Eukaryota,Mollusca,Bivalvia,Veneroida,Veneroida,Veneroida,Unassigned,18S,1a
8,79fc87d51594551637b3c9a1b628b4c8,Ocean-lake-1a,2084.0,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
9,d28a43868d75da51cd2bc954d2708d37,Ocean-lake-1a,1663.0,Eukaryota,Chlorophyta,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,18S,1a
