tip,lfc,p,direction,q,Method,significant
Archaea|Altiarchaeota|Altiarchaeia|Altiarchaeales|Altiarchaeaceae|Candidatus_Altiarchaeum,0.5760709850722945,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Archaea|Asgardarchaeota|Heimdallarchaeia|Heimdallarchaeia|Heimdallarchaeia|Heimdallarchaeia,0.5769459441473987,0.3910022189557703,Ocean,0.42104581929869767,PAMA,False
Archaea|Crenarchaeota|Bathyarchaeia|Bathyarchaeia|Bathyarchaeia|Bathyarchaeia,-0.26137151179453877,0.7655351230847636,River,0.7825290317367509,PAMA,False
Archaea|Halobacterota|Halobacteria|Halobacterales|Haloferacaceae|Halogranum,0.5244497450566872,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Archaea|Halobacterota|Methanosarcinia|Methanosarciniales|Methanosaetaceae|Methanosaeta,-0.6028678531013814,0.39100221895577075,River,0.42104581929869767,PAMA,False
Archaea|Micrarchaeota|Micrarchaeia|Micrarchaeales|Micrarchaeales|Micrarchaeales,-0.8323151156693882,0.19457786566406415,River,0.3708398585659863,PAMA,False
Archaea|Nanoarchaeota|Nanoarchaeia|Woesearchaeales|GW2011_GWC1_47_15|GW2011_GWC1_47_15,-0.47815681091349305,0.39100221895577053,River,0.42104581929869767,PAMA,False
Archaea|Nanoarchaeota|Nanoarchaeia|Woesearchaeales|SCGC_AAA011-D5|SCGC_AAA011-D5,0.6189997334582635,0.47973390716718456,Ocean,0.5058916992700845,PAMA,False
Archaea|Nanoarchaeota|Nanoarchaeia|Woesearchaeales|Woesearchaeales|Woesearchaeales,2.2121282159791185,0.019700427527505275,Ocean,0.10353431206031305,PAMA,False
Archaea|Thermoplasmatota|Thermoplasmata|Marine_Benthic_Group_D_and_DHVEG-1|Marine_Benthic_Group_D_and_DHVEG-1|Marine_Benthic_Group_D_and_DHVEG-1,0.913090894760689,0.18582818306429683,Ocean,0.3690403173564971,PAMA,False
Archaea|Thermoplasmatota|Thermoplasmata|Marine_Group_II|Marine_Group_II|Marine_Group_II,2.424613536691978,0.0028438928832399033,Ocean,0.019097530681201295,PAMA,True
Bacteria|Acidobacteriota|AT-s3-28|AT-s3-28|AT-s3-28|AT-s3-28,1.514571133516128,0.05808572542804988,Ocean,0.20727021122080447,PAMA,False
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriae|Acidobacteriae|Paludibaculum,-0.6736647625071326,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Koribacteraceae|Candidatus_Koribacter,-0.7094632590133418,0.39100221895577075,River,0.42104581929869767,PAMA,False
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Bryobacter,-3.0426808956159417,2.4709117522336958e-05,River,0.0011273602392256848,PAMA,True
