DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	PAMA-seq
COLOR	#000000
STRIP_WIDTH	30
MARGIN	3
BORDER_WIDTH	0
SHOW_LABELS	1
LABEL_ROTATION	45
LABEL_SHIFT	5
LEGEND_TITLE	{label}
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#d62728	#1f77b4	#bdbdbd
LEGEND_LABELS	Ocean	river	ND
DATA
Archaea|Thermoplasmatota|Thermoplasmata|Marine_Group_II|Marine_Group_II|Marine_Group_II	#d62728	O
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Bryobacter	#1f77b4	R
Bacteria|Acidobacteriota|Acidobacteriae|Subgroup_2|Subgroup_2|Subgroup_2	#1f77b4	R
Bacteria|Acidobacteriota|Holophagae|Acanthopleuribacterales|Acanthopleuribacteraceae|Acanthopleuribacter	#d62728	O
Bacteria|Acidobacteriota|Subgroup_26|Subgroup_26|Subgroup_26|Subgroup_26	#d62728	O
Bacteria|Acidobacteriota|Thermoanaerobaculia|Thermoanaerobaculales|Thermoanaerobaculaceae|Subgroup_10	#bdbdbd	ND
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacteraceae	#bdbdbd	ND
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|IMCC26256|IMCC26256	#1f77b4	R
Bacteria|Actinobacteriota|Acidimicrobiia|Microtrichales|Ilumatobacteraceae|CL500-29_marine_group	#1f77b4	R
Bacteria|Actinobacteriota|Acidimicrobiia|Microtrichales|Microtrichaceae|Sva0996_marine_group	#d62728	O
Bacteria|Actinobacteriota|Actinobacteria|Frankiales|Sporichthyaceae|hgcI_clade	#1f77b4	R
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Microbacteriaceae|Candidatus_Aquiluna	#bdbdbd	ND
Bacteria|Actinobacteriota|MB-A2-108|MB-A2-108|MB-A2-108|MB-A2-108	#1f77b4	R
Bacteria|Armatimonadota|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceae|Fimbriimonadaceae	#bdbdbd	ND
