,FeatureID,SampleID,Count,Kingdom,Phylum,Class,Order,Family,Genus,Species,Method,core
0,fbe95386d8bf61072772099799630738,OL-PAMA-1a,82327.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,PAMA,1a
1,114ebbae22dde659336c1de48981be71,OL-PAMA-1a,45570.0,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanoida,Calanoida,Unassigned,PAMA,1a
2,814f23eaf5c483399e5a9241f8627296,OL-PAMA-1a,2946.0,Eukaryota,Arthropoda,Maxillopoda,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
3,880658c664f0e8e7fc58217cf49ed129,OL-PAMA-1a,9267.0,Eukaryota,Chytridiomycota,Chytridiomycetes,uncultured,uncultured,uncultured,Unassigned,PAMA,1a
4,5816f402bcbb7c62e1ac2a9320b229f9,OL-PAMA-1a,61.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,PAMA,1a
5,bb409a99e351e2e0d2f90e133fa32b22,OL-PAMA-1a,8917.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,PAMA,1a
6,f338ba87d2657e7168d977dbfc6a33d9,OL-PAMA-1a,3844.0,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,Unassigned,PAMA,1a
7,edd3cff5ec04647f1cf47b7fa92d750e,OL-PAMA-1a,3061.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,PAMA,1a
8,50a72f6a7ec72eea5a9406b103b6e88b,OL-PAMA-1a,4603.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Chaetoceros,Unassigned,PAMA,1a
9,d7e8e88e00fae18123b5bf08c8628ab0,OL-PAMA-1a,4698.0,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,PAMA,1a
10,a513a5274550c81570db81c14be3384c,OL-PAMA-1a,1446.0,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,Unassigned,PAMA,1a
11,c40d514a8f84995765ac99230eec7aaa,OL-PAMA-1a,3769.0,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,PAMA,1a
12,4efe4e79e06715d6c8a9712b40688704,OL-PAMA-1a,2852.0,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,PAMA,1a
13,334d319a6059c6c223e245ff8b70168c,OL-PAMA-1a,1388.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,uncultured,Unassigned,PAMA,1a
14,fa75116da6c57c8895465fa4c65bfc02,OL-PAMA-1a,1544.0,Eukaryota,Rotifera,Monogononta,Ploimida,Ploimida,Ploimida,Unassigned,PAMA,1a
15,bec66fa1962ff3b98b5dea67903e55cb,OL-PAMA-1a,1682.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Geminigera,Unassigned,PAMA,1a
16,da6c3064bfe4af4a3a339f6070a82467,OL-PAMA-1a,789.0,Eukaryota,Kathablepharidae,Kathablepharidae,Kathablepharidae,Kathablepharidae,Katablepharis,Unassigned,PAMA,1a
17,61a4aa6e20218d620ad117daf196d166,OL-PAMA-1a,71.0,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Navicula,Unassigned,PAMA,1a
18,1b5b53a1a23d7974e30be24cc1a0e453,OL-PAMA-1a,759.0,Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellales,Viridilobus,Unassigned,PAMA,1a
19,6a2c569225a1691c5073770a4edece82,OL-PAMA-1a,3761.0,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Mesodiniidae,Myrionecta,Unassigned,PAMA,1a
20,a9b4b93778e6faeef07ff9bd5e8e4d8c,OL-PAMA-1a,1429.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Cryptomonas,Unassigned,PAMA,1a
21,56276d62556e3fd7a9594bd2897544cf,OL-PAMA-1a,378.0,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,PAMA,1a
22,5fef12faad3f4861c5fb5759d1f3947f,OL-PAMA-1a,605.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Unassigned,Unassigned,PAMA,1a
23,18e491915b6e340343f976d9a20b22a5,OL-PAMA-1a,1044.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,PAMA,1a
24,ea6b057c5efad0498a58723392b84f69,OL-PAMA-1a,966.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,PAMA,1a
25,3210df65ffc9227089ee29b94bab06ae,OL-PAMA-1a,289.0,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Protaspis,Unassigned,PAMA,1a
26,6cc4ec0a061e02a0c4cd341811680d9a,OL-PAMA-1a,952.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Teleaulax,Unassigned,PAMA,1a
27,e7ef498a4af8e8bbb8430cb1395d1a36,OL-PAMA-1a,742.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,PAMA,1a
28,0a4eb094a2de994186ed23d4827df5f9,OL-PAMA-1a,697.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,PAMA,1a
29,d2d5268c6d8c0dcb24efd613d6428503,OL-PAMA-1a,52.0,Eukaryota,Mollusca,Bivalvia,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
30,3f01fee09e016859a2debe50d45cc0c9,OL-PAMA-1a,166.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Unassigned,Unassigned,PAMA,1a
31,ef8437fadeee95dfe1a11042ab1e86f0,OL-PAMA-1a,595.0,Eukaryota,Cercozoa,Thecofilosea,Ebriacea,Ebriacea,Ebria,Unassigned,PAMA,1a
32,bfffe6b4b1f8a316e52031efcfcbb39b,OL-PAMA-1a,678.0,Eukaryota,Mollusca,Bivalvia,Veneroida,Veneroida,Veneroida,Unassigned,PAMA,1a
33,c768849c43360202175c42284a7768ab,OL-PAMA-1a,76.0,Eukaryota,Peronosporomycetes,Peronosporomycetes,Peronosporomycetes,Peronosporomycetes,Unassigned,Unassigned,PAMA,1a
34,0dca155e44952dfec5d4f8435bb40eac,OL-PAMA-1a,491.0,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,PAMA,1a
35,b9d8daaab93066056aebfbbed69a944e,OL-PAMA-1a,336.0,Eukaryota,Ochrophyta,Chrysophyceae,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
36,4f667bc8a04fc3165e47561895e7f499,OL-PAMA-1a,99.0,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,PAMA,1a
37,d3251897205a25b143eb832e5787b547,OL-PAMA-1a,619.0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
38,8e132b0b399c93753d280920695a9dae,OL-PAMA-1a,392.0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Unassigned,Unassigned,PAMA,1a
39,fa719d972ba901a2de2a223c78063981,OL-PAMA-1a,234.0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
40,995b50dfac45ee11316c690e36786bcb,OL-PAMA-1a,331.0,Eukaryota,Mollusca,Bivalvia,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
41,eaf29258e5fae09f16d2046ca14b5f76,OL-PAMA-1a,252.0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,PAMA,1a
42,e07585f0855c867e574ccd41d9cb4c85,OL-PAMA-1a,95.0,Eukaryota,Ochrophyta,Xanthophyceae,uncultured,uncultured,uncultured,Unassigned,PAMA,1a
