Class,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinobacteria,0.0007351,0.000738,0.000736,0.0007421,0.0007378,0.0008625040309943955,0.0008682654874015133,0.000861332183678558,0.0008455066423284667,0.0008666471452208703,0.0007378,0.0008608510979247607,2.6953663943886983e-06,9.041339562719072e-06
Bacilli,0.0123655,0.0123768,0.0123833,0.0124069,0.0124095,0.0026394239281039263,0.002603584224176754,0.0026098496450703453,0.002612484203572139,0.002614587570401192,0.012388399999999999,0.0026159859142648708,1.9186192952224984e-05,1.3738754972029092e-05
Bacteroidia,0.1053432,0.1053397,0.1053515,0.1053804,0.1052733,0.006736015087962787,0.006717819070645797,0.0066909019225511995,0.006713140910702579,0.006807422418666731,0.10533761999999999,0.0067330598821058185,3.9355139435656514e-05,4.456697598828649e-05
Betaproteobacteria,0.0001309,0.0001243,0.0001289,0.000126,0.0001321,9.089620935538126e-06,9.394844715339235e-06,1.0805785397303987e-05,9.596550898590722e-06,9.999774752548503e-06,0.00012844,9.777315339864114e-06,3.2692506786724093e-06,6.631594840113628e-07
CFGB1340,0.0552238,0.0550862,0.0551817,0.0552766,0.0551662,0.0,0.0,0.0,0.0,0.0,0.055186900000000004,0.0,7.071725390596046e-05,0.0
CFGB3035,3.76e-05,3.88e-05,3.71e-05,3.65e-05,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.6899999999999996e-05,0.0,1.5858751527153714e-06,0.0
CFGB3053,0.000809,0.000801,0.0008092,0.0008008,0.0008019,0.0,0.0,0.0,0.0,0.0,0.00080438,0.0,4.329203159936056e-06,0.0
Clostridia,0.6343823,0.6344842,0.6343787,0.6342611,0.6343863,0.040096034875057605,0.04000607735331263,0.04011440802019531,0.03997933205985419,0.039980715585901445,0.6343785200000001,0.04003531357886424,7.91052589907984e-05,6.502429286739432e-05
Coriobacteriia,0.0262933,0.0263133,0.0263791,0.0263551,0.0262842,0.0015770492323158648,0.00154540144575548,0.0015634052685575984,0.0015412060743136698,0.0015431975623175357,0.026325000000000005,0.0015540519166520298,4.07407658249077e-05,1.560468711432787e-05
Deltaproteobacteria,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,5.1204864603531436e-05,5.1318076509594964e-05,5.221113131220711e-05,4.545734636174552e-05,5.0099881588525836e-05,0.00014364,5.005826007512097e-05,3.353058305487689e-06,2.6789379101109897e-06
