Class,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinobacteria,0.0007351,0.000738,0.000736,0.0007421,0.0007378,0.012988329360007067,0.013093564759180523,0.012968500581477967,0.01276325875616031,0.013061013841060827,0.0007378,0.012974933459577337,2.6953663943886983e-06,0.00012894788623464822
Bacilli,0.0123655,0.0123768,0.0123833,0.0124069,0.0124095,0.039746721252274554,0.039262413558855104,0.039294754429257256,0.039436487210491984,0.03940376961257104,0.012388399999999999,0.03942882921268999,1.9186192952224984e-05,0.00019197147881489987
Bacteroidia,0.1053432,0.1053397,0.1053515,0.1053804,0.1052733,0.10143672306733388,0.10130564938749329,0.10074041945424332,0.10133752973708357,0.1025928936851159,0.10533761999999999,0.10148264306625401,3.9355139435656514e-05,0.0006778727044649328
Betaproteobacteria,0.0001309,0.0001243,0.0001289,0.000126,0.0001321,0.00013687934922724076,0.0001416755698201034,0.00016269545810975995,0.0001448637493232054,0.00015070400585839416,0.00012844,0.00014736362646774074,3.2692506786724093e-06,9.934115957055403e-06
CFGB1340,0.0552238,0.0550862,0.0551817,0.0552766,0.0551662,0.0,0.0,0.0,0.0,0.0,0.055186900000000004,0.0,7.071725390596046e-05,0.0
CFGB3035,3.76e-05,3.88e-05,3.71e-05,3.65e-05,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.6899999999999996e-05,0.0,1.5858751527153714e-06,0.0
CFGB3053,0.000809,0.000801,0.0008092,0.0008008,0.0008019,0.0,0.0,0.0,0.0,0.0,0.00080438,0.0,4.329203159936056e-06,0.0
Clostridia,0.6343823,0.6344842,0.6343787,0.6342611,0.6343863,0.6038006644295464,0.6032972313042686,0.6039757176073319,0.6035039045620456,0.6025389716248268,0.6343785200000001,0.6034232979056039,7.91052589907984e-05,0.0005594631829168165
Coriobacteriia,0.0262933,0.0263133,0.0263791,0.0263551,0.0262842,0.02374856709092627,0.02330486953879507,0.02353914380371209,0.02326511814130679,0.023257129308126727,0.026325000000000005,0.02342296557657339,4.07407658249077e-05,0.0002155677860334634
Deltaproteobacteria,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,0.0007710870006467896,0.0007738837577270164,0.0007861079611471578,0.0006861967073204467,0.0007550422919774091,0.00014364,0.0007544635437637639,3.353058305487689e-06,3.973521450844384e-05
Erysipelotrichia,0.0401609,0.0402966,0.0402263,0.0401503,0.0402227,0.012077321246816876,0.012362336011721925,0.012171748992230171,0.012273771771605057,0.01222224710138431,0.04021136,0.012221485024751668,5.893257163912072e-05,0.00010704012447116663
Gammaproteobacteria,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,0.03925547647671457,0.039617364180017295,0.03968096607748042,0.03992902395819088,0.03946466011998857,0.034305180000000005,0.039589498162478344,6.246084373429571e-05,0.0002507866043948984
Negativicutes,0.008925,0.008937,0.0089291,0.0089951,0.0089532,0.0131647516323444,0.01331140999019423,0.013374478967602322,0.013269519438005617,0.013360899590092177,0.008947880000000002,0.013296211923647749,2.851573249979736e-05,8.446227347976254e-05
Saccharomycetes,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.13163110392182992,0.1318480932190288,0.13161369321638278,0.13198937434560032,0.13177002406104318,0.08073484,0.13177045775277701,4.0195746043578434e-05,0.00015648205839052936
Verrucomicrobiae,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,0.00014600463917572348,0.00016604986140205665,0.0001581339032094863,0.00016926185447237687,0.00017506020882540735,0.00033314,0.00016290209341701014,2.5451915448547312e-06,1.1252048390675937e-05
Acidimicrobiia,0.0,0.0,0.0,0.0,0.0,1.064617160656317e-05,0.00010511413244717348,0.0,4.4221565582873235e-05,3.6534304450519794e-05,0.0,3.9303234817425934e-05,0.0,4.101494465043607e-05
Acidobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04976314364643e-06,3.0445253708766496e-06,0.0,1.218857702904616e-06,0.0,1.668990673027127e-06
Agaricomycotina,0.0,0.0,0.0,0.0,0.0,2.7057723932471812e-05,1.6329841281587846e-05,8.348627405464483e-06,1.6445638886794173e-05,8.372444057968265e-06,0.0,1.5310855112857314e-05,0.0,7.6962516315912e-06
Alphaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.012144240039772417,0.012273979204737344,0.012337485486940114,0.012127383140710029,0.012330327752050431,0.0,0.012242683124842068,0.0,0.00010078893849717887
Alveolata,0.0,0.0,0.0,0.0,0.0,0.00013585765696903562,0.00013906014054713417,0.00013893993377169086,0.00013801214385830045,0.00013925595729069666,0.0,0.00013822516648737156,0.0,1.4072209840086306e-06
Anaerolineae,0.0,0.0,0.0,0.0,0.0,0.0,6.093572895488318e-06,0.0,0.0,0.0,0.0,1.2187145790976637e-06,0.0,2.7251286440324203e-06
Arachnida,0.0,0.0,0.0,0.0,0.0,3.983261146736123e-07,4.417321812645927e-07,4.1245348340454855e-07,5.277438324469942e-07,5.125986157939754e-07,0.0,4.5857084551674463e-07,0.0,5.861672410312452e-08
Arthropoda,0.0,0.0,0.0,0.0,0.0,1.1437649864199438e-05,1.1185798783635653e-05,1.0994018712817794e-05,1.1367887417844715e-05,1.1120542192641523e-05,0.0,1.1221179394227825e-05,0.0,1.8122107885878743e-07
Atribacteria Unknown Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566788056314974e-06,0.0,9.133576112629948e-07,0.0,2.042329706550884e-06
BD2-11 terrestrial group,0.0,0.0,0.0,0.0,0.0,2.129234321312634e-05,1.2187145790976636e-05,1.5205183000912144e-05,1.6773697290055364e-05,1.8267152225259897e-05,0.0,1.6745104304066076e-05,0.0,3.396364694650797e-06
Bacteroidetes BD2-2,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,0.0,0.0,0.0,0.0,6.083526632321811e-07,0.0,1.3603179092801938e-06
Bacteroidetes Order II,0.0,0.0,0.0,0.0,0.0,0.0,1.6757325462592873e-05,2.8889847701733072e-05,1.524881571823215e-05,3.0445253708766497e-05,0.0,1.826824851826492e-05,0.0,1.2310834572267198e-05
Blastocatellia,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,3.041036600182429e-06,3.04976314364643e-06,0.0,0.0,1.826512611997953e-06,0.0,1.6673737807250605e-06
Caldisericia,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,3.046786447744159e-06,3.041036600182429e-06,0.0,3.0445253708766496e-06,0.0,2.434822346992829e-06,0.0,1.3611089927134817e-06
Candidatus Levybacteria,0.0,0.0,0.0,0.0,0.0,0.0,3.046786447744159e-06,0.0,0.0,3.0445253708766496e-06,0.0,1.2182623637241617e-06,0.0,1.6681746354724949e-06
Candidatus Roizmanbacteria,0.0,0.0,0.0,0.0,0.0,6.235614798129857e-05,7.312287474585981e-05,7.146436010428708e-05,6.252014444475182e-05,6.393503278840965e-05,0.0,6.667971201292139e-05,0.0,5.194604789984337e-06
Candidatus Shapirobacteria,0.0,0.0,0.0,0.0,0.0,1.3687934922724077e-05,1.5233932238720794e-05,1.2164146400729715e-05,1.9823460433701796e-05,1.6744889539821574e-05,0.0,1.553087270713959e-05,0.0,2.9461663904789515e-06
Cavosteliida,0.0,0.0,0.0,0.0,0.0,1.4225932666914726e-07,1.8524252762708723e-07,1.137802712840134e-07,1.2837012140602563e-07,1.9934390614210155e-07,0.0,1.5379923062567502e-07,0.0,3.689283290842514e-08
Chlorobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09952628729286e-06,0.0,0.0,1.219905257458572e-06,0.0,2.7277910817867497e-06
Chloroplast,0.0,0.0,0.0,0.0,0.0,0.000547517396908963,0.0004890092248629375,0.0004941684475296447,0.0005169348528480699,0.00045820106831693575,0.0,0.0005011661980933101,0.0,3.331608842661064e-05
Chloroplastida,0.0,0.0,0.0,0.0,0.0,0.00017462332348637825,0.00017505418860759746,0.0001750509473704546,0.00017562458943026595,0.0001762484907304952,0.0,0.00017532030792503827,0.0,6.291407755789846e-07
Chordata,0.0,0.0,0.0,0.0,0.0,1.451045132025302e-06,1.5674367722291997e-06,1.7351491370812042e-06,1.5119147632265243e-06,1.5235569969432046e-06,0.0,1.557820560301087e-06,0.0,1.0749444373689292e-07
Chromadorea,0.0,0.0,0.0,0.0,0.0,6.828447680119068e-07,7.837183861145999e-07,7.680168311670903e-07,7.844840752590456e-07,8.116144750071278e-07,0.0,7.66135707111954e-07,0.0,4.913005879223269e-08
Chytridiomycetes,0.0,0.0,0.0,0.0,0.0,8.535559600148835e-08,7.124712601041817e-08,1.137802712840134e-07,1.4263346822891738e-07,8.543310263232924e-08,0.0,9.96899128314333e-08,0.0,2.8549993650083413e-08
Cnidaria,0.0,0.0,0.0,0.0,0.0,8.535559600148836e-08,1.7099310242500363e-07,1.7067040692602012e-07,1.4263346822891738e-07,1.9934390614210155e-07,0.0,1.5379929594470622e-07,0.0,4.319661056018844e-08
Cryptomonadales,0.0,0.0,0.0,0.0,0.0,2.845186533382945e-07,1.9949195282917088e-07,1.564478730155184e-07,2.8526693645783477e-07,2.2782160701954464e-07,0.0,2.3070940453207263e-07,0.0,5.560935909404322e-08
Cyanobacteria,0.0,0.0,0.0,0.0,0.0,2.8896751503528605e-05,2.437429158195327e-05,3.041036600182429e-05,2.134834200552501e-05,4.26233551922731e-05,0.0,2.9530621257020857e-05,0.0,8.156789396679755e-06
Cyanobacteriia,0.0,0.0,0.0,0.0,0.0,9.581554445906853e-05,0.00010816091889491764,9.883368950592894e-05,0.0001235154073176804,0.00010351386260980609,0.0,0.00010596788455748032,0.0,1.0870992673762437e-05
Cytophagia,0.0,0.0,0.0,0.0,0.0,0.00013840023088532123,0.00014472235626784754,0.00015357234830921265,0.00011589099945856433,0.0001278700655768193,0.0,0.00013609120009955302,0.0,1.4671862368802094e-05
Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,3.046786447744159e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Deinococci,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,4.570179671616238e-06,4.561554900273643e-06,6.09952628729286e-06,7.611313427191624e-06,0.0,5.176867520507054e-06,0.0,1.7380431383115058e-06
Desulfovibrionia,0.0,0.0,0.0,0.0,0.0,4.106380476817223e-05,4.1131617044546145e-05,4.105399410246279e-05,3.964692086740359e-05,4.110109250683477e-05,0.0,4.0799485857883914e-05,0.0,6.450431547618653e-07
Diapherotrites Unknown Order,0.0,0.0,0.0,0.0,0.0,0.0,3.046786447744159e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Discoba,0.0,0.0,0.0,0.0,0.0,7.539744313464804e-07,4.844804568708436e-07,4.977886868675586e-07,4.992171388012108e-07,2.562993078969877e-07,0.0,4.983520043566163e-07,0.0,1.761574712135539e-07
Discosea,0.0,0.0,0.0,0.0,0.0,0.0,5.699770080833454e-08,0.0,0.0,0.0,0.0,1.1399540161666909e-08,0.0,2.549014671372615e-08
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,6.083526632321812e-06,6.093572895488318e-06,4.561554900273643e-06,4.574644715469645e-06,0.0,0.0,4.262659828710684e-06,0.0,2.5012367052752378e-06
Endogonales,0.0,0.0,0.0,0.0,0.0,0.0,2.849885040416727e-08,0.0,0.0,0.0,0.0,5.699770080833454e-09,0.0,1.2745073356863075e-08
Entomophthoromycotina,0.0,0.0,0.0,0.0,0.0,8.677818926817982e-07,7.552195357104326e-07,8.391295007195988e-07,8.415374625506126e-07,8.68569876762014e-07,0.0,8.344476536848913e-07,0.0,4.643483971225549e-08
Epsilonproteobacteria,0.0,0.0,0.0,0.0,0.0,0.003636428044470363,0.0037886789477698615,0.0037115851705226545,0.003735959850966877,0.0036960538002442527,0.0,0.0037137411627948024,0.0,5.5686962304423214e-05
FHMa11 terrestrial group,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,0.0,4.574644715469645e-06,3.0445253708766496e-06,0.0,2.13218668050144e-06,0.0,2.0443662144836837e-06
Fibrobacteria,0.0,0.0,0.0,0.0,0.0,1.5208816580804528e-05,1.6757325462592873e-05,1.368466470082093e-05,1.524881571823215e-05,4.566788056314974e-06,0.0,1.309328210375309e-05,0.0,4.888707884996625e-06
Flavobacteriia,0.0,0.0,0.0,0.0,0.0,0.00012167053264643623,0.00012948842402912676,0.00011099783590665865,0.00012656517046132684,9.285802381173782e-05,0.0,0.00011631599737105727,0.0,1.488110199198087e-05
Fusobacteriia,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,3.046786447744159e-06,0.0,4.574644715469645e-06,0.0,0.0,2.1326388958749417e-06,0.0,2.044618711488804e-06
Gastrotricha,0.0,0.0,0.0,0.0,0.0,3.983261146736123e-07,5.84226433285429e-07,3.9823094949404683e-07,5.99060566561453e-07,4.983597653552539e-07,0.0,4.95640765873959e-07,0.0,9.683656627092011e-08
Gemmatimonadetes,0.0,0.0,0.0,0.0,0.0,2.7375869845448154e-05,5.94123357310111e-05,6.234125030373979e-05,5.947038130110539e-05,5.480145667577969e-05,0.0,5.268025877141683e-05,0.0,1.4401154129199678e-05
Glomeromycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68901356420067e-08,4.2790040468675215e-08,0.0,0.0,1.993603522213638e-08,0.0,2.7749989165698207e-08
Gracilibacteria,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,0.0,3.04976314364643e-06,3.0445253708766496e-06,0.0,1.8272103661367973e-06,0.0,1.668009699253058e-06
Group C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574644715469645e-06,0.0,0.0,9.149289430939289e-07,0.0,2.0458433113400618e-06
Halobacteria,0.0,0.0,0.0,0.0,0.0,0.00013383758591107987,0.00014472235626784754,0.00014444923850866537,0.00014638863089502864,0.0001293923282622576,0.0,0.0001397580279689758,0.0,7.634072823866929e-06
Ignavibacteria,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,3.046786447744159e-06,3.041036600182429e-06,0.0,0.0,0.0,1.8259172728174987e-06,0.0,1.6668282678100276e-06
Insecta,0.0,0.0,0.0,0.0,0.0,2.261923294039441e-06,2.3654045835458836e-06,2.474720900427291e-06,2.4105056130687037e-06,2.292454920634168e-06,0.0,2.3610018623430976e-06,0.0,8.648304866769606e-08
Intramacronucleata,0.0,0.0,0.0,0.0,0.0,6.401669700111626e-07,7.694689609125163e-07,3.413408138520402e-07,3.85110364218077e-07,2.562993078969877e-07,0.0,4.784772833781568e-07,0.0,2.1662557375237557e-07
LKM74,0.0,0.0,0.0,0.0,0.0,6.117151046773331e-07,4.417321812645927e-07,5.120112207780602e-07,3.993737110409686e-07,4.841209149165323e-07,0.0,4.897906265354974e-07,0.0,8.04305781060523e-08
Marine Group I,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,3.046786447744159e-06,3.041036600182429e-06,1.0674171002762506e-05,6.089050741753299e-06,0.0,5.17856162172066e-06,0.0,3.343280519019476e-06
Metamonada,0.0,0.0,0.0,0.0,0.0,6.970707006788215e-07,7.837183861145999e-07,7.82239365077592e-07,8.272741157277208e-07,5.837928679875831e-07,0.0,7.348190871172635e-07,0.0,9.672333749274056e-08
Methanobacteria,0.0,0.0,0.0,0.0,0.0,0.000611394426548342,0.0005468981673700765,0.0005793174723347527,0.0005687808262900592,0.0004764682205421957,0.0,0.0005565718226170852,0.0,5.045321824417942e-05
Methanomicrobia,0.0,0.0,0.0,0.0,0.0,5.931438466513766e-05,5.788894250713902e-05,8.666954310519922e-05,5.184597344198931e-05,6.545729547384796e-05,0.0,6.423522783866263e-05,0.0,1.3442243212503191e-05
Ministeriida,0.0,0.0,0.0,0.0,0.0,1.707111920029767e-07,1.8524252762708723e-07,1.9911547474702342e-07,1.2837012140602563e-07,1.423885043872154e-07,0.0,1.6516556403406567e-07,0.0,2.9407201237334904e-08
Mollicutes,0.0,0.0,0.0,0.0,0.0,6.539791129745947e-05,7.616966119360397e-05,7.754643330465193e-05,6.709478916022146e-05,8.372444769910786e-05,0.0,7.398664853100893e-05,0.0,7.640786566375365e-06
Mollusca,0.0,0.0,0.0,0.0,0.0,8.535559600148835e-08,0.0,0.0,0.0,0.0,0.0,1.707111920029767e-08,0.0,3.817218298386744e-08
Mucorales,0.0,0.0,0.0,0.0,0.0,1.6772374614292462e-05,1.7512543573360786e-05,1.7209266031707023e-05,1.6959119372418276e-05,1.677336581681397e-05,0.0,1.7045333881718504e-05,0.0,3.1664845545963557e-07
Nematoda,0.0,0.0,0.0,0.0,0.0,1.4666936579589081e-05,1.5204136690623237e-05,1.5587897165909836e-05,1.5062094244973673e-05,1.5007748362412504e-05,0.0,1.5105762608701667e-05,0.0,3.339959556421539e-07
Nitrospira,0.0,0.0,0.0,0.0,0.0,4.562644974241359e-06,3.046786447744159e-06,0.0,7.624407859116075e-06,6.089050741753299e-06,0.0,4.264578004570978e-06,0.0,2.9315372746893325e-06
Nucleariida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4263346822891738e-07,1.1391080350977232e-07,0.0,5.1308854347737934e-08,0.0,7.098764812075514e-08
PAUC43f marine benthic group,0.0,0.0,0.0,0.0,0.0,0.0,4.570179671616238e-06,6.082073200364858e-06,4.574644715469645e-06,3.0445253708766496e-06,0.0,3.6542845916654774e-06,0.0,2.3079041502908016e-06
Pezizomycotina,0.0,0.0,0.0,0.0,0.0,5.9933854325711734e-05,5.910661573824292e-05,6.0033315636227556e-05,5.9677843106979025e-05,5.874949691016507e-05,0.0,5.9500225143465255e-05,0.0,5.527859274361053e-07
Phycisphaerae,0.0,0.0,0.0,0.0,0.0,1.6729698238884983e-05,1.6757325462592873e-05,1.6725701301003357e-05,1.3723934146408936e-05,1.9789414910698223e-05,0.0,1.6745214811917677e-05,0.0,2.144531377142748e-06
Pla3 lineage,0.0,0.0,0.0,0.0,0.0,0.0,1.0663752567104557e-05,0.0,9.14928943093929e-06,0.0,0.0,3.962608399608769e-06,0.0,5.452379967965287e-06
Pla4 lineage,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,4.570179671616238e-06,3.041036600182429e-06,3.04976314364643e-06,0.0,0.0,2.7405485463212004e-06,0.0,1.668441897750228e-06
Planctomycetacia,0.0,0.0,0.0,0.0,0.0,4.106380476817223e-05,6.245912217875525e-05,5.7779695403466145e-05,7.624407859116074e-05,5.936824473209467e-05,0.0,5.9382989134729806e-05,0.0,1.2569031547859581e-05
Planctomycetes,0.0,0.0,0.0,0.0,0.0,6.083526632321812e-06,0.0,4.561554900273643e-06,0.0,4.566788056314974e-06,0.0,3.042373917782086e-06,0.0,2.845717715606942e-06
