Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Actinomycetaceae,3246.0,3328.0,3263.0,3275.0,3255.0,320.0,330.0,317.0,314.0,325.0
Akkermansiaceae,3356.0,3358.0,3324.0,3321.0,3298.0,42.0,48.0,43.0,48.0,44.0
Bacteroidaceae,584650.0,583831.0,585143.0,584557.0,584765.0,37731.0,37660.0,37545.0,37703.0,37354.0
Bifidobacteriaceae,1348.0,1350.0,1333.0,1334.0,1366.0,95.0,99.0,100.0,98.0,97.0
Catabacteriaceae,1513.0,1502.0,1500.0,1522.0,1480.0,0.0,0.0,0.0,0.0,0.0
Clostridia_unclassified,85988.0,86606.0,86424.0,85882.0,86328.0,0.0,0.0,0.0,0.0,0.0
Clostridiaceae,256010.0,255506.0,255567.0,255709.0,255466.0,2878.0,2867.0,2878.0,2840.0,2868.0
Clostridiales_Family_XIII_Incertae_Sedis,971.0,912.0,985.0,955.0,981.0,0.0,0.0,0.0,0.0,0.0
Clostridiales_unclassified,263720.0,262699.0,263127.0,263504.0,262922.0,0.0,0.0,0.0,0.0,0.0
Debaryomycetaceae,807685.0,806655.0,807547.0,807417.0,807438.0,86549.20862676797,86548.95607576905,86558.44076884007,86557.1312451419,86561.94842160303
Desulfovibrionaceae,1445.0,1430.0,1457.0,1382.0,1468.0,54.0,51.0,59.0,51.0,50.0
Eggerthellaceae,262933.0,263133.0,263791.0,263551.0,262842.0,8375.0,8161.0,8261.0,8141.0,8146.0
Enterobacteriaceae,343448.0,343198.0,342263.0,342571.0,343779.0,25163.0,25330.0,25477.0,25507.0,25259.0
Erysipelotrichaceae,401609.0,402966.0,402263.0,401503.0,402227.0,16651.0,16811.0,16733.0,16843.0,16699.0
Eubacteriaceae,32474.0,32279.0,32405.0,32405.0,32488.0,2627.0,2647.0,2637.0,2640.0,2626.0
FGB1340,552238.0,550862.0,551817.0,552766.0,551662.0,0.0,0.0,0.0,0.0,0.0
FGB3035,376.0,388.0,371.0,365.0,345.0,0.0,0.0,0.0,0.0,0.0
FGB3053,8090.0,8010.0,8092.0,8008.0,8019.0,0.0,0.0,0.0,0.0,0.0
Lachnospiraceae,4545543.0,4546924.0,4548295.0,4544536.0,4546101.0,264503.0,263589.0,264640.0,263574.0,263463.0
Lactobacillaceae,4624.0,4528.0,4507.0,4452.0,4549.0,797.0,797.0,784.0,705.0,752.0
Micrococcaceae,2757.0,2702.0,2764.0,2812.0,2757.0,125.0,98.0,108.0,88.0,97.0
Oscillospiraceae,6715.0,6614.0,6727.0,6660.0,6724.0,754.0,791.0,754.0,748.0,761.0
Oxalobacteraceae,1309.0,1243.0,1289.0,1260.0,1321.0,91.0,106.0,97.0,76.0,101.0
Rikenellaceae,2931.0,3016.0,2924.0,2973.0,2962.0,78.0,100.0,77.0,80.0,87.0
Ruminococcaceae,1150889.0,1151800.0,1148757.0,1151438.0,1151373.0,99151.0,98916.0,99190.0,98934.0,98887.0
Streptococcaceae,119031.0,119240.0,119326.0,119617.0,119546.0,15856.0,15535.0,15567.0,15570.0,15728.0
Tannerellaceae,465851.0,466550.0,465448.0,466274.0,465006.0,14953.0,14957.0,14714.0,14694.0,14717.0
Veillonellaceae,89250.0,89370.0,89291.0,89951.0,89532.0,6701.0,6752.0,6762.0,6761.0,6766.0
AKAU3564 sediment group,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
ANME-2a-2b,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0
ANME-2c,0.0,0.0,0.0,0.0,0.0,13.0,10.0,18.0,14.0,18.0
ASC21,0.0,0.0,0.0,0.0,0.0,294.0,288.0,293.0,297.0,282.0
AT4-11,0.0,0.0,0.0,0.0,0.0,0.11224488841455031,0.12159862911576283,0.13095236981697536,0.08418366631091273,0.09353740701212526
Acantharia,0.0,0.0,0.0,0.0,0.0,0.177721073323038,0.0,0.0,0.0,0.0
Acari,0.0,0.0,0.0,0.0,0.0,0.24319725823152566,0.2899659617375883,0.2525509989327382,0.3273809245424384,0.3367346652436509
Acetobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Acholeplasmatales bacterium canine oral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Acidaminococcaceae,0.0,0.0,0.0,0.0,0.0,1955.0,1986.0,2034.0,1941.0,2011.0
