Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinomycetaceae,0.0003246,0.0003328,0.0003263,0.0003275,0.0003255,3.2318652215246666e-05,3.333654576410696e-05,3.2013401597620224e-05,3.171912612797354e-05,3.2827543379578416e-05,0.0003273400000000001,3.2443053816905164e-05,3.233109957919783e-06,6.462020137605352e-07
Akkermansiaceae,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,4.241823103251125e-06,4.848952111142831e-06,4.342511888636181e-06,4.848783611919522e-06,4.444344334466001e-06,0.00033314,4.545283009883132e-06,2.5451915448547312e-06,2.8623425600202946e-07
Bacteroidaceae,0.058465,0.0583831,0.0585143,0.0584557,0.0584765,0.0038106720835421,0.0038044070105341466,0.0037916188106708244,0.0038086185108375365,0.0037730463243100688,0.058458920000000004,0.003797672547978935,4.788530045849099e-05,1.5630528152081597e-05
Bifidobacteriaceae,0.0001348,0.000135,0.0001333,0.0001334,0.0001366,9.594599876401355e-06,1.000096372923209e-05,1.0098864857293446e-05,9.899599874335692e-06,9.797759100981866e-06,0.00013462,9.878357487648891e-06,1.3535139452551006e-06,1.9437175168289277e-07
Catabacteriaceae,0.0001513,0.0001502,0.00015,0.0001522,0.000148,0.0,0.0,0.0,0.0,0.0,0.00015034,0.0,1.580506248010434e-06,0.0
Clostridia_unclassified,0.0085988,0.0086606,0.0086424,0.0085882,0.0086328,0.0,0.0,0.0,0.0,0.0,0.00862456,0.0,3.029303550323021e-05,0.0
Clostridiaceae,0.025601,0.0255506,0.0255567,0.0255709,0.0255466,0.0002906658783608747,0.00028962386880513534,0.00029064533059290534,0.00028688636370523843,0.0002896904443465566,0.025565160000000003,0.00028950237716214203,2.2053865874263007e-05,1.5454557156561927e-06
Clostridiales_Family_XIII_Incertae_Sedis,9.71e-05,9.12e-05,9.85e-05,9.55e-05,9.81e-05,0.0,0.0,0.0,0.0,0.0,9.607999999999999e-05,0.0,2.963443942442645e-06,0.0
Clostridiales_unclassified,0.026372,0.0262699,0.0263127,0.0263504,0.0262922,0.0,0.0,0.0,0.0,0.0,0.02631944,0.0,4.172149326186665e-05,0.0
Debaryomycetaceae,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.9345037263910984,0.9347235076996309,0.9345373401993495,0.9347793146850463,0.9347526818335304,0.08073484,0.934659314161731,4.0195746043578434e-05,0.00012876690171659055
Desulfovibrionaceae,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,5.4537725613228755e-06,5.152011618089258e-06,5.958330265803133e-06,5.151832587664492e-06,5.050391289165911e-06,0.00014364,5.353267664409134e-06,3.353058305487689e-06,3.704781271928266e-07
Eggerthellaceae,0.0262933,0.0263133,0.0263791,0.0263551,0.0262842,0.0008458397259459089,0.0008244228787299302,0.0008342672258610115,0.0008223739038466007,0.0008228097488309101,0.026325000000000005,0.0008299426966428723,4.07407658249077e-05,1.0124858669300638e-05
Enterobacteriaceae,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,0.002541357017788287,0.0025588324369843316,0.0025728877996926513,0.0025766234081089846,0.0025513566714608347,0.034305180000000005,0.0025602114668070177,6.246084373429571e-05,1.471258478651151e-05
Erysipelotrichaceae,0.0401609,0.0402966,0.0402263,0.0401503,0.0402227,0.0016816808688627258,0.0016982444570921278,0.0016898430565709124,0.0017014179661575108,0.0016867296827556308,0.04021136,0.0016915832062877815,5.893257163912072e-05,8.150703377125834e-06
Eubacteriaceae,0.0032474,0.0032279,0.0032405,0.0032405,0.0032488,0.0002653159355295406,0.0002673995049623974,0.00026630706628682816,0.0002666830986555737,0.00026524655050699363,0.00324102,0.0002661904311882667,8.275083081153912e-06,9.184004802455536e-07
