Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinomycetaceae,0.0003246,0.0003328,0.0003263,0.0003275,0.0003255,0.0004866821305857449,0.0005027197638777863,0.0004820043011289149,0.0004788128135524896,0.0004947353727674555,0.0003273400000000001,0.0004889908763824782,3.233109957919783e-06,9.7367486163847e-06
Akkermansiaceae,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,6.387702963937902e-05,7.312287474585982e-05,6.53822869039222e-05,7.319431544751433e-05,6.697955815928628e-05,0.00033314,6.851121297919234e-05,2.5451915448547312e-06,4.382084922665134e-06
Bacteroidaceae,0.058465,0.0583831,0.0585143,0.0584557,0.0584765,0.057384385841033565,0.05737098881102252,0.05708785957692463,0.057492609902450684,0.05686260035186318,0.058458920000000004,0.05723968889665891,4.788530045849099e-05,0.00025855068233380905
Bifidobacteriaceae,0.0001348,0.000135,0.0001333,0.0001334,0.0001366,0.00014448375751764303,0.0001508159291633359,0.0001520518300091214,0.0001494383940386751,0.0001476594804875175,0.00013462,0.00014888987824325858,1.3535139452551006e-06,2.9553451228336565e-06
Catabacteriaceae,0.0001513,0.0001502,0.00015,0.0001522,0.000148,0.0,0.0,0.0,0.0,0.0,0.00015034,0.0,1.580506248010434e-06,0.0
Clostridia_unclassified,0.0085988,0.0086606,0.0086424,0.0085882,0.0086328,0.0,0.0,0.0,0.0,0.0,0.00862456,0.0,3.029303550323021e-05,0.0
Clostridiaceae,0.025601,0.0255506,0.0255567,0.0255709,0.0255466,0.004377097411955543,0.004367568372841252,0.004376051667662514,0.004330663663977931,0.004365849381837115,0.025565160000000003,0.004363446099654871,2.2053865874263007e-05,1.8991548532894625e-05
Clostridiales_Family_XIII_Incertae_Sedis,9.71e-05,9.12e-05,9.85e-05,9.55e-05,9.81e-05,0.0,0.0,0.0,0.0,0.0,9.607999999999999e-05,0.0,2.963443942442645e-06,0.0
Clostridiales_unclassified,0.026372,0.0262699,0.0263127,0.0263504,0.0262922,0.0,0.0,0.0,0.0,0.0,0.02631944,0.0,4.172149326186665e-05,0.0
Debaryomycetaceae,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.13163110392182992,0.13184809321902882,0.13161369321638275,0.13198937434560032,0.13177002406104316,0.08073484,0.13177045775277701,4.0195746043578434e-05,0.0001564820583905398
Desulfovibrionaceae,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,8.212760953634446e-05,7.769305441747606e-05,8.971057970538163e-05,7.776896016298398e-05,7.611313427191623e-05,0.00014364,8.068266761882048e-05,3.353058305487689e-06,5.52039778974339e-06
Eggerthellaceae,0.0262933,0.0263133,0.0263791,0.0263551,0.0262842,0.012737383886423793,0.012432412100020043,0.01256100167705352,0.012414060876212796,0.012400351835580591,0.026325000000000005,0.012509042075058149,4.07407658249077e-05,0.00014278211759827537
Enterobacteriaceae,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,0.03826994516227843,0.038587550360679776,0.038738244731423864,0.03889515425249475,0.03845083317148664,0.034305180000000005,0.03858834553567269,6.246084373429571e-05,0.00024335695900762466
Erysipelotrichaceae,0.0401609,0.0402966,0.0402263,0.0401503,0.0402227,0.025324200488697622,0.02560976348651353,0.025442832715426286,0.025683580314218416,0.025420264584134582,0.04021136,0.025496128317798083,5.893257163912072e-05,0.00014680438367747534
Eubacteriaceae,0.0032474,0.0032279,0.0032405,0.0032405,0.0032488,0.00399535611577735,0.004032421863589395,0.004009606757340531,0.004025687349613288,0.00399746181196104,0.00324102,0.004012106779656321,8.275083081153912e-06,1.6571394376496013e-05
FGB1340,0.0552238,0.0550862,0.0551817,0.0552766,0.0551662,0.0,0.0,0.0,0.0,0.0,0.055186900000000004,0.0,7.071725390596046e-05,0.0
FGB3035,3.76e-05,3.88e-05,3.71e-05,3.65e-05,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.6899999999999996e-05,0.0,1.5858751527153714e-06,0.0
FGB3053,0.000809,0.000801,0.0008092,0.0008008,0.0008019,0.0,0.0,0.0,0.0,0.0,0.00080438,0.0,4.329203159936056e-06,0.0
Lachnospiraceae,0.4545543,0.4546924,0.4548295,0.4544536,0.4546101,0.40227776120725406,0.4015496964872176,0.4023899629361389,0.40191913541173213,0.4010598938936373,0.45462798,0.40183928998719604,0.00014222962771517594,0.0005461674800874582
Lactobacillaceae,0.0004624,0.0004528,0.0004507,0.0004452,0.0004549,0.0012121426814901209,0.0012141443994260475,0.0011920863472715119,0.0010750415081353668,0.00114474153944962,0.00045319999999999996,0.0011676312951545333,6.283709095749114e-06,5.882089665462871e-05
Micrococcaceae,0.0002757,0.0002702,0.0002764,0.0002812,0.0002757,0.00019011020726005662,0.00014929253593946382,0.00016421597640985114,0.00013418957832044294,0.0001476594804875175,0.00027583999999999996,0.00015709355568346639,3.901666310693419e-06,2.1303039813772e-05
Oscillospiraceae,0.0006715,0.0006614,0.0006727,0.000666,0.0006724,0.0011467447701926615,0.001205004040082815,0.0011464707982687754,0.001140611415723765,0.001158441903618565,0.0006688,0.0011594545855773165,4.951262465270839e-06,2.6272426232712606e-05
Oxalobacteraceae,0.0001309,0.0001243,0.0001289,0.000126,0.0001321,0.00013840023088532123,0.00016147968173044045,0.00014749027510884777,0.00011589099945856436,0.00015374853122927077,0.00012844,0.0001434019436824889,3.2692506786724093e-06,1.7553063291364333e-05
Rikenellaceae,0.0002931,0.0003016,0.0002924,0.0002973,0.0002962,0.00011862876933027532,0.00015233932238720797,0.00011707990910702349,0.00012199052574585723,0.00013243685363313425,0.00029612,0.00012849507604069965,3.687411015875502e-06,1.4612023415557369e-05
Ruminococcaceae,0.1150889,0.11518,0.1148757,0.1151438,0.1151373,0.150796937280335,0.15068796413253063,0.15082021018604752,0.15086263342675799,0.1505319901749396,0.11508514,0.15073994704012214,0.00012149005309078012,0.0001329382281337246
Streptococcaceae,0.0119031,0.011924,0.0119326,0.0119617,0.0119546,0.02411509957052366,0.023665913732852758,0.02366990837751993,0.02374240607328746,0.023942147516573968,0.011935199999999998,0.023827095054151554,2.367076255636897e-05,0.00019624153719722019
Tannerellaceae,0.0465851,0.046655,0.0465448,0.0466274,0.0465006,0.022741743433277013,0.022785392449454697,0.022372906267542125,0.022406609816370326,0.02240313994159582,0.04658258,0.022541958381648,6.20642570244741e-05,0.0002033117205968669
Veillonellaceae,0.008925,0.008937,0.0089291,0.0089951,0.0089532,0.010191427990797116,0.010285951047584282,0.01028174474521679,0.010309724307096759,0.010299629329675705,0.008947880000000002,0.01027369548407413,2.851573249979736e-05,4.731165376537769e-05
