Genus,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Actinomyces,3246.0,3328.0,3263.0,3275.0,3255.0,320.0,330.0,317.0,311.0,322.0
Adlercreutzia,92969.0,92459.0,92663.0,92584.0,92576.0,1379.0,1349.0,1378.0,1339.0,1345.0
Agathobaculum,47831.0,47732.0,47555.0,47929.0,47553.0,0.0,0.0,0.0,0.0,0.0
Akkermansia,3356.0,3358.0,3324.0,3321.0,3298.0,96.0,103.0,100.0,103.0,104.0
Alistipes,2931.0,3016.0,2924.0,2973.0,2962.0,69.0,88.0,70.0,67.0,77.0
Anaerofustis,19799.0,19694.0,19833.0,19837.0,19857.0,1008.0,1039.0,1019.0,985.0,1024.0
Anaeromassilibacillus,4268.0,4383.0,4219.0,4264.0,4276.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes,108578.0,108714.0,108824.0,108744.0,108467.0,6297.0,6312.0,6241.0,6314.0,6267.0
Bacteroides,584650.0,583831.0,585143.0,584557.0,584765.0,37731.0,37660.0,37545.0,37703.0,37354.0
Bilophila,1445.0,1430.0,1457.0,1382.0,1468.0,54.0,51.0,59.0,51.0,50.0
Bittarella,1301.0,1301.0,1264.0,1299.0,1330.0,0.0,0.0,0.0,0.0,0.0
Blautia,2593220.0,2593134.0,2595182.0,2591742.0,2593520.0,61040.0,61384.0,61005.0,60978.0,61017.0
Candida,807685.0,806655.0,807547.0,807417.0,807438.0,86550.53685794755,86548.87189210273,86559.95607483367,86572.39654996629,86563.13634667208
Catabacter,1513.0,1502.0,1500.0,1522.0,1480.0,0.0,0.0,0.0,0.0,0.0
Clostridia_unclassified,47848.0,47921.0,47898.0,47529.0,47910.0,0.0,0.0,0.0,0.0,0.0
Clostridiaceae_unclassified,181763.0,181303.0,180967.0,181539.0,181787.0,0.0,0.0,0.0,0.0,0.0
Clostridiales_unclassified,11211.0,11200.0,11402.0,11368.0,11317.0,0.0,0.0,0.0,0.0,0.0
Clostridium,55159.0,55010.0,55346.0,54941.0,54732.0,5654.0,5647.0,5727.0,5629.0,5736.0
Cuneatibacter,3454.0,3342.0,3319.0,3289.0,3346.0,0.0,0.0,0.0,0.0,0.0
Dialister,89250.0,89370.0,89291.0,89951.0,89532.0,6696.0,6750.0,6753.0,6755.0,6766.0
Dielma,545.0,506.0,532.0,541.0,527.0,4.0,0.0,6.0,4.0,4.0
Dysosmobacter,6715.0,6614.0,6727.0,6660.0,6724.0,0.0,0.0,0.0,0.0,0.0
Eggerthella,130744.0,131679.0,131791.0,131952.0,131376.0,8218.0,7983.0,8056.0,7943.0,8044.0
Eisenbergiella,20144.0,20052.0,20139.0,20242.0,20044.0,0.0,0.0,0.0,0.0,0.0
Emergencia,971.0,912.0,985.0,955.0,981.0,0.0,0.0,0.0,0.0,0.0
Enterocloster,239877.0,239534.0,239894.0,239908.0,239324.0,0.0,0.0,0.0,0.0,0.0
Erysipelatoclostridium,33306.0,33307.0,33685.0,33325.0,33358.0,249.0,276.0,288.0,288.0,269.0
Erysipelotrichaceae_unclassified,4871.0,4806.0,4745.0,4867.0,4841.0,0.0,0.0,0.0,0.0,0.0
Escherichia,343448.0,343198.0,342263.0,342571.0,343779.0,0.0,0.0,0.0,0.0,0.0
Eubacterium,12675.0,12585.0,12572.0,12568.0,12631.0,2196.0,2207.0,2225.0,2216.0,2211.0
Evtepia,8685.0,8613.0,8678.0,8684.0,8720.0,0.0,0.0,0.0,0.0,0.0
Faecalibacillus,1723.0,1714.0,1703.0,1727.0,1712.0,0.0,0.0,0.0,0.0,0.0
Faecalibacterium,47339.0,47091.0,47349.0,47510.0,47216.0,1857.0,1882.0,1893.0,1853.0,1813.0
Faecalicatena,1458.0,1482.0,1403.0,1450.0,1431.0,0.0,0.0,0.0,0.0,0.0
Faecalimonas,40000.0,40156.0,39874.0,39901.0,39725.0,0.0,0.0,0.0,0.0,0.0
Flavonifractor,5803.0,5832.0,5850.0,5760.0,5859.0,0.0,0.0,0.0,0.0,0.0
GGB3005,38140.0,38685.0,38526.0,38353.0,38418.0,0.0,0.0,0.0,0.0,0.0
GGB3256,552238.0,550862.0,551817.0,552766.0,551662.0,0.0,0.0,0.0,0.0,0.0
GGB3433,209740.0,209483.0,209078.0,208712.0,209406.0,0.0,0.0,0.0,0.0,0.0
GGB3743,846.0,855.0,837.0,894.0,851.0,0.0,0.0,0.0,0.0,0.0
GGB3746,1474.0,1429.0,1463.0,1460.0,1472.0,0.0,0.0,0.0,0.0,0.0
GGB45432,3109.0,2969.0,2988.0,3081.0,3057.0,0.0,0.0,0.0,0.0,0.0
GGB6649,1309.0,1243.0,1289.0,1260.0,1321.0,0.0,0.0,0.0,0.0,0.0
GGB9524,376.0,388.0,371.0,365.0,345.0,0.0,0.0,0.0,0.0,0.0
GGB9581,8090.0,8010.0,8092.0,8008.0,8019.0,0.0,0.0,0.0,0.0,0.0
GGB9739,2155.0,2208.0,2130.0,2099.0,2196.0,0.0,0.0,0.0,0.0,0.0
Gordonibacter,36111.0,36026.0,36349.0,35934.0,35833.0,2961.0,2957.0,3028.0,3012.0,2916.0
Harryflintia,2384.0,2354.0,2339.0,2374.0,2373.0,0.0,0.0,0.0,0.0,0.0
Holdemania,712.0,692.0,693.0,667.0,651.0,6.0,0.0,6.0,6.0,6.0
Hungatella,18613.0,18724.0,18799.0,18772.0,18491.0,0.0,0.0,0.0,0.0,0.0
Intestinimonas,437.0,446.0,424.0,432.0,397.0,0.0,0.0,0.0,0.0,0.0
Lachnoclostridium,73556.0,73458.0,73702.0,73570.0,73550.0,25.0,29.0,45.0,0.0,0.0
Lachnospiraceae_unclassified,119153.0,119322.0,119669.0,119337.0,119147.0,0.0,0.0,0.0,0.0,0.0
Lacticaseibacillus,3312.0,3323.0,3272.0,3247.0,3275.0,0.0,0.0,0.0,0.0,0.0
Lactobacillus,1312.0,1205.0,1235.0,1205.0,1274.0,797.0,797.0,784.0,705.0,752.0
Lactonifactor,475.0,469.0,455.0,457.0,456.0,0.0,0.0,0.0,0.0,0.0
Longibaculum,43500.0,43435.0,43833.0,43660.0,43651.0,0.0,0.0,0.0,0.0,0.0
Longicatena,292098.0,293807.0,292240.0,291988.0,292608.0,0.0,0.0,0.0,0.0,0.0
Massilimaliae,101.0,87.0,84.0,84.0,105.0,0.0,0.0,0.0,0.0,0.0
Mediterraneibacter,574085.0,573349.0,574444.0,574214.0,574640.0,0.0,0.0,0.0,0.0,0.0
Monoglobus,243387.0,242440.0,242623.0,243020.0,242488.0,7315.0,7319.0,7226.0,7272.0,7296.0
Murimonas,332.0,338.0,336.0,340.0,356.0,0.0,0.0,0.0,0.0,0.0
Neglecta,96030.0,95758.0,94899.0,95516.0,95643.0,0.0,0.0,0.0,0.0,0.0
Neobittarella,454.0,470.0,420.0,453.0,439.0,0.0,0.0,0.0,0.0,0.0
Parabacteroides,465851.0,466550.0,465448.0,466274.0,465006.0,14981.0,14976.0,14743.0,14712.0,14726.0
Phocea,193.0,198.0,196.0,200.0,196.0,0.0,0.0,0.0,0.0,0.0
Roseburia,529262.0,531685.0,529753.0,530241.0,530316.0,111.0,98.0,134.0,125.0,85.0
Rothia,2757.0,2702.0,2764.0,2812.0,2757.0,125.0,98.0,108.0,88.0,97.0
Ruminococcaceae_unclassified,975.0,1033.0,1027.0,1018.0,1030.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus,941270.0,942568.0,940648.0,942147.0,942370.0,33479.0,33663.0,33455.0,33417.0,33415.0
Ruthenibacterium,785.0,785.0,777.0,785.0,787.0,0.0,0.0,0.0,0.0,0.0
Scardovia,1348.0,1350.0,1333.0,1334.0,1366.0,61.0,68.0,65.0,70.0,68.0
Sellimonas,30364.0,30591.0,30378.0,30492.0,30506.0,0.0,0.0,0.0,0.0,0.0
Streptococcus,119031.0,119240.0,119326.0,119617.0,119546.0,15856.0,15520.0,15567.0,15570.0,15728.0
Turicibacter,24854.0,24699.0,24832.0,24728.0,24879.0,11729.0,11811.0,11721.0,11853.0,11632.0
24-Nov,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Acantharea,0.0,0.0,0.0,0.0,0.0,0.177721073323038,0.0,0.0,0.0,0.0
Acari,0.0,0.0,0.0,0.0,0.0,0.355442146646076,0.4209183315545637,0.4115645908533511,0.4302720722557762,0.44897955365820125
Acetitomaculum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Acidobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Acidovorax,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0
Acinetobacter,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,3.0,7.0
Aegilops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0
Agrococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Algisphaera,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Aliidiomarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Aliihoeflea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Alloprevotella,0.0,0.0,0.0,0.0,0.0,24.0,27.0,23.0,27.0,23.0
Alteromonas,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,27.0,24.0
Amoeba,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.018707481402425053,0.0,0.018707481402425053
Amoebophrya,0.0,0.0,0.0,0.0,0.0,0.04676870350606263,0.10289114771333778,0.12159862911576283,0.09353740701212526,0.07482992560970021
Amphimedon,0.0,0.0,0.0,0.0,0.0,0.10289114771333778,0.08418366631091273,0.06547618490848768,0.06547618490848768,0.09353740701212526
Amylostereaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037414962804850106
Anaeroplasma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Anaerotruncus,0.0,0.0,0.0,0.0,0.0,94.0,80.0,84.0,82.0,63.0
Anoxybacillus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Anthoathecata,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.06547618490848768,0.07482992560970021,0.056122444207275156,0.037414962804850106
Aquabacterium,0.0,0.0,0.0,0.0,0.0,14.0,21.0,18.0,17.0,15.0
Arcicella,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0
Arenimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Armophorea,0.0,0.0,0.0,0.0,0.0,1.917516843748568,1.992346769358268,2.310373953199494,2.525509989327382,2.422618841614044
Atopobium,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,12.0,12.0
BAL58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Bacillariophytina,0.0,0.0,0.0,0.0,0.0,4.695577832008688,4.499149277283225,4.471088055179587,4.789115239020814,4.658162869203838
Bacillus,0.0,0.0,0.0,0.0,0.0,46.0,32.0,40.0,32.0,25.0
Bdellovibrio,0.0,0.0,0.0,0.0,0.0,111.0,105.0,100.0,95.0,114.0
Bernardetia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Bifidobacterium,0.0,0.0,0.0,0.0,0.0,34.0,31.0,35.0,28.0,29.0
Bivalvulida,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.04676870350606263,0.037414962804850106,0.037414962804850106,0.09353740701212526
Blastocatella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Blastopirellula,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0
Boergeseniella,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.0,0.06547618490848768,0.0,0.056122444207275156
Bothrioplanida,0.0,0.0,0.0,0.0,0.0,0.07482992560970021,0.10289114771333778,0.08418366631091273,0.0,0.10289114771333778
Brevibacterium,0.0,0.0,0.0,0.0,0.0,27.0,31.0,26.0,29.0,30.0
Brevundimonas,0.0,0.0,0.0,0.0,0.0,21.0,26.0,21.0,24.0,21.0
Brinjal,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0
Burkholderia-Paraburkholderia,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,7.0,3.0
Butyricicoccus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
CAG-352,0.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,0.0,18.0
Caecitellus,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.0,0.018707481402425053
Cajanus,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0
Calditerrivibrio,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Candida-Lodderomyces,0.0,0.0,0.0,0.0,0.0,0.06547618490848768,0.27125848033516325,0.12159862911576284,0.15901359192061293,0.10289114771333778
Candidatus,0.0,0.0,0.0,0.0,0.0,396.0,419.0,380.0,363.0,433.0
Cassava,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,5.0,3.0
Cercomonas,0.0,0.0,0.0,0.0,0.0,0.16836733262182546,0.10289114771333778,0.16836733262182546,0.16836733262182546,0.177721073323038
Chlamydomonas,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.08418366631091273,0.06547618490848768,0.0,0.0
Chloroplast,0.0,0.0,0.0,0.0,0.0,63.0,71.0,65.0,77.0,68.0
Christensenellaceae,0.0,0.0,0.0,0.0,0.0,237.0,204.0,226.0,229.0,225.0
Chroococcidiopsis,0.0,0.0,0.0,0.0,0.0,15.0,16.0,18.0,14.0,26.0
Chryseolinea,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,3.0
Cloacibacterium,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,6.0,3.0
Clostridia,0.0,0.0,0.0,0.0,0.0,87.0,78.0,80.0,77.0,79.0
Coccidia,0.0,0.0,0.0,0.0,0.0,2.4693875451201066,2.6938773219492074,2.450680063717682,2.4974487672237444,2.6938773219492074
Coccomyxa,0.0,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.0,0.037414962804850106,0.028061222103637578
Coenochloris,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.018707481402425053,0.0,0.0
Colidextribacter,0.0,0.0,0.0,0.0,0.0,441.0,465.0,442.0,445.0,434.0
Collembola,0.0,0.0,0.0,0.0,0.0,5.032312497252339,4.966836312343851,4.826530201825664,4.938775090240213,4.892006386734151
Colwellia,0.0,0.0,0.0,0.0,0.0,61.0,65.0,54.0,81.0,70.0
Conidiobolus,0.0,0.0,0.0,0.0,0.0,0.5705781827739641,0.49574825716426385,0.551870701371539,0.551870701371539,0.5705781827739641
Conthreep,0.0,0.0,0.0,0.0,0.0,0.13095236981697536,0.11224488841455031,0.056122444207275156,0.15901359192061293,0.12159862911576283
Convoluta,0.0,0.0,0.0,0.0,0.0,0.10289114771333778,0.056122444207275156,0.0,0.0,0.0
Copepoda,0.0,0.0,0.0,0.0,0.0,0.04676870350606263,0.0654761849084877,0.018707481402425053,0.05612244420727516,0.056122444207275156
Coprococcus,0.0,0.0,0.0,0.0,0.0,870.0,3.0,1127.0,2.0,2.0
Corticiaceae,0.0,0.0,0.0,0.0,0.0,5.518707013715391,5.593536939325091,0.0,5.649659383532366,0.0
