Genus,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinomyces,0.0003246,0.0003328,0.0003263,0.0003275,0.0003255,3.2318652215246666e-05,3.333654576410696e-05,3.2013401597620224e-05,3.1416077152228574e-05,3.252451990222846e-05,0.0003273400000000001,3.232183932628617e-05,3.233109957919783e-06,7.046732712601973e-07
Adlercreutzia,0.0092969,0.0092459,0.0092663,0.0092584,0.0092576,0.0001392731918900786,0.00013627575829024333,0.00013916235773350367,0.00013526085950750502,0.000135855525678563,0.009265019999999999,0.00013716553861997872,1.9251155809457532e-05,1.9082147640173743e-06
Agathobaculum,0.0047831,0.0047732,0.0047555,0.0047929,0.0047553,0.0,0.0,0.0,0.0,0.0,0.004772,0.0,1.6677829595004376e-05,0.0
Akkermansia,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,9.695595664574e-06,1.0405043071827325e-05,1.0098864857293446e-05,1.0404681500577309e-05,1.0504813881465094e-05,0.00033314,1.0221799795147434e-05,2.5451915448547312e-06,3.313323767990572e-07
Alistipes,0.0002931,0.0003016,0.0002924,0.0002973,0.0002962,6.9687093839125625e-06,8.889745537095191e-06,7.069205400105412e-06,6.768093791637666e-06,7.777602585315503e-06,0.00029612,7.494671339613268e-06,3.687411015875502e-06,8.677347353918855e-07
Anaerofustis,0.0019799,0.0019694,0.0019833,0.0019837,0.0019857,0.000101803754478027,0.00010495960923911254,0.0001029074328958202,9.950108036959853e-05,0.00010343201360211785,0.0019803999999999998,0.00010252077811693523,6.493073232299143e-06,2.0347264345615826e-06
Anaeromassilibacillus,0.0004268,0.0004383,0.0004219,0.0004264,0.0004276,0.0,0.0,0.0,0.0,0.0,0.00042819999999999995,0.0,6.0675365676689435e-06,0.0
Anaerostipes,0.0108578,0.0108714,0.0108824,0.0108744,0.0108467,0.0006359704781231508,0.0006376372026152823,0.000630270155743684,0.0006378170776179139,0.0006330160441840552,0.010866540000000001,0.0006349421916568173,1.4203450285053592e-05,3.2451267337669984e-06
Bacteroides,0.058465,0.0583831,0.0585143,0.0584557,0.0584765,0.0038106720835421,0.0038044070105341466,0.0037916188106708244,0.0038086185108375365,0.0037730463243100688,0.058458920000000004,0.003797672547978935,4.788530045849099e-05,1.5630528152081597e-05
Bilophila,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,5.4537725613228755e-06,5.152011618089258e-06,5.958330265803133e-06,5.151832587664492e-06,5.050391289165911e-06,0.00014364,5.353267664409134e-06,3.353058305487689e-06,3.704781271928266e-07
Bittarella,0.0001301,0.0001301,0.0001264,0.0001299,0.000133,0.0,0.0,0.0,0.0,0.0,0.0001299,0.0,2.3420076857260724e-06,0.0
Blautia,0.259322,0.2593134,0.2595182,0.2591742,0.259352,0.006164782910058302,0.006201001591466491,0.006160812506191866,0.006159773480992263,0.006163194505820728,0.25933596,0.00616991299890593,0.0001228198192475306,1.7489892363000145e-05
Candida,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.9345180677930188,0.9347225985211101,0.9345537003604184,0.9349441733278515,0.9347655098274049,0.08073484,0.9347008099659607,4.0195746043578434e-05,0.0001724256919164922
