Genus,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinomyces,0.0003246,0.0003328,0.0003263,0.0003275,0.0003255,0.00048668213058574485,0.0005027197638777862,0.00048200430112891495,0.00047423816883701987,0.0004901685847111405,0.0003273400000000001,0.0004871625898281213,3.233109957919783e-06,1.0546813630090768e-05
Adlercreutzia,0.0092969,0.0092459,0.0092663,0.0092584,0.0092576,0.0020972958064929444,0.002055057459003435,0.0020952742175256935,0.002041816424671285,0.0020474433119145466,0.009265019999999999,0.002067377443921581,1.9251155809457532e-05,2.681350288959787e-05
Agathobaculum,0.0047831,0.0047732,0.0047555,0.0047929,0.0047553,0.0,0.0,0.0,0.0,0.0,0.004772,0.0,1.6677829595004376e-05,0.0
Akkermansia,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,0.00014600463917572345,0.00015690950205882417,0.00015205183000912144,0.00015706280189779114,0.00015831531928558575,0.00033314,0.0001540688184854092,2.5451915448547312e-06,5.103073077470803e-06
Alistipes,0.0002931,0.0003016,0.0002924,0.0002973,0.0002962,0.00010494083440755123,0.00013405860370074298,0.00010643628100638501,0.00010216706531215541,0.00011721422677875099,0.00029612,0.00011296340224111712,3.687411015875502e-06,1.3101553640815568e-05
Anaerofustis,0.0019799,0.0019694,0.0019833,0.0019837,0.0019857,0.0015330487113450963,0.0015828055596030905,0.0015494081477929475,0.0015020083482458668,0.0015587969898888444,0.0019803999999999998,0.0015452135513751692,6.493073232299143e-06,3.0124476899908488e-05
Anaeromassilibacillus,0.0004268,0.0004383,0.0004219,0.0004264,0.0004276,0.0,0.0,0.0,0.0,0.0,0.00042819999999999995,0.0,6.0675365676689435e-06,0.0
Anaerostipes,0.0108578,0.0108714,0.0108824,0.0108744,0.0108467,0.00957699180093261,0.009615658029080565,0.009489554710869269,0.009628102244491779,0.00954002024964198,0.010866540000000001,0.009570065407003243,1.4203450285053592e-05,5.674420741199313e-05
Bacteroides,0.058465,0.0583831,0.0585143,0.0584557,0.0584765,0.05738438584103356,0.05737098881102251,0.057087859576924645,0.05749260990245068,0.05686260035186318,0.058458920000000004,0.05723968889665891,4.788530045849099e-05,0.0002585506823338034
Bilophila,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,8.212760953634445e-05,7.769305441747605e-05,8.971057970538165e-05,7.776896016298397e-05,7.611313427191623e-05,0.00014364,8.068266761882047e-05,3.353058305487689e-06,5.5203977897433985e-06
Bittarella,0.0001301,0.0001301,0.0001264,0.0001299,0.000133,0.0,0.0,0.0,0.0,0.0,0.0001299,0.0,2.3420076857260724e-06,0.0
Blautia,0.259322,0.2593134,0.2595182,0.2591742,0.259352,0.09283461640923082,0.09351196965416372,0.09275921889706454,0.092984228486636,0.09288390227739025,0.25933596,0.09299478714489708,0.0001228198192475306,0.00030042958865114547
Candida,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.1316331240042686,0.13184796497420198,0.13161599726687628,0.13201265212761526,0.1317718323950489,0.08073484,0.1317763141536022,4.0195746043578434e-05,0.00016371811693320472
Catabacter,0.0001513,0.0001502,0.00015,0.0001522,0.000148,0.0,0.0,0.0,0.0,0.0,0.00015034,0.0,1.580506248010434e-06,0.0
Clostridia_unclassified,0.0047848,0.0047921,0.0047898,0.0047529,0.004791,0.0,0.0,0.0,0.0,0.0,0.00478212,0.0,1.65712703194414e-05,0.0
Clostridiaceae_unclassified,0.0181763,0.0181303,0.0180967,0.0181539,0.0181787,0.0,0.0,0.0,0.0,0.0,0.018147179999999995,0.0,3.4350429400518176e-05,0.0
Clostridiales_unclassified,0.0011211,0.00112,0.0011402,0.0011368,0.0011317,0.0,0.0,0.0,0.0,0.0,0.0011299600000000002,0.0,9.115536188288693e-06,0.0
Clostridium,0.0055159,0.005501,0.0055346,0.0054941,0.0054732,0.00859906489478688,0.008602601535205633,0.008708008304622384,0.008583558367792878,0.00873169876367423,0.00550376,0.0086449863732164,2.3094003550705397e-05,6.922690774134682e-05
Cuneatibacter,0.0003454,0.0003342,0.0003319,0.0003289,0.0003346,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,6.2405929205484875e-06,0.0
Dialister,0.008925,0.008937,0.0089291,0.0089951,0.0089532,0.010183823582506711,0.010282904261136537,0.010268060080515971,0.010300575017665818,0.010299629329675705,0.008947880000000002,0.010266998454300149,2.851573249979736e-05,4.838476173966664e-05
Dielma,5.45e-05,5.06e-05,5.32e-05,5.41e-05,5.27e-05,6.08352663232181e-06,0.0,9.123109800547287e-06,6.09952628729286e-06,6.089050741753298e-06,5.302e-05,5.479042692383051e-06,1.5287249589118398e-06,3.332478224206917e-06
Dysosmobacter,0.0006715,0.0006614,0.0006727,0.000666,0.0006724,0.0,0.0,0.0,0.0,0.0,0.0006688,0.0,4.951262465270839e-06,0.0
Eggerthella,0.0130744,0.0131679,0.0131791,0.0131952,0.0131376,0.012498605466105159,0.01216124810617081,0.012249295425534823,0.012112134324991797,0.012245081041665882,0.01315084,0.012253272872893694,4.763363307580064e-05,0.00014887885584635333
Eisenbergiella,0.0020144,0.0020052,0.0020139,0.0020242,0.0020044,0.0,0.0,0.0,0.0,0.0,0.00201242,0.0,8.082821289624035e-06,0.0
Emergencia,9.71e-05,9.12e-05,9.85e-05,9.55e-05,9.81e-05,0.0,0.0,0.0,0.0,0.0,9.607999999999999e-05,0.0,2.963443942442645e-06,0.0
Enterocloster,0.0239877,0.0239534,0.0239894,0.0239908,0.0239324,0.0,0.0,0.0,0.0,0.0,0.02397074,0.0,2.649939621953722e-05,0.0
Erysipelatoclostridium,0.0033306,0.0033307,0.0033685,0.0033325,0.0033358,0.0003786995328620327,0.0004204565297886939,0.00043790927042626975,0.00043916589268508594,0.0004094886623829093,0.00333962,0.00041714397762899835,1.6280878354683475e-05,2.4817908425479422e-05
Erysipelotrichaceae_unclassified,0.0004871,0.0004806,0.0004745,0.0004867,0.0004841,0.0,0.0,0.0,0.0,0.0,0.0004826,0.0,5.218237250259909e-06,0.0
Escherichia,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,0.0,0.0,0.0,0.0,0.0,0.034305180000000005,0.0,6.246084373429571e-05,0.0
Eubacterium,0.0012675,0.0012585,0.0012572,0.0012568,0.0012631,0.003339856121144674,0.003362128845085679,0.003383153217702952,0.0033791375631602445,0.0033657227975041355,0.00126062,0.003365999708919537,4.589880172727821e-06,1.7068930298403104e-05
Evtepia,0.0008685,0.0008613,0.0008678,0.0008684,0.000872,0.0,0.0,0.0,0.0,0.0,0.0008676000000000002,0.0,3.890372732785414e-06,0.0
Faecalibacillus,0.0001723,0.0001714,0.0001703,0.0001727,0.0001712,0.0,0.0,0.0,0.0,0.0,0.00017158,0.0,9.471008394041267e-07,0.0
Faecalibacterium,0.0047339,0.0047091,0.0047349,0.004751,0.0047216,0.0028242772390554005,0.0028670260473272536,0.0028783411420726687,0.0028256055525884174,0.0027598622486996825,0.004730099999999999,0.0028310224459486845,1.571257458216191e-05,4.6566974717409576e-05
Faecalicatena,0.0001458,0.0001482,0.0001403,0.000145,0.0001431,0.0,0.0,0.0,0.0,0.0,0.00014448,0.0,2.9676590100616337e-06,0.0
Faecalimonas,0.004,0.0040156,0.0039874,0.0039901,0.0039725,0.0,0.0,0.0,0.0,0.0,0.003993120000000001,0.0,1.5966433540399648e-05,0.0
Flavonifractor,0.0005803,0.0005832,0.000585,0.000576,0.0005859,0.0,0.0,0.0,0.0,0.0,0.00058208,0.0,4.015843622453441e-06,0.0
