Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Actinomycetales,3246.0,3328.0,3263.0,3275.0,3255.0,320.0,330.0,317.0,314.0,325.0
Bacteroidales,1053432.0,1053397.0,1053515.0,1053804.0,1052733.0,66631.0,66433.0,66189.0,66384.0,67329.0
Bifidobacteriales,1348.0,1350.0,1333.0,1334.0,1366.0,95.0,99.0,100.0,98.0,97.0
Burkholderiales,1309.0,1243.0,1289.0,1260.0,1321.0,181.0,218.0,210.0,185.0,207.0
Clostridia_unclassified,85988.0,86606.0,86424.0,85882.0,86328.0,0.0,0.0,0.0,0.0,0.0
Clostridiales,6257835.0,6258236.0,6257363.0,6256729.0,6257535.0,199727.0,199079.0,200100.0,198844.0,198792.0
Desulfovibrionales,1445.0,1430.0,1457.0,1382.0,1468.0,54.0,51.0,59.0,51.0,50.0
Eggerthellales,262933.0,263133.0,263791.0,263551.0,262842.0,0.0,0.0,0.0,0.0,0.0
Enterobacterales,343448.0,343198.0,342263.0,342571.0,343779.0,59.0,19.0,79.0,92.0,20.0
Erysipelotrichales,401609.0,402966.0,402263.0,401503.0,402227.0,17240.0,17399.0,17334.0,17474.0,17302.0
Lactobacillales,123655.0,123768.0,123833.0,124069.0,124095.0,16694.0,16357.0,16375.0,16308.0,16494.0
Micrococcales,2757.0,2702.0,2764.0,2812.0,2757.0,152.0,129.0,134.0,117.0,129.0
OFGB1340,552238.0,550862.0,551817.0,552766.0,551662.0,0.0,0.0,0.0,0.0,0.0
OFGB3035,376.0,388.0,371.0,365.0,345.0,0.0,0.0,0.0,0.0,0.0
OFGB3053,8090.0,8010.0,8092.0,8008.0,8019.0,0.0,0.0,0.0,0.0,0.0
Saccharomycetales,807685.0,806655.0,807547.0,807417.0,807438.0,86549.20862676797,86548.95607576905,86558.44076884007,86557.1312451419,86561.94842160303
Veillonellales,89250.0,89370.0,89291.0,89951.0,89532.0,0.0,0.0,0.0,0.0,0.0
Verrucomicrobiales,3356.0,3358.0,3324.0,3321.0,3298.0,96.0,109.0,104.0,111.0,115.0
Acari,0.0,0.0,0.0,0.0,0.0,0.24319725823152566,0.2899659617375883,0.2525509989327382,0.3273809245424384,0.3367346652436509
Acidimicrobiales,0.0,0.0,0.0,0.0,0.0,7.0,69.0,0.0,29.0,24.0
Acidobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Acoelomorpha,0.0,0.0,0.0,0.0,0.0,0.10289114771333778,0.056122444207275156,0.0,0.0,0.0
Aeromonadales,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,2.0
Agaricomycetes,0.0,0.0,0.0,0.0,0.0,15.031461306848529,7.782312263408822,2.310373953199494,7.716836078500334,2.0858841763703935
Alteromonadales,0.0,0.0,0.0,0.0,0.0,137.0,183.0,159.0,198.0,191.0
Anaerolineales,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Anaeroplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Apicomplexa,0.0,0.0,0.0,0.0,0.0,3.4515303187474218,3.863094909600773,3.59183642926561,3.6386051327716724,3.7321425397837977
Bacillales,0.0,0.0,0.0,0.0,0.0,141.0,129.0,139.0,129.0,118.0
Bacteroidia Draconibacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0
Bangiales,0.0,0.0,0.0,0.0,0.0,0.06547618490848768,0.09353740701212526,0.08418366631091273,0.07482992560970021,0.11224488841455031
Bdellovibrionales,0.0,0.0,0.0,0.0,0.0,111.0,105.0,100.0,95.0,114.0
Bicosoecida,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.0,0.018707481402425053
Bivalvia,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.0,0.0,0.0,0.0
Blastocatellales,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Caldisericales,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
