Phylum,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Actinobacteria,270284.0,270513.0,271151.0,270972.0,270220.0,15412.0,15449.0,15392.0,15178.0,15390.0
Ascomycota,807685.0,806655.0,807547.0,807417.0,807438.0,86721.93480255657,86713.92800051633,86731.13888340656,86724.69415606343,86723.60912214208
Bacteroidetes,1053432.0,1053397.0,1053515.0,1053804.0,1052733.0,40452.0,40416.0,40386.0,40475.0,41638.0
Firmicutes,7519041.0,7520206.0,7519454.0,7519273.0,7519743.0,439738.0,438648.0,439861.0,438384.0,438509.0
Proteobacteria,346202.0,345871.0,345009.0,345213.0,346568.0,36788.0,37151.0,37281.0,37137.0,37048.0
Verrucomicrobia,3356.0,3358.0,3324.0,3321.0,3298.0,59.0,64.0,63.0,66.0,70.0
Acetothermia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Acidobacteria,0.0,0.0,0.0,0.0,0.0,260.0,261.0,263.0,246.0,267.0
Actinobacteriota,0.0,0.0,0.0,0.0,0.0,8750.0,8513.0,8620.0,8480.0,8495.0
Amoebozoa,0.0,0.0,0.0,0.0,0.0,0.49574825716426385,0.4676870350606263,0.4302720722557762,0.37414962804850105,0.46768703506062625
Archaeplastida,0.0,0.0,0.0,0.0,0.0,114.92005825509709,115.00424192140801,115.27550040174316,115.24743917963953,115.94896973223047
Arthropoda,0.0,0.0,0.0,0.0,0.0,1.7491495111267423,1.8426869181388676,1.8988093623461426,1.9268705844497802,1.8426869181388676
Atribacteria,0.0,0.0,0.0,0.0,0.0,12.0,13.0,16.0,12.0,14.0
Bacteroidota,0.0,0.0,0.0,0.0,0.0,26500.0,26354.0,26147.0,26227.0,26002.0
Basidiomycota,0.0,0.0,0.0,0.0,0.0,298.21596103605776,292.2950431721902,293.14623357600055,292.32310439429386,289.36732233271067
