Phylum,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinobacteria,0.0270284,0.0270513,0.0271151,0.0270972,0.027022,0.0015565470873168175,0.00156065544093845,0.001554417278834607,0.0015332257846190523,0.0015545104388052673,0.027062799999999998,0.0015518712061028388,4.152980857167445e-05,1.0725278838979844e-05
Ascomycota,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.9363687146154944,0.9365051945409689,0.9364018936179517,0.9365889211355447,0.9364984000865435,0.08073484,0.9364726247993007,4.0195746043578434e-05,8.810535971529364e-05
Bacteroidetes,0.1053432,0.1053397,0.1053515,0.1053804,0.1052733,0.004085481623159869,0.004082817677582264,0.004078527561266531,0.004088635764425889,0.004205763849965804,0.10533761999999999,0.004108245295280071,3.9355139435656514e-05,5.464040271034977e-05
Firmicutes,0.7519041,0.7520206,0.7519454,0.7519273,0.7519743,0.044411685899462934,0.044312148867678765,0.04442096794993952,0.044283940727660995,0.04429284067641709,0.75195434,0.044344316824231865,4.506642874693503e-05,6.660298722566105e-05
Proteobacteria,0.0346202,0.0345871,0.0345009,0.0345213,0.0346568,0.003715433055295295,0.0037529879141889027,0.0037649578074475695,0.0037514432707469853,0.0037421379296203733,0.03457726,0.003745391995459825,6.563088449807777e-05,1.8609567115793505e-05
Verrucomicrobia,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,5.958751502186104e-06,6.465269481523775e-06,6.362284860094871e-06,6.667077466389343e-06,7.070547804832275e-06,0.00033314,6.504786223005274e-06,2.5451915448547312e-06,4.081809472462072e-07
Acetothermia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0296594571880336e-07,0.0,0.0,0.0,6.059318914376067e-08,0.0,1.3549048989895115e-07
Acidobacteria,0.0,0.0,0.0,0.0,0.0,2.6258904924887917e-05,2.6366177104339147e-05,2.6560014574681763e-05,2.485001601108755e-05,2.6969089484145963e-05,0.0,2.620084041982847e-05,0.0,8.022853276083135e-07
Actinobacteriota,0.0,0.0,0.0,0.0,0.0,0.0008837131465106511,0.0008599818608783109,0.000870522150698695,0.0008566184381057823,0.0008580614800292883,0.0,0.0008657794152445456,0.0,1.1415054965551374e-05
Amoebozoa,0.0,0.0,0.0,0.0,0.0,5.352776773150229e-06,5.050991782440449e-06,4.645477834354985e-06,4.040653009932935e-06,5.050391289165911e-06,0.0,4.828058137808902e-06,0.0,5.069032178311261e-07
Archaeplastida,0.0,0.0,0.0,0.0,0.0,0.0012408342534891267,0.0012420388793021064,0.0012445841050128443,0.0012446221433845923,0.0012520930084100126,0.0,0.0012448344779197366,0.0,4.376391337384354e-06
Arthropoda,0.0,0.0,0.0,0.0,0.0,1.888621238828477e-05,1.990090762281537e-05,2.0500695660305694e-05,2.0809363001154618e-05,1.989854167931369e-05,0.0,1.9999144070374828e-05,0.0,7.359342502683666e-07
Atribacteria,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-06,1.3132578634345168e-06,1.6158183771669514e-06,1.2121959029798805e-06,1.414109560966455e-06,0.0,1.3534662325239108e-06,0.0,1.6889884360841902e-07
Bacteroidota,0.0,0.0,0.0,0.0,0.0,0.002676388386575115,0.002662276748688712,0.0026405501942365173,0.0026493551622877773,0.00262640548601784,0.0,0.002650995195561193,0.0,1.9290730727964923e-05
Basidiomycota,0.0,0.0,0.0,0.0,0.0,0.0032199477185202944,0.003156768844189632,0.003164984246275766,0.0031569621966606024,0.0031247780984327324,0.0,0.0031646882208158054,0.0,3.452870386233457e-05
Bathyarchaeota,0.0,0.0,0.0,0.0,0.0,9.493604088228708e-06,1.1213201757017798e-05,1.019985350586638e-05,1.0000616199584014e-05,8.787680843148685e-06,0.0,9.938991278769117e-06,0.0,8.97126599752831e-07
Caldiserica,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,0.0,2.0201565156663643e-07,0.0,1.61604839271083e-07,0.0,9.03398546511806e-08
Candidate division YNPFFA,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,0.0,0.0,0.0,8.079377469823212e-08,0.0,1.1063143238571821e-07
Chlorobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040653009932935e-07,0.0,0.0,8.08130601986587e-08,0.0,1.807034960739835e-07
Chloroflexi,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,1.0101983564880899e-06,3.0296594571880336e-07,3.0304897574497013e-07,4.0403130313327287e-07,0.0,4.6464638912061474e-07,0.0,3.080945746729281e-07
Chytridiomycota,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,5.050991782440449e-07,8.079091885834757e-07,1.0101632524832338e-06,6.060469546999093e-07,0.0,7.070386606093078e-07,0.0,2.020223868028255e-07
Ciliophora,0.0,0.0,0.0,0.0,0.0,4.544810467769063e-06,5.455071125035685e-06,2.423727565750427e-06,2.7274407817047314e-06,1.8181408640997278e-06,0.0,3.3938381608719268e-06,0.0,1.536346363013769e-06
Cnidaria,0.0,0.0,0.0,0.0,0.0,1.817924187107625e-06,1.0101983564880899e-06,1.514829728594017e-06,1.5152448787248506e-06,1.0100782578331821e-06,0.0,1.373655081749553e-06,0.0,3.5413340972073265e-07
Crenarchaeota,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,7.071388495416629e-07,1.0098864857293446e-06,3.0304897574497013e-07,6.060469546999093e-07,0.0,6.464191989503524e-07,0.0,2.5345814642806784e-07
Cryptophyceae,0.0,0.0,0.0,0.0,0.0,2.0199157634529166e-06,1.4142776990833259e-06,1.110875134302279e-06,2.0203265049664675e-06,1.6161252125330915e-06,0.0,1.6363040628676159e-06,0.0,3.938304279924696e-07
Cyanobacteria,0.0,0.0,0.0,0.0,0.0,4.464013837230946e-05,4.1216092944714066e-05,4.140534591490313e-05,4.384108515777235e-05,4.010010683597733e-05,0.0,4.224055384513527e-05,0.0,1.91365567749355e-06
DH147-EKD10,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,0.0,2.0203265049664675e-07,3.0302347734995466e-07,0.0,1.616086984729078e-07,0.0,1.5317874007099362e-07
Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Deinococcus-Thermus,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,3.0305950694642694e-07,3.0296594571880336e-07,4.040653009932935e-07,5.050391289165911e-07,0.0,3.434242917840813e-07,0.0,1.1518039568107605e-07
