Phylum,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinobacteria,0.0270284,0.0270513,0.0271151,0.0270972,0.027022,0.023439828114335936,0.023534901915599756,0.023403817675003977,0.02314465249713276,0.023427622728895817,0.027062799999999998,0.02339016458619365,4.152980857167445e-05,0.00014601461032628908
Ascomycota,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.13189379999445716,0.13209941033131795,0.13187628385997238,0.13224488794058561,0.1320161141131756,0.08073484,0.13202609924790173,4.0195746043578434e-05,0.00015271742929008872
Bacteroidetes,0.1053432,0.1053397,0.1053515,0.1053804,0.1052733,0.06152270483267047,0.06156946053601396,0.061407652067483796,0.06171958161954464,0.06338397369628097,0.10533761999999999,0.06192067455039877,3.9355139435656514e-05,0.0008256218876223499
Firmicutes,0.7519041,0.7520206,0.7519454,0.7519273,0.7519743,0.668789458560982,0.6682333908650399,0.6688166999964218,0.6684836829821484,0.6675258879288744,0.75195434,0.6683698240666932,4.506642874693503e-05,0.0005290551202914654
Proteobacteria,0.0346202,0.0345871,0.0345009,0.0345213,0.0346568,0.05595019443746369,0.05659558166007162,0.056686442745700574,0.05662952693279875,0.05639678797011906,0.03457726,0.05645170674923074,6.563088449807777e-05,0.000300812095354128
Verrucomicrobia,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,8.973201782674671e-05,9.749716632781309e-05,9.579265290574652e-05,0.00010064218374033221,0.00010655838798068274,0.00033314,9.804448175626426e-05,2.5451915448547312e-06,6.1988305091766575e-06
Acetothermia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.561554900273644e-06,0.0,0.0,0.0,9.123109800547289e-07,0.0,2.039989368021829e-06
Acidobacteria,0.0,0.0,0.0,0.0,0.0,0.0003954292311009177,0.00039760563143061275,0.00039989631292398946,0.00037512086666851094,0.00040644413701203274,0.0,0.0003948992358272127,0.0,1.1800899135325748e-05
Actinobacteriota,0.0,0.0,0.0,0.0,0.0,0.01330771450820396,0.012968646514823013,0.01310686774678627,0.012930995729060866,0.01293162151279857,0.0,0.013049169202334537,0.0,0.00016158676425054715
Amoebozoa,0.0,0.0,0.0,0.0,0.0,7.539744313464802e-07,7.124712601041818e-07,6.542365598830771e-07,5.705338729156696e-07,7.119425219360769e-07,0.0,6.806317292370971e-07,0.0,7.10484277619521e-08
Archaeplastida,0.0,0.0,0.0,0.0,0.0,0.00017477980874571427,0.0001751966828596183,0.00017527850791302263,0.00017573869620484913,0.0001765047900383922,0.0,0.0001754996971523193,0.0,6.569463288333707e-07
Arthropoda,0.0,0.0,0.0,0.0,0.0,2.660249408713053e-06,2.807136764810476e-06,2.88717438383184e-06,2.9382494455156984e-06,2.8050535364281434e-06,0.0,2.819572707859842e-06,0.0,1.0536072243068964e-07
Atribacteria,0.0,0.0,0.0,0.0,0.0,1.825057989696543e-05,1.980411191033703e-05,2.4328292801459434e-05,1.8298578861878583e-05,2.131167759613655e-05,0.0,2.039864821335541e-05,0.0,2.5324736637887518e-06
Bacteroidota,0.0,0.0,0.0,0.0,0.0,0.040303363939131996,0.04014750502192478,0.03975699199248499,0.039993068984207465,0.03958187434676732,0.0,0.039956560856903314,0.0,0.00029081033676669164
Basidiomycota,0.0,0.0,0.0,0.0,0.0,0.0004535511852865752,0.0004452802881399115,0.00044573421275512253,0.0004457581149090127,0.00044049307717228947,0.0,0.00044616337565258225,0.0,4.686690641102721e-06
Bathyarchaeota,0.0,0.0,0.0,0.0,0.0,0.00014296287585956253,0.0001690966478498008,0.00015357234830921268,0.00015096327561049832,0.00013243685363313425,0.0,0.00014980640025244173,0.0,1.3566220490652707e-05
Caldiserica,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,3.046786447744159e-06,3.0410366001824293e-06,0.0,3.0445253708766496e-06,0.0,2.434822346992829e-06,0.0,1.3611089927134817e-06
Candidate division YNPFFA,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,0.0,3.0410366001824293e-06,0.0,0.0,0.0,1.216559983268667e-06,0.0,1.6658433833000328e-06
