Species,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Actinomyces_oris,2967.0,3023.0,2925.0,2980.0,2966.0,0.0,0.0,0.0,0.0,0.0
Actinomyces_sp_oral_taxon_448,279.0,305.0,338.0,295.0,289.0,0.0,0.0,0.0,0.0,0.0
Adlercreutzia_equolifaciens,92969.0,92459.0,92663.0,92584.0,92576.0,0.0,0.0,0.0,0.0,0.0
Agathobaculum_butyriciproducens,47831.0,47732.0,47555.0,47929.0,47553.0,0.0,0.0,0.0,0.0,0.0
Akkermansia_sp_KLE1605,3356.0,3358.0,3324.0,3321.0,3298.0,0.0,0.0,0.0,0.0,0.0
Alistipes_finegoldii,1505.0,1544.0,1469.0,1548.0,1476.0,0.0,0.0,0.0,0.0,0.0
Alistipes_shahii,1426.0,1472.0,1455.0,1425.0,1486.0,0.0,0.0,0.0,0.0,0.0
Anaerofustis_stercorihominis,19799.0,19694.0,19833.0,19837.0,19857.0,0.0,0.0,0.0,0.0,0.0
Anaeromassilibacillus_sp_An250,4268.0,4383.0,4219.0,4264.0,4276.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes_caccae,5455.0,5442.0,5467.0,5466.0,5482.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes_hadrus,103123.0,103272.0,103357.0,103278.0,102985.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_fragilis,106147.0,105808.0,105671.0,105854.0,106007.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_intestinalis,269217.0,269087.0,269716.0,269202.0,268790.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_thetaiotaomicron,209286.0,208936.0,209756.0,209501.0,209968.0,0.0,0.0,0.0,0.0,0.0
Bilophila_wadsworthia,1445.0,1430.0,1457.0,1382.0,1468.0,0.0,0.0,0.0,0.0,0.0
Bittarella_massiliensis,1301.0,1301.0,1264.0,1299.0,1330.0,0.0,0.0,0.0,0.0,0.0
Blautia_caecimuris,67022.0,66906.0,66744.0,67103.0,67193.0,0.0,0.0,0.0,0.0,0.0
Blautia_hydrogenotrophica,40540.0,40642.0,40966.0,40873.0,40569.0,0.0,0.0,0.0,0.0,0.0
Blautia_producta,43161.0,43022.0,43223.0,42734.0,43309.0,0.0,0.0,0.0,0.0,0.0
Blautia_wexlerae,2442497.0,2442564.0,2444249.0,2441032.0,2442449.0,0.0,0.0,0.0,0.0,0.0
Candida_albicans,807685.0,806655.0,807547.0,807417.0,807438.0,0.0,0.0,0.0,0.0,0.0
Catabacter_hongkongensis,1513.0,1502.0,1500.0,1522.0,1480.0,0.0,0.0,0.0,0.0,0.0
Clostridia_bacterium,42086.0,42283.0,42166.0,41977.0,42094.0,0.0,0.0,0.0,0.0,0.0
Clostridia_bacterium_UC5_1_1D1,3733.0,3661.0,3692.0,3606.0,3752.0,0.0,0.0,0.0,0.0,0.0
Clostridia_unclassified_SGB4121,2029.0,1977.0,2040.0,1946.0,2064.0,0.0,0.0,0.0,0.0,0.0
Clostridiaceae_bacterium,181763.0,181303.0,180967.0,181539.0,181787.0,0.0,0.0,0.0,0.0,0.0
Clostridiales_bacterium,5413.0,5389.0,5392.0,5511.0,5444.0,0.0,0.0,0.0,0.0,0.0
Clostridiales_bacterium_1_7_47FAA,5798.0,5811.0,6010.0,5857.0,5873.0,0.0,0.0,0.0,0.0,0.0
Clostridium_innocuum,19724.0,19776.0,19936.0,19703.0,19910.0,0.0,0.0,0.0,0.0,0.0
Clostridium_leptum,975.0,1033.0,1027.0,1018.0,1030.0,0.0,0.0,0.0,0.0,0.0
Clostridium_massiliamazoniense,5855.0,5770.0,5849.0,5775.0,5696.0,0.0,0.0,0.0,0.0,0.0
Clostridium_phoceensis,1455.0,1445.0,1477.0,1449.0,1418.0,0.0,0.0,0.0,0.0,0.0
Clostridium_scindens,23724.0,23669.0,23633.0,23775.0,23742.0,0.0,0.0,0.0,0.0,0.0
Clostridium_sp_AT4,44646.0,44611.0,44823.0,44520.0,44406.0,0.0,0.0,0.0,0.0,0.0
