Species,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Actinomyces_oris,0.0002967,0.0003023,0.0002925,0.000298,0.0002966,0.0,0.0,0.0,0.0,0.0,0.00029722,0.0,3.512406582387624e-06,0.0
Actinomyces_sp_oral_taxon_448,2.79e-05,3.05e-05,3.38e-05,2.95e-05,2.89e-05,0.0,0.0,0.0,0.0,0.0,3.012e-05,0.0,2.2631835983852486e-06,0.0
Adlercreutzia_equolifaciens,0.0092969,0.0092459,0.0092663,0.0092584,0.0092576,0.0,0.0,0.0,0.0,0.0,0.009265019999999999,0.0,1.9251155809457532e-05,0.0
Agathobaculum_butyriciproducens,0.0047831,0.0047732,0.0047555,0.0047929,0.0047553,0.0,0.0,0.0,0.0,0.0,0.004772,0.0,1.6677829595004376e-05,0.0
Akkermansia_sp_KLE1605,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,0.0,0.0,0.0,0.0,0.0,0.00033314,0.0,2.5451915448547312e-06,0.0
Alistipes_finegoldii,0.0001505,0.0001544,0.0001469,0.0001548,0.0001476,0.0,0.0,0.0,0.0,0.0,0.00015084,0.0,3.6909348409312258e-06,0.0
Alistipes_shahii,0.0001426,0.0001472,0.0001455,0.0001425,0.0001486,0.0,0.0,0.0,0.0,0.0,0.00014528000000000002,0.0,2.7234169713798925e-06,0.0
Anaerofustis_stercorihominis,0.0019799,0.0019694,0.0019833,0.0019837,0.0019857,0.0,0.0,0.0,0.0,0.0,0.0019803999999999998,0.0,6.493073232299143e-06,0.0
Anaeromassilibacillus_sp_An250,0.0004268,0.0004383,0.0004219,0.0004264,0.0004276,0.0,0.0,0.0,0.0,0.0,0.00042819999999999995,0.0,6.0675365676689435e-06,0.0
Anaerostipes_caccae,0.0005455,0.0005442,0.0005467,0.0005466,0.0005482,0.0,0.0,0.0,0.0,0.0,0.00054624,0.0,1.490972836774698e-06,0.0
Anaerostipes_hadrus,0.0103123,0.0103272,0.0103357,0.0103278,0.0102985,0.0,0.0,0.0,0.0,0.0,0.010320300000000001,0.0,1.4834587961921741e-05,0.0
Bacteroides_fragilis,0.0106147,0.0105808,0.0105671,0.0105854,0.0106007,0.0,0.0,0.0,0.0,0.0,0.01058974,0.0,1.8401440161030835e-05,0.0
Bacteroides_intestinalis,0.0269217,0.0269087,0.0269716,0.0269202,0.026879,0.0,0.0,0.0,0.0,0.0,0.026920239999999995,0.0,3.344357935389021e-05,0.0
Bacteroides_thetaiotaomicron,0.0209286,0.0208936,0.0209756,0.0209501,0.0209968,0.0,0.0,0.0,0.0,0.0,0.02094894,0.0,4.024584450598665e-05,0.0
Bilophila_wadsworthia,0.0001445,0.000143,0.0001457,0.0001382,0.0001468,0.0,0.0,0.0,0.0,0.0,0.00014364,0.0,3.353058305487689e-06,0.0
Bittarella_massiliensis,0.0001301,0.0001301,0.0001264,0.0001299,0.000133,0.0,0.0,0.0,0.0,0.0,0.0001299,0.0,2.3420076857260724e-06,0.0
