sample,read_depth,method
1K_1-kaiju,1000,Kaiju
1K_2-kaiju,1000,Kaiju
1K_3-kaiju,1000,Kaiju
1K_4-kaiju,1000,Kaiju
1K_5-kaiju,1000,Kaiju
10K_1-kaiju,10000,Kaiju
10K_2-kaiju,10000,Kaiju
10K_3-kaiju,10000,Kaiju
10K_4-kaiju,10000,Kaiju
10K_5-kaiju,10000,Kaiju
100K_1-kaiju,100000,Kaiju
100K_2-kaiju,100000,Kaiju
100K_3-kaiju,100000,Kaiju
100K_4-kaiju,100000,Kaiju
100K_5-kaiju,100000,Kaiju
1M_1-kaiju,1000000,Kaiju
1M_2-kaiju,1000000,Kaiju
1M_3-kaiju,1000000,Kaiju
1M_4-kaiju,1000000,Kaiju
1M_5-kaiju,1000000,Kaiju
10M_1-kaiju,10000000,Kaiju
10M_3-kaiju,10000000,Kaiju
10M_4-kaiju,10000000,Kaiju
10M_5-kaiju,10000000,Kaiju
1000_1_nr_rpm,1000,CZID_nr
1000_2_nr_rpm,1000,CZID_nr
1000_3_nr_rpm,1000,CZID_nr
1000_4_nr_rpm,1000,CZID_nr
1000_5_nr_rpm,1000,CZID_nr
10000_1_nr_rpm,10000,CZID_nr
10000_2_nr_rpm,10000,CZID_nr
10000_3_nr_rpm,10000,CZID_nr
10000_4_nr_rpm,10000,CZID_nr
10000_5_nr_rpm,10000,CZID_nr
100000_1_nr_rpm,100000,CZID_nr
100000_2_nr_rpm,100000,CZID_nr
100000_3_nr_rpm,100000,CZID_nr
100000_4_nr_rpm,100000,CZID_nr
100000_5_nr_rpm,100000,CZID_nr
1000000_1_nr_rpm,1000000,CZID_nr
1000000_2_nr_rpm,1000000,CZID_nr
1000000_3_nr_rpm,1000000,CZID_nr
1000000_4_nr_rpm,1000000,CZID_nr
1000000_5_nr_rpm,1000000,CZID_nr
10000000_1_nr_rpm,10000000,CZID_nr
10000000_2_nr_rpm,10000000,CZID_nr
10000000_3_nr_rpm,10000000,CZID_nr
10000000_4_nr_rpm,10000000,CZID_nr
10000000_5_nr_rpm,10000000,CZID_nr
1000_1_nt_rpm,1000,CZID_nt
1000_2_nt_rpm,1000,CZID_nt
1000_3_nt_rpm,1000,CZID_nt
1000_4_nt_rpm,1000,CZID_nt
1000_5_nt_rpm,1000,CZID_nt
10000_1_nt_rpm,10000,CZID_nt
10000_2_nt_rpm,10000,CZID_nt
10000_3_nt_rpm,10000,CZID_nt
10000_4_nt_rpm,10000,CZID_nt
10000_5_nt_rpm,10000,CZID_nt
100000_1_nt_rpm,100000,CZID_nt
100000_2_nt_rpm,100000,CZID_nt
100000_3_nt_rpm,100000,CZID_nt
100000_4_nt_rpm,100000,CZID_nt
100000_5_nt_rpm,100000,CZID_nt
1000000_1_nt_rpm,1000000,CZID_nt
1000000_2_nt_rpm,1000000,CZID_nt
1000000_3_nt_rpm,1000000,CZID_nt
1000000_4_nt_rpm,1000000,CZID_nt
1000000_5_nt_rpm,1000000,CZID_nt
10000000_1_nt_rpm,10000000,CZID_nt
10000000_2_nt_rpm,10000000,CZID_nt
10000000_3_nt_rpm,10000000,CZID_nt
10000000_4_nt_rpm,10000000,CZID_nt
10000000_5_nt_rpm,10000000,CZID_nt
ocean_combined_1000_1,1000,PAMA-seq
ocean_combined_1000_2,1000,PAMA-seq
ocean_combined_1000_3,1000,PAMA-seq
ocean_combined_1000_4,1000,PAMA-seq
ocean_combined_1000_5,1000,PAMA-seq
ocean_combined_10000_1,10000,PAMA-seq
ocean_combined_10000_2,10000,PAMA-seq
ocean_combined_10000_3,10000,PAMA-seq
ocean_combined_10000_4,10000,PAMA-seq
ocean_combined_10000_5,10000,PAMA-seq
ocean_combined_100000_1,100000,PAMA-seq
ocean_combined_100000_2,100000,PAMA-seq
ocean_combined_100000_3,100000,PAMA-seq
ocean_combined_100000_4,100000,PAMA-seq
ocean_combined_100000_5,100000,PAMA-seq
ocean_combined_1000000_1,1000000,PAMA-seq
ocean_combined_1000000_2,1000000,PAMA-seq
ocean_combined_1000000_3,1000000,PAMA-seq
ocean_combined_1000000_4,1000000,PAMA-seq
ocean_combined_1000000_5,1000000,PAMA-seq
ocean_combined_10000000_1,10000000,PAMA-seq
ocean_combined_10000000_2,10000000,PAMA-seq
ocean_combined_10000000_3,10000000,PAMA-seq
ocean_combined_10000000_4,10000000,PAMA-seq
ocean_combined_10000000_5,10000000,PAMA-seq
