,1K,10K,100K,1M,10M
Gammaproteobacteria,0.1426,0.14094,0.143216,0.14294679999999998,0.14278805
Alphaproteobacteria,0.07060000000000001,0.07482,0.07350999999999999,0.07372399999999998,0.07380305000000001
Flavobacteriia,0.05059999999999999,0.059300000000000005,0.060087999999999996,0.059959200000000004,0.0600895
Betaproteobacteria,0.010199999999999999,0.00998,0.010450000000000001,0.010417599999999999,0.010416225000000001
Deltaproteobacteria,0.0073999999999999995,0.009260000000000001,0.008887999999999998,0.0088382,0.008839475
Coscinodiscophyceae,0.0073999999999999995,0.00686,0.006902,0.0066954,0.0066791
Saprospiria,0.0026000000000000003,0.00236,0.002842,0.002856,0.0028216499999999998
Actinomycetia,0.0054,0.00488,0.005312,0.0051278,0.005054325
Bacillariophyceae,0.008,0.008839999999999999,0.008344,0.008381000000000001,0.008392775
Planctomycetia,0.004,0.0031200000000000004,0.0033979999999999995,0.003408,0.0033928
Trebouxiophyceae,0.002,0.00054,0.0005399999999999999,0.0005181999999999999,0.000519575
Verrucomicrobiae,0.0032,0.0030999999999999995,0.0029760000000000003,0.0030126,0.0030207
Gemmatimonadetes,0.002,0.00021999999999999998,0.00015600000000000002,0.0001594,0.000156225
Anaerolineae,0.0013333333333333333,0.00038,0.00031199999999999994,0.0003296,0.0003263
Cytophagia,0.0058000000000000005,0.00616,0.006681999999999999,0.0065692,0.006574275
Dinophyceae,0.0012000000000000001,0.0003,0.00041999999999999996,0.0004032,0.00040587500000000004
Pedinophyceae,0.001,,2.4000000000000004e-05,1.7999999999999997e-05,1.6525e-05
Pelagophyceae,0.001,,3.0000000000000004e-05,5.120000000000001e-05,4.805e-05
Sphingobacteriia,0.001,0.00098,0.0008500000000000001,0.0008378,0.0008609500000000001
Ktedonobacteria,0.001,0.0001,1.6000000000000003e-05,1.5199999999999998e-05,1.7025e-05
Mamiellophyceae,0.002,0.00206,0.002086,0.0021134,0.0020927
Nitrospinia,0.001,0.0001,7.200000000000002e-05,6.88e-05,6.615000000000001e-05
Rhodothermia,0.0015,0.0006399999999999999,0.0006079999999999999,0.0006460000000000001,0.0006382499999999999
Viruses,0.0016666666666666668,0.0012200000000000002,0.001052,0.0010446000000000001,0.001043425
Bacteroidia,0.0016666666666666668,0.00142,0.001128,0.0011244,0.001136575
Spirotrichea,0.001,0.00019999999999999998,0.00016800000000000002,0.0001856,0.000177575
Bacilli,0.00175,0.0009000000000000001,0.000802,0.0007494,0.00074155
Atractiellomycetes,0.001,,1.5000000000000002e-05,1.8000000000000001e-06,3.1500000000000003e-06
Mediophyceae,0.001,0.00038,0.000278,0.00025739999999999997,0.000257775
Acidithiobacillia,0.001,0.0001,5.9999999999999995e-05,6.200000000000002e-05,6.214999999999999e-05
Bangiophyceae,0.002,0.0001,2.25e-05,2.08e-05,2.5e-05
Epsilonproteobacteria,0.001,0.00036,0.00037600000000000003,0.0003616,0.00035872500000000006
Acidimicrobiia,0.001,0.0015400000000000001,0.001274,0.0013246,0.0013442749999999998
Agaricomycetes,0.001,0.00023333333333333336,7.800000000000001e-05,0.0001056,0.00010094999999999999
Glomeromycetes,0.001,0.00019999999999999998,9.6e-05,8.36e-05,8.907500000000001e-05
Oligoflexia,0.001,0.000275,0.00026199999999999997,0.0002612,0.00026595
Chitinophagia,0.002,0.00046,0.000466,0.000495,0.000496625
Chlorobia,0.001,0.0001,3.4e-05,3.22e-05,3.8575e-05
Nitrospira,0.001,0.00032,0.000234,0.00022759999999999998,0.000233
Holophagae,0.001,0.0001,3.4e-05,4.64e-05,5.1424999999999996e-05
Elardia,0.001,,,1e-06,4.5e-07
Opitutae,0.003,0.00122,0.001234,0.001261,0.0012578250000000002
Chrysophyceae,0.001,,1e-05,1.04e-05,9.649999999999999e-06
Fragilariophyceae,0.001,0.00030000000000000003,0.00024200000000000003,0.0002674,0.000279025
Deferribacteres,0.001,0.0001,1.666666666666667e-05,1.1799999999999999e-05,1.3274999999999999e-05
Leotiomycetes,0.001,0.00013333333333333334,2.8000000000000003e-05,3.82e-05,3.735e-05
Sordariomycetes,0.001,0.00013333333333333334,0.00011,0.00011,0.000102025
Clostridia,0.001,0.00072,0.00048199999999999995,0.0004906,0.0004962
Thermoflexia,0.001,0.0001,1.5000000000000002e-05,7.399999999999999e-06,8.125000000000001e-06
Balneolia,0.001,0.0001,0.000116,0.00012240000000000002,0.0001115
Hydrogenophilalia,0.001,0.0001,3.4e-05,3.1e-05,3.52e-05
Chlorophyceae,,0.00022500000000000002,0.00013800000000000002,0.00018639999999999998,0.000176675
Phycisphaerae,,0.00034,0.000394,0.0003454,0.00035722499999999997
Cryptophyceae,,0.0002,0.00019600000000000005,0.0002048,0.0002174
Euglenida,,0.000125,6.6e-05,7.12e-05,6.62e-05
Eustigmatophyceae,,0.000125,5.599999999999999e-05,5.44e-05,5.5075e-05
Choanoflagellata,,0.00015000000000000001,2.8000000000000003e-05,4.08e-05,4.3675e-05
Erysipelotrichia,,0.0002,1.4000000000000001e-05,2.54e-05,1.9475e-05
Florideophyceae,,0.000125,4.4e-05,4.880000000000001e-05,4.73e-05
Phaeophyceae,,0.00019999999999999998,5.4e-05,4.84e-05,5.0475e-05
Oligohymenophorea,,0.0001,9.600000000000002e-05,0.00011219999999999999,0.000105625
Chloroflexia,,0.0001,1.4000000000000001e-05,3.42e-05,3.4974999999999996e-05
Ulvophyceae,,0.0001,3.0000000000000004e-05,2.72e-05,2.7524999999999998e-05
Rubrobacteria,,0.00013333333333333334,7.6e-05,8.22e-05,7.89e-05
Eumycetozoa,,0.0001,3.7999999999999995e-05,3.2000000000000005e-05,2.995e-05
Dothideomycetes,,0.0001,8e-05,0.00010939999999999999,9.9425e-05
Eurotiomycetes,,0.0001,6.6e-05,6.440000000000001e-05,6.025e-05
Taphrinomycetes,,0.0001,1e-05,3.7999999999999996e-06,3.05e-06
Thermotogae,,0.0001,1.3333333333333335e-05,1.4199999999999998e-05,1.1899999999999998e-05
Deinococci,,0.0001,8.999999999999999e-05,7.24e-05,7.372499999999999e-05
Fibrobacteria,,0.0001,1e-05,7.2000000000000005e-06,7.125e-06
Acidobacteriia,,0.0001,8.8e-05,8.840000000000001e-05,8.777499999999999e-05
