,1K,10K,100K,1M,10M
Gammaproteobacteria,0.004335896677735754,0.0029577018105279023,0.0019522115664036012,0.00025439084103009567,0.00010630755695935748
Alphaproteobacteria,0.00626897120746299,0.0030474579570520712,0.0007416198487095686,0.00021403153973188066,4.665036620077631e-05
Flavobacteriia,0.007162401831787993,0.0017564168070250284,0.001377940492183899,0.0001956251517571289,4.687664663774533e-05
Betaproteobacteria,0.0028635642126552704,0.000576194411635518,0.00012186057606953943,0.0001589726391552959,2.992951441860256e-05
Deltaproteobacteria,0.0019493588689617927,0.0010454664030948102,0.00021924871721403565,0.0001414415073449089,1.6493104619809926e-05
Coscinodiscophyceae,0.0011401754250991375,0.00040373258476372693,0.00027689348132449795,0.00012679629332121647,6.228429443553974e-06
Saprospiria,0.0020736441353327723,0.00030495901363953817,0.00024783058729704855,5.198076567346805e-05,1.1193599361539826e-05
Actinomycetia,0.0011401754250991382,0.0005805170109479998,0.00019766132651583606,4.591513911554645e-05,7.931529907064984e-06
Bacillariophyceae,0.00324037034920393,0.0009939818911831341,0.0001161034021896,8.967441106581066e-05,4.0647878173406536e-06
Planctomycetia,0.0018708286933869708,0.0005540758070878026,5.449770637375476e-05,5.5285622000661334e-05,1.2815875571597398e-05
Trebouxiophyceae,,0.00026076809620810597,7.382411530116699e-05,1.0084641788382987e-05,6.1846584384264e-07
Verrucomicrobiae,0.002280350850198276,0.00045276925690687083,0.00026082561223928917,5.988154974614466e-05,5.082650227325633e-06
Gemmatimonadetes,,8.366600265340754e-05,3.84707681233427e-05,1.5915401345866215e-05,2.4005207768315514e-06
Anaerolineae,0.0005773502691896258,0.000216794833886788,3.962322551231791e-05,1.3164345787011208e-05,2.068816086557721e-06
Cytophagia,0.0028635642126552704,0.001244186481199663,0.0001223519513534624,8.34787398084087e-05,1.1076213251829254e-05
Dinophyceae,0.00044721359549995795,,5.787918451395113e-05,1.8294808006644948e-05,4.964792711349254e-06
Pedinophyceae,,,1.5165750888103105e-05,6.2048368229954274e-06,1.1146748404803982e-06
Pelagophyceae,,,1e-05,5.449770637375486e-06,8.660254037844381e-07
Sphingobacteriia,,0.000396232255123179,7.745966692414834e-05,4.868264577855214e-06,8.157818335805208e-06
Ktedonobacteria,,,8.94427190999916e-06,4.764451699828639e-06,3.5939764421413007e-07
Mamiellophyceae,0.001414213562373095,0.0005128352561983234,0.0001605615146914104,2.3880954754783027e-05,1.0321821544669328e-05
Nitrospinia,,,1.9235384061671346e-05,7.463243262818115e-06,9.110433579144289e-07
Rhodothermia,0.0005773502691896257,0.00032093613071762424,5.167204273105527e-05,2.7955321496988705e-05,3.1712247896777626e-06
Viruses,0.0011547005383792516,0.00021679483388678802,4.919349550499537e-05,5.0475736745489906e-05,7.03674877577234e-06
Bacteroidia,0.0005773502691896258,0.00040249223594996216,9.497368056467013e-05,4.199166583978303e-05,2.24258035902102e-06
Spirotrichea,,9.999999999999999e-05,4.6043457732885354e-05,2.405826261391292e-05,2.1884164746836173e-06
Bacilli,0.0009574271077563381,0.00020000000000000004,9.497368056467014e-05,2.61591284258478e-05,1.1656900674421727e-05
Atractiellomycetes,,,7.0710678118654756e-06,1.0954451150103323e-06,2.3804761428476164e-07
Mediophyceae,,0.00014832396974191324,4.8166378315169196e-05,3.9115214431215955e-06,4.067247226319047e-06
Acidithiobacillia,,,9.999999999999996e-06,1.0535653752852739e-05,2.048576741707927e-06
Bangiophyceae,,,9.574271077563381e-06,5.167204273105525e-06,1.104536101718726e-06
Epsilonproteobacteria,,0.000151657508881031,7.162401831787993e-05,2.0622802913280242e-05,3.5387144558441095e-06
Acidimicrobiia,,0.0004219004621945797,0.00014791889669680473,3.8836838182323704e-05,5.142875330655672e-06
Agaricomycetes,,0.00015275252316519468,3.7013511046643486e-05,7.436396977031283e-06,1.943364779619784e-06
Glomeromycetes,,0.00014142135623730948,2.302172886644268e-05,8.142481194328914e-06,1.1954775893619547e-06
Oligoflexia,,9.57427107756338e-05,5.805170109479996e-05,1.1054410884348389e-05,3.112876483254671e-06
Chitinophagia,,0.00024083189157584592,0.00010853570840972107,2.310844001658267e-05,4.556588636249742e-06
Chlorobia,,,1.8165902124584954e-05,5.215361924162121e-06,1.5564382416273407e-06
Nitrospira,,0.00010954451150103323,3.209361307176241e-05,1.3957077057894312e-05,1.2355835328567013e-06
Holophagae,,,1.5165750888103101e-05,5.272570530585627e-06,1.3375973484822205e-06
Elardia,,,,,1e-07
Opitutae,,0.0003420526275297414,5.224940191045258e-05,3.038091506192662e-05,5.652359389375957e-06
Chrysophyceae,,,,3.91152144312159e-06,3.3166247903554027e-07
Fragilariophyceae,,0.00021213203435596425,4.207136793592525e-05,1.6501515081955356e-05,5.090759602783597e-06
Deferribacteres,,,5.773502691896259e-06,2.1679483388678795e-06,1.8929694486000972e-07
Leotiomycetes,,5.7735026918962585e-05,1.30384048104053e-05,8.167006795638166e-06,3.6968455021364617e-07
Sordariomycetes,,5.773502691896258e-05,4.183300132670378e-05,7.778174593052022e-06,2.696139215001085e-06
Clostridia,,0.000216794833886788,3.563705936241092e-05,1.3903237033151672e-05,2.1924111536540323e-06
Thermoflexia,,,7.0710678118654756e-06,1.6733200530681514e-06,6.9462219947249e-07
Balneolia,,,6.693280212272606e-05,1.1844830095868828e-05,1.9235384061671387e-06
Hydrogenophilalia,,,2.073644135332772e-05,3.807886552931953e-06,7.118052168020882e-07
Chlorophyceae,,0.0001892969448600091,3.1144823004794874e-05,7.162401831787997e-06,3.599421249775216e-06
Phycisphaerae,,0.0001673320053068151,6.34822809924155e-05,8.988882021697676e-06,1.4430869689661916e-06
Cryptophyceae,,8.16496580927726e-05,2.1908902300206645e-05,7.66159252375118e-06,2.0083160441856197e-06
Euglenida,,5e-05,5.477225575051657e-06,5.449770637375485e-06,1.4399074044303418e-06
Eustigmatophyceae,,5e-05,2.60768096208106e-05,7.893034904268448e-06,5.560275772537421e-07
Choanoflagellata,,7.071067811865475e-05,1.6431676725154984e-05,2.949576240750525e-06,1.037223858833441e-06
Erysipelotrichia,,,8.944271909999158e-06,3.507135583350037e-06,1.0657548185832116e-06
Florideophyceae,,5e-05,2.408318915758459e-05,9.444575162494077e-06,9.486832980505145e-07
Phaeophyceae,,0.00014142135623730948,2.073644135332772e-05,8.111719916269301e-06,1.5903353943953646e-06
Oligohymenophorea,,,3.1304951684997054e-05,1.5626899884494045e-05,1.7114808402861733e-06
Chloroflexia,,,5.477225575051661e-06,5.167204273105523e-06,2.146896985573987e-06
Ulvophyceae,,,1.4142135623730951e-05,6.978538528947161e-06,7.804912982645405e-07
Rubrobacteria,,5.7735026918962585e-05,3.577708763999663e-05,1.3423859355639864e-05,1.7088007490635028e-06
Eumycetozoa,,,2.6832815729997476e-05,6.1237243569579445e-06,7.141428428542851e-07
Dothideomycetes,,,1.870828693386971e-05,9.044335243676014e-06,1.6459546368799721e-06
Eurotiomycetes,,,2.073644135332772e-05,1.2177848742696716e-05,1.558845726811986e-06
Taphrinomycetes,,,,8.366600265340757e-07,6.403124237432851e-07
Thermotogae,,,5.773502691896259e-06,1.6431676725154984e-06,4.242640687119282e-07
Deinococci,,,4.0620192023179815e-05,1.0691117808723277e-05,2.1746647251166453e-06
Fibrobacteria,,,,1.3038404810405298e-06,8.578072821638516e-07
Acidobacteriia,,,2.9495762407505246e-05,1.5192103211866357e-05,1.1146748404803995e-06
Dehalococcoidia,,,2.16794833886788e-05,4.147288270665545e-06,1.001249219725041e-06
Zetaproteobacteria,,,1.9235384061671346e-05,8.276472678623425e-06,1.4011899704655787e-06
Ignavibacteria,,5.773502691896258e-05,1.4832396974191325e-05,1.4791889669680479e-05,1.9882991056008967e-06
Kiritimatiellae,,,3.114482300479487e-05,1.2637246535539299e-05,2.2818121453499773e-06
Candidatus Thermofonsia,,,1.224744871391589e-05,3.507135583350036e-06,1.0843584893075422e-06
Candidatus Cryosericia,,,,5.47722557505166e-07,1.5000000000000002e-07
Spirochaetia,,0.0001892969448600091,2.8809720581775863e-05,8.167006795638166e-06,3.825680767305775e-06
Chlamydiia,,0.00011547005383792513,1.1401754250991379e-05,8.44393273303382e-06,5.59761854124892e-07
Fusobacteriia,,,1.6733200530681514e-05,1.5811388300841902e-06,4.500000000000008e-07
Caldilineae,,5.773502691896258e-05,3.0495901363953815e-05,3.0822070014844882e-06,7.041543391425871e-07
Xanthophyceae,,,3.03315017762062e-05,9.48683298050514e-06,1.3165611772087664e-06
Saccharomycetes,,,1.9235384061671346e-05,3.4641016151377517e-06,2.099206199177841e-06
Thermodesulfobacteria,,,1.1547005383792516e-05,1.516575088810311e-06,1.0344080432788592e-06
Stylonematophyceae,,,,1.0000000000000002e-06,2.0615528128088308e-07
Ardenticatenia,,,1e-05,4.690415759823429e-06,9.469248474227844e-07
Calditrichia,,,1.6431676725154984e-05,5.504543577809156e-06,8.301606270274853e-07
Mortierellomycetes,,7.071067811865475e-05,9.574271077563381e-06,6.0415229867972865e-06,1.0045728777279762e-06
Zoopagomycetes,,,,1.673320053068151e-06,5.1234753829798e-07
Candidatus Brocadiia,,,2.387467277262664e-05,6.503845016603639e-06,1.2714820748507084e-06
Thermoplasmata,,,8.164965809277262e-06,5.263078946776306e-06,8.205689083394115e-07
Thermoleophilia,,5.7735026918962585e-05,5.0299105359837175e-05,7.021395872616784e-06,1.439907404430347e-06
Kinetoplastea,,,8.94427190999916e-06,6.2289646009589755e-06,1.4479871085982308e-06
Mollicutes,,,1.732050807568877e-05,2.549509756796393e-06,1.1056672193747996e-06
Methanomicrobia,,,2.280350850198276e-05,7.092249290598857e-06,1.9207203509794615e-06
Negativicutes,,,1.8165902124584954e-05,6.363961030678927e-06,1.2093386622447829e-06
Lentisphaeria,,,2.1908902300206645e-05,5.06951674225463e-06,7.416198487095665e-07
Tissierellia,,,5.773502691896259e-06,5.431390245600108e-06,1.186029791643813e-06
Mucoromycetes,,,3.1622776601683795e-05,8.142481194328913e-06,1.3291601358251277e-06
Pyramimonadophyceae,,,,4.764451699828638e-06,3.872983346207414e-07
Chytridiomycetes,,,3.0331501776206206e-05,1.143678276439664e-05,1.4103781998693346e-06
Nitriliruptoria,,,2.0816659994661325e-05,6.308724118235003e-06,1.5000000000000007e-06
Ustilaginomycetes,,,7.0710678118654756e-06,1.9493588689617926e-06,1.8257418583505517e-07
Synurophyceae,,,,2.3021728866442675e-06,6.855654600401041e-07
Heterotrichea,,,9.574271077563381e-06,2.880972058177586e-06,5.033222956847172e-07
Exobasidiomycetes,,,,1.923538406167134e-06,5.19615242270663e-07
Armatimonadia,,,,2.6076809620810596e-06,3.3166247903554006e-07
Candidatus Lambdaproteobacteria,,,7.0710678118654756e-06,1.4142135623730952e-06,2.629955639676583e-07
Bigyra,,,1.1401754250991376e-05,7.797435475847172e-06,1.5033296378372918e-06
Dictyochophyceae,,,1.4142135623730951e-05,2.302172886644268e-06,1.1265729744080792e-06
Raphidophyceae,,,1.140175425099138e-05,3.834057902536164e-06,1.1604596790352805e-06
Halobacteria,,,1.9999999999999995e-05,7.000000000000001e-06,5.744562646538028e-07
Neocallimastigomycetes,,,8.94427190999916e-06,2.966479394838265e-06,5.715476066494085e-07
Synergistia,,,5.773502691896259e-06,3.646916505762094e-06,9.574271077563452e-08
Thermoanaerobaculia,,,1e-05,3.563705936241093e-06,7.852812659593167e-07
Fimbriimonadia,,,5.773502691896259e-06,1.4832396974191324e-06,5.686240703077329e-07
Vicinamibacteria,,,5e-06,8.366600265340761e-07,1.7078251276599337e-07
Candidatus Muproteobacteria,,,1.9235384061671346e-05,2.6076809620810596e-06,9.74679434480896e-07
Candidatus Ozemobacteria,,,,1.5e-06,8.164965809277259e-08
Aconoidasida,,,2.1602468994692865e-05,7.569676347110226e-06,1.2396235987858041e-06
Monoblepharidomycetes,,,1.4142135623730951e-05,3.209361307176243e-06,3.3166247903554e-07
Spartobacteria,,,1.3038404810405297e-05,3.898717737923584e-06,1.8661457606521529e-06
Chloropicophyceae,,,9.574271077563381e-06,4.1593268686170844e-06,7.499999999999997e-07
Tichowtungiia,,,1.1547005383792514e-05,4.06201920231798e-06,9.48683298050514e-07
Coriobacteriia,,,8.366600265340756e-06,4.415880433163923e-06,1.116542281629615e-06
Schizosaccharomycetes,,,7.0710678118654756e-06,1.4142135623730952e-06,3.0956959368344515e-07
Tremellomycetes,,,1.2247448713915892e-05,2.949576240750525e-06,4.4999999999999977e-07
Entomophthoromycetes,,,,2.588435821108957e-06,4.787135538781692e-07
Chlorodendrophyceae,,,5.773502691896259e-06,1.8165902124584949e-06,9.574271077563371e-08
Variosea,,,,2.302172886644268e-06,4.5734742446707485e-07
Glaucocystophyceae,,,5.773502691896259e-06,1.9235384061671345e-06,6.027713773341706e-07
Chrysiogenetes,,,5.773502691896259e-06,2.7748873851023218e-06,7.410578025138572e-07
Microbotryomycetes,,,,1.816590212458495e-06,5.944184833375671e-07
Aquificae,,,1.673320053068151e-05,5.540758070878027e-06,1.4863265679744364e-06
Centroplasthelida,,,,8.94427190999916e-07,1.707825127659933e-07
Candidatus Marinamargulisbacteria,,,7.0710678118654756e-06,2.607680962081059e-06,3.1091263510296045e-07
Nephroselmidophyceae,,,7.0710678118654756e-06,4.560701700396552e-06,4.932882862316242e-07
Conoidasida,,,1.9235384061671346e-05,7.694153624668538e-06,1.3375973484822203e-06
Basidiobolomycetes,,,,2.3874672772626647e-06,4.6188021535170056e-07
Malasseziomycetes,,,,1.4832396974191326e-06,2.872281323269015e-07
Chitinispirillia,,,,1.7320508075688778e-06,2.7537852736430503e-07
Theionarchaea,,,,5.773502691896258e-07,1.707825127659933e-07
Olpidiomycetes,,,,2.0000000000000003e-06,3.201562118716423e-07
Umbelopsidomycetes,,,5e-06,1.1401754250991378e-06,4.898979485566355e-07
Kickxellomycetes,,,,1.3038404810405298e-06,4.991659710623979e-07
Harpellomycetes,,,5e-06,2.7386127875258307e-06,6.238322424070963e-07
Candidatus Poseidoniia,,,4.47213595499958e-06,5.2725705305856265e-06,1.1090536506409415e-06
Thermodesulfovibrionia,,,,2.7748873851023218e-06,4.203173404306161e-07
Olisthodiscophyceae,,,,,2.4494897427831784e-07
Candidatus Uabimicrobiia,,,,1.3038404810405296e-06,4.349329450233299e-07
Phytomyxea,,,1.5275252316519466e-05,2.387467277262665e-06,1.047218538160334e-06
Pucciniomycetes,,,1.4142135623730953e-05,1.9235384061671345e-06,9.21502396451939e-07
Methanobacteria,,,,1.673320053068151e-06,4.242640687119288e-07
Endogonomycetes,,,,1.673320053068151e-06,2.3629078131263015e-07
Lecanoromycetes,,,7.0710678118654756e-06,1.6733200530681514e-06,2.6299556396765855e-07
Pezizomycetes,,,,2.7018512172212593e-06,7.593857166596343e-07
Endomicrobia,,,,1.5275252316519466e-06,2.380476142847617e-07
Nitrososphaeria,,,5.773502691896259e-06,2.6076809620810596e-06,4.78713553878169e-07
Tepidiformia,,,,1.7888543819998317e-06,2.986078811194821e-07
Mixiomycetes,,,7.0710678118654756e-06,1.224744871391589e-06,1.2583057392117922e-07
Colpodea,,,,,
Bolidophyceae,,,7.0710678118654756e-06,3.2863353450309967e-06,6.480740698407864e-07
Thermomicrobia,,,5.773502691896259e-06,3.6331804249169906e-06,4.924428900898054e-07
Chitinivibrionia,,,,1.3038404810405298e-06,2.2173557826083448e-07
Dacrymycetes,,,,1.0000000000000002e-06,
Chthonomonadetes,,,,5.773502691896258e-07,1.4999999999999994e-07
Blastocatellia,,,5.773502691896259e-06,4.277849927241488e-06,7.141428428542849e-07
Candidatus Sumerlaeia,,,,,1.2583057392117916e-07
Thermoprotei,,,,2.5495097567963924e-06,2.886751345948129e-07
Orbiliomycetes,,,,1.6733200530681511e-06,1.707825127659933e-07
Gloeobacteria,,,,2.0493901531919194e-06,3.774917217635374e-07
Blastocladiomycetes,,,,1.2247448713915888e-06,4.5734742446707496e-07
Nanohaloarchaea,,,,,8.164965809277259e-08
Candidatus Geothermincolia,,,,,1.2909944487358055e-07
Chlorarachniophyceae,,,,1.949358868961793e-06,2.1602468994692882e-07
Neolectomycetes,,,,9.57427107756338e-07,2e-07
Archaeoglobi,,,,5.773502691896257e-07,2.872281323269015e-07
Compsopogonophyceae,,,,1.095445115010332e-06,1.825741858350554e-07
Hadesarchaea,,,,5.773502691896257e-07,1.5e-07
Longimicrobia,,,,1.30384048104053e-06,3.464101615137754e-07
Methylacidiphilae,,,,1.6733200530681514e-06,3.7749172176353733e-07
Terrimicrobia,,,,5e-07,3.872983346207417e-07
Candidatus Mcinerneyibacteria,,,,1.414213562373095e-06,1.7078251276599329e-07
Candidatus Peribacteria,,,,1.0000000000000002e-06,1.7320508075688767e-07
Phyllopharyngea,,,,4.472135954999579e-07,2.160246899469287e-07
Pneumocystidomycetes,,,,1.7888543819998323e-06,4.425306015783918e-07
Picocystophyceae,,,,1.140175425099138e-06,2.217355782608345e-07
Litostomatea,,,,5.773502691896257e-07,5.773502691896257e-08
Nassophorea,,,,,
Polycystinea,,,,,5.773502691896258e-08
Methanococci,,,,1.0000000000000002e-06,3.0956959368344515e-07
Dictyoglomia,,,,,2.449489742783178e-07
Armophorea,,,,,1.4142135623730952e-07
Ascetosporea,,,,,7.071067811865474e-08
Coprothermobacteria,,,,,9.57427107756338e-08
Candidatus Limnocylindria,,,,,2.0816659994661328e-07
Atribacteria,,,,,1e-07
Candidatus Aquicultoria,,,,5e-07,5.000000000000005e-08
Flabellinia,,,,1.7320508075688771e-06,1.914854215512676e-07
Dimargaritomycetes,,,,1.414213562373095e-06,3.3665016461206924e-07
Thermococci,,,,,1.892969448600091e-07
Limnochordia,,,,5.773502691896259e-07,1.8257418583505539e-07
Abditibacteria,,,,8.164965809277261e-07,2.081665999466133e-07
Candidatus Termititenacia,,,,1.1547005383792516e-06,1e-07
Candidatus Methanofastidiosa,,,,5.773502691896257e-07,1.5000000000000002e-07
Wallemiomycetes,,,,5e-07,1.825741858350554e-07
Elusimicrobia,,,,,2.516611478423584e-07
Rhodellophyceae,,,,,1.892969448600091e-07
Palmophyllophyceae,,,,,8.164965809277259e-08
Candidatus Riflemargulisbacteria,,,,,1.707825127659933e-07
Candidatus Micrarchaeia,,,,,5e-08
Xylonomycetes,,,,7.071067811865475e-07,1.7320508075688772e-07
Arthoniomycetes,,,,,1e-07
Candidatus Babeliae,,,,,1.892969448600091e-07
Candidatus Methanoliparia,,,,,8.164965809277259e-08
Geoglossomycetes,,,,,1.5000000000000002e-07
Candidatus Nanoarchaeia,,,,,5.773502691896257e-08
Karyorelictea,,,,,
Candidatus Nanoperiomorbia,,,,,
Caldisericia,,,,,1.7320508075688772e-07
Candidatus Eremiobacteria,,,,,8.164965809277259e-08
Candidatus Nanohalobia,,,,,8.164965809277259e-08
Methanopyri,,,,,5.773502691896258e-08
Candidatus Fermentibacteria (class),,,,,5.773502691896257e-08
Echinamoebida,,,,,5.773502691896258e-08
Chrysomerophyceae,,,,,
Pinguiophyceae,,,,,5e-08
Thecofilosea,,,,,
Conexivisphaeria,,,,,
Methanonatronarchaeia,,,,,
Candidatus Humimicrobiia,,,,,
Candidatus Saccharimonia,,,,,
