class,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,1e-05,1.000010000100001e-05,2.0000160001280012e-05,8.000080000800008e-06,1.3000104000832007e-05,8.000048000288004e-06,1.0000080000640006e-05,6.1882083901290874e-06,8.250101063475055e-06,1.1006720370655686e-05,8.935956104973529e-06,1.031334156186722e-05
Acantharea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,0.0,6.875084219562546e-07,6.879200231659802e-07,0.0,0.0
Acidimicrobiia,0.007,0.001,0.008,0.0,0.002,0.0048000000000000004,0.0051,0.0048,0.0028,0.0057,0.00420004200042,0.0048,0.0039900000000000005,0.00396,0.004420044200442,0.004550036400290956,0.004423044230442301,0.0043650349202790885,0.004452026712159916,0.004283034264273756,0.004359936600200608,0.004477742352200683,0.004522386232292686,0.004440482802932608,0.004443675100956096
Acidithiobacillia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,2.000020000200002e-05,5e-05,5e-05,0.00013000000000000002,8.000080000800008e-05,6.300050400403203e-05,5.900059000590006e-05,4.700037600300802e-05,4.900029400176401e-05,5.400043200345602e-05,5.294356067110441e-05,7.975097694692554e-05,5.984904201544028e-05,5.155359291330882e-05,5.7067156642331966e-05
Aconoidasida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,2e-05,2e-05,3.0000000000000004e-05,4.000040000400004e-05,2.4000192001536012e-05,2.800028000280003e-05,2.1000168001344013e-05,1.9000114000684006e-05,2.5000200001600013e-05,1.7189467750358575e-05,2.1312761080643893e-05,1.3070480440153627e-05,2.268358088185588e-05,1.7876458707236518e-05
Actinomycetes,0.007,0.008,0.009000000000000001,0.01,0.01,0.0086,0.0098,0.0088,0.0087,0.0086,0.009540095400954003,0.01072,0.009300000000000001,0.00953,0.010160101601016004,0.009013072104576445,0.009315093150931503,0.009423075384602374,0.009161054966329053,0.009331074648596449,0.009261685223892624,0.009482116155619924,0.009259403511813494,0.00920197264440561,0.00922700291734995
Actinophryidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Agaricomycetes,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.0,0.0001,0.0006000000000000001,0.0008,0.00014000140001400014,0.00028000000000000003,0.00021,0.00026000000000000003,0.00026000260002600025,0.00024300194401555213,0.00023700237002370023,0.00025700205601644814,0.00029300175801054814,0.0002700021600172801,0.00021314940010444633,0.0002743158603605456,0.00021463104722778585,0.00021240080280283234,0.0002495828657971868
Agaricostilbomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphaproteobacteria,0.14200000000000002,0.131,0.14200000000000002,0.14400000000000002,0.14100000000000001,0.1365,0.1417,0.1361,0.1261,0.1281,0.13515135151351504,0.13444,0.13006,0.13484,0.13105131051310503,0.13512208097663955,0.13450534505345044,0.1354900839206632,0.1356888141328765,0.1346890775126119,0.1367188382779531,0.1368361762387885,0.13541017735998212,0.13531443377265037,0.13568025891960442
Anaerolineae,0.001,0.0,0.002,0.0,0.004,0.0014,0.0018,0.0014,0.0009,0.0011,0.0018700187001870002,0.00184,0.00164,0.00176,0.0016200162001620002,0.001785014280114088,0.0016820168201682002,0.0017390139121111281,0.001825010950065648,0.001748013984111716,0.001672191422754752,0.0017600215602078197,0.0016991624572198466,0.0016799597477348295,0.0017848956463069599
Andreaeopsida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthocerotopsida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Anthozoa,0.0,0.0,0.0,0.0,0.002,0.0004,0.0001,0.0006000000000000001,0.00030000000000000003,0.0004,0.0003100031000310002,0.00026000000000000003,0.00031,0.00034,0.0004100041000410004,0.0004200033600268802,0.00045700457004570037,0.0003820030560244482,0.0003530021180127081,0.0003340026720213762,0.0004097969111684683,0.0005314440101721087,0.0004134399339227542,0.00043579970542717057,0.0003630296229777262
Aphelidea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,4e-05,3.0000000000000004e-05,3.0000000000000004e-05,0.0,1.800014400115201e-05,1.8000180001800016e-05,2.600020800166401e-05,2.2000132000792003e-05,2.8000224001792016e-05,2.200251872045898e-05,1.4437676861081348e-05,2.132552071814539e-05,1.443500601572647e-05,2.4064463644356854e-05
Aquificia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000030000300003e-05,3.0000000000000004e-05,4e-05,3.0000000000000004e-05,3.000030000300003e-05,1.800014400115201e-05,2.000020000200002e-05,2.1000168001344013e-05,2.300013800082801e-05,2.7000216001728015e-05,2.5440412270530693e-05,2.7500336878250184e-05,2.270136076447735e-05,2.268358088185588e-05,1.9251570915485483e-05
Arachnida,0.0,0.0,0.001,0.001,0.0,0.00030000000000000003,0.0001,0.0,0.00030000000000000003,0.001,0.00037000370003700036,0.00043,0.00042,0.00038,0.00045000450004500047,0.0003950031600252802,0.00037400374003740037,0.00037800302402419216,0.0003450020700124201,0.0003810030480243842,0.000426986378918907,0.00032106643305357093,0.0004134399339227542,0.0003780596813642647,0.0003733429645395934
Archaeoglobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000056000448003e-06,4.000040000400004e-06,3.000024000192002e-06,5.000030000180002e-06,4.000032000256002e-06,2.750314840057372e-06,2.062525265868764e-06,4.127520138995882e-06,4.8116686719088236e-06,4.812892728871371e-06
Ardenticatenia,0.0,0.001,0.0,0.0,0.001,0.0005,0.00030000000000000003,0.0002,0.0,0.0002,0.00016000160001600016,0.00015000000000000001,0.00019999999999999998,0.00018,0.00013000130001300012,0.000155001240009916,0.00017900179001790003,0.00020600164801308802,0.00018400110400652802,0.00019600156801253204,0.0001932096175139913,0.0001780646812866066,0.00019055384641694854,0.00019384150935398528,0.0001808272553847054
Arfiviricetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,0.0,2e-05,3.0000300003000036e-05,1.900015200121601e-05,0.0,1.2000096000768006e-05,7.000042000252001e-06,6.000048000384003e-06,1.4439152910301203e-05,6.187575797606291e-06,6.879200231659803e-06,9.623337343817647e-06,6.188004937120334e-06
Armatimonadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,3.000030000300003e-05,2e-05,1e-05,2e-05,2.000020000200002e-05,1.1000088000704007e-05,7.000070000700007e-06,1.2000096000768008e-05,1.4000084000504003e-05,8.000064000512004e-06,1.3063995490272516e-05,1.3062660017168838e-05,1.4446320486485588e-05,9.623337343817647e-06,9.62578545774274e-06
Armophorea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,7.000056000448003e-06,3.437893550071715e-06,0.0,0.0,0.0,0.0
Arthoniomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1.0000080000640005e-06,3.0000300003000026e-06,6.000048000384003e-06,3.0000180001080015e-06,3.000024000192002e-06,2.062736130043029e-06,1.3750168439125092e-06,4.127520138995881e-06,9.623337343817647e-06,3.4377805206224074e-06
Ascetosporea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atractiellomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000024000192002e-06,1.000010000100001e-06,1.0000080000640005e-06,5.00003000018e-06,1.0000080000640005e-06,1.375157420028686e-06,1.3750168439125092e-06,2.063760069497941e-06,2.7495249553764707e-06,1.375112208248963e-06
Atribacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1e-05,1e-05,0.0,0.0,1.700013600108801e-05,1.3000130001300014e-05,1.700013600108801e-05,2.2000132000792003e-05,1.6000128001024008e-05,1.100125936022949e-05,9.625117907387565e-06,1.1694640393821666e-05,1.5809768493414705e-05,1.718890260311204e-05
