class,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriia,,,,,,,,,,,1.2959914982957723e-05,,,1.2621800373605294e-05,1.2491256120715508e-05,2.4600972230423852e-05,9.842931421836059e-06,1.5948435029143504e-05,9.850021115983288e-06,1.2294089370653906e-05,7.57006091375724e-06,1.0089307184091712e-05,1.346101102288615e-05,1.0935544219976622e-05,1.2595896760671926e-05
Acantharea,,,,,,,,,,,,,,,,,,2.453605389099001e-06,,,,8.407755986743093e-07,8.413131889303842e-07,,
Acidimicrobiia,0.008860759493670886,0.0012578616352201257,0.010126582278481013,,0.0025412960609911056,0.006237816764132554,0.006548536209553159,0.006201550387596898,0.0037243947858473002,0.0075646980756469825,0.005443164292842239,0.006000600060006,0.005237870195337115,0.004998232947947696,0.00552113520535625,0.005596721182421123,0.005441910709847606,0.0053549937617082335,0.0054815367510442576,0.005265558477450627,0.005333528472681212,0.005475971474165284,0.005530792904027773,0.005434124281618674,0.005427152050947655
Acidithiobacillia,,,,,,,,0.00012919896640826872,0.0002660281989890929,,2.5919829965915446e-05,6.25062506250625e-05,6.563747111951271e-05,0.00016408340485686882,9.993004896572407e-05,7.749306252583512e-05,7.259161923604093e-05,5.7659726643826515e-05,6.0331379335397616e-05,6.638808260153107e-05,6.476607670658971e-05,9.75299694462199e-05,7.319424743694343e-05,6.308967819217284e-05,6.969729540905134e-05
Aconoidasida,,,,,,,,,,,2.5919829965915446e-05,2.5002500250025007e-05,2.6254988447805085e-05,3.786540112081588e-05,4.9965024482862034e-05,2.9521166676508618e-05,3.445025997642621e-05,2.576285658553951e-05,2.3393800150460302e-05,3.073522342663476e-05,2.1027946982659e-05,2.606404355890359e-05,1.5984950589677304e-05,2.7759458404556043e-05,2.1832887718498008e-05
Actinomycetes,0.008860759493670886,0.010062893081761006,0.01139240506329114,0.012919896640826873,0.012706480304955527,0.011176088369070825,0.012583461736004109,0.01136950904392765,0.01157222665602554,0.011413404114134044,0.012363758893741658,0.013401340134013402,0.012208569628229365,0.012028575756045845,0.01269111621864695,0.011086428135640026,0.011460863274300353,0.01156016179073908,0.011279505430439441,0.011471614791756249,0.011329857834255963,0.011595977056915169,0.011324075523002238,0.01126108695944751,0.011269128968547095
Actinophryidae,,,,,,,,,,,,,,,,,,,,,,,8.413131889303842e-07,,
Agaricomycetes,,,,,,0.00038986354775828464,,0.00012919896640826872,0.0007980845969672787,0.0010617120106171205,0.00018143880976140812,0.0003500350035003501,0.00027567737870195337,0.00032816680971373764,0.0003247726591386032,0.00029890181259964975,0.00029159684337189324,0.0003152882924992216,0.0003607570233728879,0.0003319404130076554,0.0002607465425849716,0.0003354694638710494,0.0002624897149462799,0.00025992947415175204,0.00030482070160826066
Agaricostilbomycetes,,,,,,,,,,,,,,,,,,,,,,,,,
Alphaproteobacteria,0.179746835443038,0.16477987421383647,0.179746835443038,0.186046511627907,0.17916137229987295,0.1773879142300195,0.18194658448895737,0.17583979328165375,0.16773077946262305,0.17000663570006638,0.1751532509946735,0.1680668066806681,0.17073618987607647,0.17019235623769374,0.16369791146197663,0.1662053984373449,0.16548920599532954,0.16621827028180725,0.16706620814818227,0.1655866309154532,0.16724872023914505,0.16734124895533442,0.1656040881090453,0.1655935813402588,0.1657090986040375
