family,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,1.700013600108801e-05,8.000080000800008e-06,1.2000096000768006e-05,8.000048000288004e-06,1.0000080000640006e-05,6.1882083901290874e-06,6.875084219562546e-06,8.942960301157744e-06,8.248574866129412e-06,8.250673249493776e-06
Abyssicoccaceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,0.0,0.0
Acanthaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,3.000024000192002e-06,5.000050000500004e-06,1.0000080000640005e-06,2.000012000072001e-06,2.000016000128001e-06,1.375157420028686e-06,4.125050531737528e-06,6.879200231659802e-07,6.873812388441177e-07,4.125336624746889e-06
Acanthamoebidae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,3.0000300003000036e-05,0.0,2e-05,3e-05,1.000010000100001e-05,3.0000240001920018e-05,3.5000350003500036e-05,4.400035200281602e-05,3.7000222001332016e-05,3.600028800230402e-05,2.4752833560516343e-05,4.468804742715655e-05,4.815440162161863e-05,2.1996199643011765e-05,2.5439575852605812e-05
Acanthocerataceae,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000040000400004e-05,2e-05,2e-05,2e-05,5.0000500005000046e-05,1.6000128001024008e-05,3.1000310003100035e-05,2.800022400179201e-05,5.600033600201601e-05,1.0000080000640006e-05,2.337767614048766e-05,2.543781161238142e-05,1.1006720370655686e-05,2.130881840416765e-05,1.8564014811361e-05
Acanthocnemidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthoecidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375112208248963e-06
Acanthopleuribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,2e-05,1e-05,3e-05,5.0000500005000046e-05,1.7000136001088006e-05,2.800028000280003e-05,2.3000184001472008e-05,2.0000120000720005e-05,2.2000176001408014e-05,1.581431033032989e-05,2.6125320034337672e-05,2.2701360764477352e-05,2.6807868314920586e-05,2.4752019748481336e-05
Acaridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1e-05,0.0,0.0,0.0,2.000020000200002e-06,3.0000240001920015e-06,2.000012000072001e-06,3.000024000192002e-06,3.437893550071715e-06,4.125050531737528e-06,2.751680092663922e-06,6.186431149597059e-06,2.0626683123734445e-06
Acarosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,3.0000240001920015e-06,2.000020000200002e-06,4.000032000256002e-06,3.0000180001080015e-06,2.000016000128001e-06,1.0313680650215145e-05,4.125050531737528e-06,4.815440162161863e-06,5.499049910752941e-06,2.0626683123734445e-06
