family,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriaceae,,,,,,,,,,,,,,1.5259254737998596e-05,,2.522899018740831e-05,1.185880901981015e-05,1.7733902788657187e-05,1.1866513588642041e-05,1.4801416791616117e-05,9.136972352537428e-06,1.0136754961181874e-05,1.3186496621721786e-05,1.2135566412393538e-05,1.2112623170237564e-05
Abyssicoccaceae,,,,,,0.00015762925598991173,,,,,,,,,,,,,1.4833141985802551e-06,,,,,,
Acanthaceae,,,,,,,,,,,,,1.5993858358390378e-05,,,4.452174738954408e-06,7.4117556373813425e-06,1.477825232388099e-06,2.9666283971605103e-06,2.9602833583232234e-06,2.0304383005638725e-06,6.082052976709124e-06,1.0143458939785989e-06,1.0112972010327949e-06,6.056311585118783e-06
Acanthamoebidae,,,,,,0.00015762925598991173,0.00015723270440251572,,,,4.7600158667195605e-05,,3.1987716716780756e-05,4.577776421399579e-05,1.517911353976929e-05,4.452174738954408e-05,5.1882289461669405e-05,6.502431022507635e-05,5.488262534746944e-05,5.328510044981802e-05,3.6547889410149704e-05,6.588890724768219e-05,7.100421257850193e-05,3.2361510433049436e-05,3.7347254774899155e-05
Acanthocerataceae,,,0.0015290519877675841,,,,,,,,6.346687822292746e-05,3.038266972518876e-05,3.1987716716780756e-05,3.051850947599719e-05,7.589556769884645e-05,2.3744931941090174e-05,4.595288495176434e-05,4.137910650686676e-05,8.306559512049426e-05,1.4801416791616117e-05,3.451745110958583e-05,3.7505993356372935e-05,1.6229534303657585e-05,3.135021323201664e-05,2.725340213303452e-05
Acanthocnemidae,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthoecidae,,,,,,,,,,,,,,,,,,,,,,,,,2.0187705283729277e-06
Acanthopleuribacteraceae,,,,,,,,,0.0001620745542949757,,,3.038266972518876e-05,1.5993858358390378e-05,4.577776421399579e-05,7.589556769884645e-05,2.5228990187408304e-05,4.150583156933553e-05,3.398998034492627e-05,2.9666283971605095e-05,3.256311694155546e-05,2.335004045648454e-05,3.8519668852491115e-05,3.3473414501293765e-05,3.9440590840278994e-05,3.63378695107127e-05
Acaridae,,,,,,,,,,,1.5866719555731866e-05,,1.5993858358390378e-05,,,,2.9647022549525373e-06,4.433475697164297e-06,2.9666283971605103e-06,4.440425037484836e-06,5.076095751409682e-06,6.082052976709124e-06,4.057383575914396e-06,9.101674809295155e-06,3.0281557925593914e-06
Acarosporaceae,,,,,,,,,,,,,,,3.035822707953858e-05,4.452174738954408e-06,2.9647022549525373e-06,5.911300929552396e-06,4.449942595740765e-06,2.9602833583232234e-06,1.5228287254229045e-05,6.082052976709124e-06,7.100421257850194e-06,8.090377608262359e-06,3.0281557925593914e-06
