genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Aaosphaeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,1.0000080000640005e-06,0.0,0.0,2.062736130043029e-06,6.875084219562546e-07,0.0,0.0,6.875561041244814e-07
Abditibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.000072000576005e-06,4.000040000400004e-06,4.000032000256002e-06,2.000012000072001e-06,3.000024000192002e-06,2.750314840057372e-06,4.125050531737528e-06,1.3758400463319607e-06,2.062143716532353e-06,6.875561041244814e-07
Abelmoschus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,0.0,0.0,0.0
Abidjanvirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,6.875084219562546e-07,0.0,0.0,0.0
Abies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abiotrophia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,6.875084219562546e-07,0.0,0.0,0.0
Abortiporus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,0.0,2.000012000072001e-06,1.0000080000640005e-06,6.87578710014343e-07,0.0,0.0,0.0,0.0
Abrostola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1.0000080000640006e-05,0.0,0.0,6.87578710014343e-07,2.062525265868764e-06,1.3758400463319607e-06,6.186431149597058e-06,6.875561041244814e-07
Abscondita,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1.000010000100001e-05,0.0,2e-05,0.0,1.000010000100001e-05,2.200017600140801e-05,1.5000150001500016e-05,1.3000104000832009e-05,1.4000084000504005e-05,1.2000096000768006e-05,3.712925034077452e-05,1.1000134751300074e-05,8.255040277991764e-06,1.7184530971102942e-05,2.5439575852605812e-05
Absidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,6.000060000600006e-06,5.000040000320003e-06,6.000036000216002e-06,7.000056000448004e-06,7.563365810157773e-06,4.125050531737528e-06,8.942960301157746e-06,7.561193627285294e-06,3.437780520622407e-06
Abyssalbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,1e-05,4e-05,0.0,3.0000300003000036e-05,1.6000128001024008e-05,1.100011000110001e-05,1.5000120000960009e-05,1.2000072000432004e-05,1.4000112000896006e-05,1.2376416780258171e-05,1.3062660017168838e-05,1.4446320486485588e-05,1.2372862299194117e-05,1.7876458707236518e-05
Abyssibacter,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,5.000050000500006e-05,2e-05,2e-05,0.0,1.000010000100001e-05,2.300018400147201e-05,1.600016000160002e-05,1.4000112000896006e-05,1.3000078000468004e-05,1.2000096000768004e-05,1.7189467750358575e-05,1.1687643173256328e-05,1.3070480440153625e-05,1.3060243538038233e-05,1.5126234290738591e-05
Abyssibius,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.000120001200012,6e-05,1e-05,2e-05,5.0000500005000046e-05,6.900055200441604e-05,7.300073000730008e-05,7.000056000448004e-05,8.500051000306001e-05,5.300042400339203e-05,7.150818584149167e-05,7.562592641518801e-05,6.810408229343206e-05,6.530121769019117e-05,5.225426391346058e-05
Abyssicoccus,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,0.0,0.0
Abyssisolibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000032000256002e-06,2.000020000200002e-06,0.0,1.0000060000360005e-06,2.000016000128001e-06,0.0,2.062525265868764e-06,6.879200231659802e-07,1.3747624776882351e-06,6.875561041244814e-07
Acacia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,0.0,6.000048000384003e-06,0.0,1.0000080000640005e-06,0.0,3.000024000192002e-06,1.375157420028686e-06,6.187575797606292e-06,4.815440162161862e-06,4.811668671908823e-06,2.0626683123734445e-06
Acanthamoeba,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,3.0000300003000036e-05,0.0,2e-05,3e-05,1.000010000100001e-05,3.0000240001920018e-05,3.5000350003500036e-05,4.400035200281602e-05,3.7000222001332016e-05,3.600028800230402e-05,2.4752833560516343e-05,4.468804742715655e-05,4.815440162161863e-05,2.1996199643011765e-05,2.5439575852605812e-05
Acanthephyra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthoceras,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000040000400004e-05,2e-05,2e-05,2e-05,5.0000500005000046e-05,1.6000128001024008e-05,3.1000310003100035e-05,2.800022400179201e-05,5.600033600201601e-05,1.0000080000640006e-05,2.337767614048766e-05,2.543781161238142e-05,1.1006720370655686e-05,2.130881840416765e-05,1.8564014811361e-05
Acanthocheilonema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,0.0,1.000010000100001e-05,1.0000080000640005e-06,3.000030000300003e-06,0.0,2.000012000072001e-06,0.0,1.375157420028686e-06,6.875084219562546e-07,0.0,6.873812388441177e-07,6.875561041244814e-07
Acanthocnemus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthocyclops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,1.0000080000640005e-06,0.0,6.875084219562546e-07,0.0,6.873812388441177e-07,0.0
Acanthodendrilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthophora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthopleuribacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,1.000010000100001e-05,6.000048000384003e-06,1.3000130001300014e-05,1.2000096000768006e-05,1.1000066000396002e-05,9.000072000576005e-06,6.87578710014343e-06,1.4437676861081346e-05,8.942960301157746e-06,1.168548106035e-05,8.250673249493778e-06
Acanthoscelides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,3e-05,1e-05,1e-05,0.0,7.000056000448003e-06,5.000050000500004e-06,5.000040000320002e-06,3.000018000108001e-06,3.000024000192002e-06,2.750314840057372e-06,2.7500336878250184e-06,4.127520138995882e-06,6.186431149597058e-06,2.0626683123734445e-06
