genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Aaosphaeria,,,,,,,,,,,,,,,,,3.494560716245167e-06,1.7379244663269445e-06,,,3.576989939119856e-06,1.1875497286449574e-06,,,1.1847288451856302e-06
Abditibacterium,,,,,,,,,,,,,,,,1.570513435742537e-05,6.989121432490334e-06,6.951697865307778e-06,3.487382649574047e-06,5.223195864622031e-06,4.7693199188264745e-06,7.125298371869744e-06,2.3795274972250257e-06,3.565931094325034e-06,1.1847288451856302e-06
Abelmoschus,,,,,,,,,,,,,,,,,,,,,1.1923299797066186e-06,,,,
Abidjanvirus,,,,,,,,,,,,,,,,,,,,,1.1923299797066186e-06,1.1875497286449574e-06,,,
Abies,,,,,,,,,,,,,,,,,,,,,,,,,
Abiotrophia,,,,,,,,,,,,,,,,,,,,,1.1923299797066186e-06,1.1875497286449574e-06,,,
Abortiporus,,,,,,,,,,,,,,,,,1.7472803581225835e-06,,3.487382649574047e-06,1.7410652882073435e-06,1.1923299797066186e-06,,,,
Abrostola,,,,,,,,,,,,,,,,,,,,,,,,,
Abrus,,,,,,,,,,,,,,1.8249507263303893e-05,,,,1.7379244663269446e-05,,,1.1923299797066186e-06,3.562649185934872e-06,2.3795274972250257e-06,1.06977932829751e-05,1.1847288451856302e-06
Abscondita,,,0.0018552875695732837,,,,,,0.00019794140934283454,,1.9227441404372333e-05,,3.871842028845223e-05,,1.8092015993342154e-05,3.8390328429262014e-05,2.6209205371838756e-05,2.2593018062250282e-05,2.4411678547018324e-05,2.0892783458488124e-05,6.43858189041574e-05,1.9000795658319318e-05,1.4277164983350153e-05,2.9716092452708617e-05,4.3834967271868315e-05
Absidia,,,,,,,,,,,,,,,,3.4900298572056374e-06,1.0483682148735503e-05,8.689622331634723e-06,1.0462147948722139e-05,1.2187457017451405e-05,1.3115629776772806e-05,7.125298371869744e-06,1.546692873196267e-05,1.307508067919179e-05,5.92364422592815e-06
Abyssalbus,,,,,,,0.00018804061677322304,,0.00019794140934283454,,,1.814684426378253e-05,7.743684057690446e-05,,5.427604798002647e-05,2.79202388576451e-05,1.9220083939348418e-05,2.6068866994904172e-05,2.0924295897444278e-05,2.4374914034902807e-05,2.146193963471913e-05,2.256344484425419e-05,2.498503872086277e-05,2.13955865659502e-05,3.0802949974826384e-05
