order,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,1e-05,1.000010000100001e-05,2.0000160001280012e-05,8.000080000800008e-06,1.3000104000832007e-05,8.000048000288004e-06,1.0000080000640006e-05,6.1882083901290874e-06,8.250101063475055e-06,1.1006720370655686e-05,8.935956104973529e-06,1.031334156186722e-05
Acanthocystida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000040000400004e-05,0.0,0.0,1e-05,1.000010000100001e-05,3.000024000192002e-06,7.000070000700008e-06,3.0000240001920015e-06,2.000012000072001e-06,1.0000080000640005e-06,2.750314840057372e-06,2.062525265868764e-06,6.879200231659804e-06,4.124287433064706e-06,6.875561041244815e-06
Acanthoecida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,1.375112208248963e-06
Acanthopleuribacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,2e-05,1e-05,3e-05,5.0000500005000046e-05,1.7000136001088006e-05,2.800028000280003e-05,2.3000184001472008e-05,2.0000120000720005e-05,2.2000176001408014e-05,1.581431033032989e-05,2.6125320034337672e-05,2.2701360764477352e-05,2.6807868314920586e-05,2.4752019748481336e-05
Acarosporales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,3.0000240001920015e-06,2.000020000200002e-06,4.000032000256002e-06,3.0000180001080015e-06,2.000016000128001e-06,1.0313680650215145e-05,4.125050531737528e-06,4.815440162161863e-06,5.499049910752941e-06,2.0626683123734445e-06
Acaryochloridales,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0001,0.0,7.000070000700006e-05,5e-05,4e-05,8e-05,5.0000500005000046e-05,4.300034400275202e-05,4.7000470004700047e-05,5.900047200377603e-05,6.300037800226802e-05,5.000040000320002e-05,7.219576455150602e-05,4.675057269302532e-05,5.2969841783780485e-05,4.536716176371176e-05,5.156670780933611e-05
Acetobacterales,0.0,0.0,0.0,0.001,0.0,0.0002,0.0004,0.00030000000000000003,0.0,0.0001,0.0003000030000300003,0.00034,0.00039000000000000005,0.00029,0.0004100041000410003,0.00033000264002112017,0.00034000340003400035,0.00031100248801990417,0.0003410020460122761,0.00032000256002048013,0.0003561657717874297,0.0002908160624874957,0.000315067370610019,0.0002941991702252823,0.00030596246633539425
Acholeplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0001,7.000070000700006e-05,6e-05,1e-05,5e-05,0.0,4.300034400275202e-05,3.5000350003500036e-05,2.6000208001664014e-05,4.600027600165601e-05,4.400035200281602e-05,4.2629880020889264e-05,2.681282845629393e-05,5.365776180694646e-05,3.643120565873823e-05,4.056581014334441e-05
Acidaminococcales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,1.000010000100001e-05,3.0000000000000004e-05,1e-05,0.0,2.000020000200002e-05,5.000040000320003e-06,1.000010000100001e-05,7.000056000448003e-06,4.000024000144002e-06,1.4000112000896006e-05,6.188208390129087e-06,7.562592641518801e-06,1.0318800347489705e-05,4.124287433064706e-06,7.5631171453692965e-06
Acidiferrobacterales,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.00039999999999999996,0.00020000200002000005,0.00025,0.00021,0.00015000000000000001,0.0001900019000190002,0.00014700117600940807,0.00016700167001670014,0.00017600140801121602,0.00018700112200664001,0.00014800118400947208,0.00016158099685331916,0.00016362700442556285,0.00014446320486485588,0.00017665697838283823,0.0001636383527815278
Acidilobales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,0.0,0.0,1.0000080000640005e-06,6.87578710014343e-07,1.3750168439125092e-06,0.0,0.0,6.875561041244814e-07
Acidimicrobiales,0.005,0.0,0.007,0.0,0.001,0.0031999999999999997,0.0035,0.0038,0.0019,0.0038,0.0030800308003080005,0.00342,0.00289,0.00279,0.0031100311003110005,0.0033340266722132242,0.0032310323103231006,0.0031180249441993563,0.003206019236115128,0.0030650245201958603,0.0032233689925469356,0.0032842277316846896,0.003275875150316028,0.0032313792038058792,0.0032136372306774555
Acidithiobacillales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,2.000020000200002e-05,5e-05,5e-05,0.00013000000000000002,8.000080000800008e-05,6.300050400403203e-05,5.900059000590006e-05,4.700037600300802e-05,4.900029400176401e-05,5.400043200345602e-05,5.294356067110441e-05,7.975097694692554e-05,5.984904201544028e-05,5.155359291330882e-05,5.7067156642331966e-05
Acidothermales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.000010000100001e-05,4.000032000256002e-06,1.000010000100001e-06,0.0,2.000012000072001e-06,2.000016000128001e-06,1.375157420028686e-06,6.875084219562546e-07,2.063760069497941e-06,5.499049910752941e-06,6.875561041244814e-07
Acoela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,0.0,6.875084219562546e-07,0.0,0.0,0.0
Acrochaetiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Acrospermales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1.000010000100001e-06,0.0,2.000012000072001e-06,0.0,6.87578710014343e-07,1.3750168439125092e-06,6.879200231659802e-07,6.873812388441177e-07,0.0
Acrosymphytales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiniaria,0.0,0.0,0.0,0.0,0.001,0.0001,0.0,0.0002,0.0002,0.0002,3.0000300003000036e-05,7.000000000000001e-05,8e-05,0.00014,0.00010000100001000012,0.00011500092000736005,0.00016700167001670006,0.00012700101600812808,0.00011000066000396003,8.500068000544005e-05,0.0001361405845828399,0.00021794016976005656,0.00014859072500385178,0.00015878506617299118,0.000129948103679527
Actinomycetales,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0007,0.00030000000000000003,0.0005,0.00036000360003600007,0.00048,0.00039,0.00036,0.000510005100051,0.00027600220801760403,0.0003030030300303001,0.00033300266402126006,0.0003070018420109,0.000302002416019188,0.00031216073434645226,0.00036231693837079394,0.0003590942520926052,0.0003498770505715647,0.00032383892504261495
Actinopolysporales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,2.000016000128001e-06,2.000012000072001e-06,1.0000080000640005e-06,1.375157420028686e-06,0.0,1.3758400463319605e-06,6.873812388441177e-07,2.0626683123734445e-06
Acytosteliales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,2e-05,5e-05,5.000050000500006e-05,4.400035200281603e-05,4.500045000450004e-05,4.900039200313602e-05,4.000024000144001e-05,2.4000192001536015e-05,5.0880824541061385e-05,5.0188114802806585e-05,2.9580560996137153e-05,5.567788034637353e-05,3.9878254039219924e-05
Adapedonta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Adinetida,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,4.000040000400004e-05,3e-05,6e-05,1e-05,7.000070000700007e-05,3.300026400211202e-05,3.100031000310003e-05,4.1000328002624024e-05,3.3000198001188005e-05,4.200033600268802e-05,4.400503744091795e-05,3.5750437941725244e-05,3.9211441320460876e-05,4.330501804717941e-05,5.019159560108715e-05
Aeromonadales,0.0,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0001,0.0001,0.0006000000000000001,0.00030000300003000033,0.00019,0.00031,0.00025,0.00021000210002100023,0.00030200241601932814,0.0003090030900309003,0.0002930023440187521,0.0003110018660111961,0.00032400259202073614,0.00030115947498628225,0.00030387872250466454,0.00029305392986870763,0.00032375656349557943,0.0002777726660662905
Agaricales,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.00030000000000000003,0.0004,5.0000500005000046e-05,0.00013000000000000002,9e-05,0.00011000000000000002,0.0001100011000110001,9.600076800614405e-05,9.100091000910009e-05,9.100072800582404e-05,0.00010100060600363604,9.100072800582404e-05,8.044670907167813e-05,9.006360327626935e-05,7.567120254825783e-05,8.523527361667059e-05,8.250673249493778e-05
Agaricostilbales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
