order,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriales,,,,,,,,,,,1.4654591283449114e-05,,,1.4167516717669727e-05,1.4038831407673637e-05,2.758909899520658e-05,1.0997818307793198e-05,1.782976143779293e-05,1.1021849438781819e-05,1.3754760866605715e-05,8.479286986179261e-06,1.1293362984685893e-05,1.5042513904924686e-05,1.220728342870734e-05,1.4081188377200179e-05
Acanthocystida,,,,,,,,,,,5.8618365133796456e-05,,,1.4167516717669727e-05,1.4038831407673637e-05,4.138364849280987e-06,9.623091019319051e-06,4.114560331798368e-06,2.7554623596954548e-06,1.3754760866605714e-06,3.768571993857449e-06,2.8233407461714733e-06,9.40157119057793e-06,5.634130813249542e-06,9.387458918133455e-06
Acanthoecida,,,,,,,,,,,,,,,,,,,,1.3754760866605714e-06,,,,,1.877491783626691e-06
Acanthopleuribacterales,,,,,,,,,0.000149812734082397,,,2.811792658409369e-05,1.4775413711583924e-05,4.250255015300918e-05,7.019415703836819e-05,2.3450734145925588e-05,3.84923640772762e-05,3.154496254378748e-05,2.7554623596954542e-05,3.0260473906532576e-05,2.1669288964680335e-05,3.576231611817199e-05,3.1025184928907164e-05,3.6621850286122016e-05,3.379485210528044e-05
Acarosporales,,,,,,,,,,,,,,,2.8077662815347274e-05,4.138364849280986e-06,2.7494545769482996e-06,5.486080442397824e-06,4.133193539543182e-06,2.750952173321143e-06,1.4132144976965435e-05,5.6466814923429466e-06,6.581099833404551e-06,7.512174417666056e-06,2.8162376754400364e-06
Acaryochloridales,,,,,,0.0002921840759678598,0.0001453699665649077,0.00014494854326714017,0.000149812734082397,,0.00010258213898414379,7.029481646023423e-05,5.9101654846335695e-05,0.00011334013374135781,7.019415703836819e-05,5.9316562839694135e-05,6.461218255828504e-05,8.09196865253679e-05,8.679706433040682e-05,6.877380433302857e-05,9.892501483875805e-05,6.399572357988674e-05,7.239209816745005e-05,6.197543894574496e-05,7.040594188600092e-05
Acetobacterales,,,,0.0014388489208633092,,0.0002921840759678598,0.0005814798662596308,0.00043484562980142054,,0.00014916467780429595,0.0004396377385034734,0.0004780047519295928,0.000576241134751773,0.0004108579848124221,0.000575592087714619,0.00045522013342090854,0.000467407278081211,0.0004265427543964308,0.00046980633232807497,0.00044015234773138283,0.0004880300732045397,0.00039809104521017777,0.0004305919605284691,0.0004019013313451339,0.0004177419218569387
Acholeplasmatales,,,,,,,0.0002907399331298154,,0.000149812734082397,0.00014916467780429595,0.00010258213898414379,8.435377975228108e-05,1.4775413711583924e-05,7.083758358834864e-05,,5.9316562839694135e-05,4.8115455096595245e-05,3.565952287558586e-05,6.337563427299545e-05,6.052094781306514e-05,5.841286590479046e-05,3.670342970022916e-05,7.333225528650783e-05,4.976815551703762e-05,5.538600761698738e-05
Acidaminococcales,,,,,,,,0.00014494854326714017,,,1.4654591283449114e-05,4.217688987614054e-05,1.4775413711583924e-05,,2.8077662815347274e-05,6.897274748801645e-06,1.3747272884741499e-05,9.600640774196191e-06,5.5109247193909095e-06,1.9256665213247997e-05,8.47928698617926e-06,1.0352249402628737e-05,1.4102356785866893e-05,5.634130813249542e-06,1.0326204809946801e-05
Acidiferrobacterales,,,,,,0.0001460920379839299,,,0.000299625468164794,0.0005966587112171837,0.00029309182566898207,0.00035147408230117114,0.00031028368794326237,0.0002125127507650459,0.00026673779674579913,0.00020277987761476834,0.000229579457175183,0.00024138753946543833,0.0002576357306313982,0.0002035704608257646,0.00022140360463905465,0.00022398503252956832,0.0001974329950021365,0.00024132860316738544,0.00022342152225144135
