phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,4.0000400004000046e-05,2e-05,2e-05,1e-05,1.000010000100001e-05,3.0000240001920018e-05,1.8000180001800016e-05,2.6000208001664017e-05,2.000012000072001e-05,2.200017600140801e-05,1.3751574200286862e-05,1.650020212695011e-05,1.7198000579149508e-05,2.4058343359544114e-05,1.8564014811361e-05
Acanthocephala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,1e-05,0.0,7.000056000448003e-06,8.000080000800008e-06,8.000064000512004e-06,0.0,4.000032000256002e-06,4.813050970100402e-06,2.062525265868764e-06,2.751680092663922e-06,2.7495249553764707e-06,4.81289272887137e-06
Acidobacteriota,0.006,0.002,0.005,0.005,0.003,0.0036,0.0024000000000000002,0.0026,0.0037,0.0029000000000000002,0.002920029200292001,0.00305,0.0027,0.00276,0.003110031100311001,0.0029080232641859965,0.003032030320303201,0.0028710229681835884,0.002892017352103968,0.0029550236401890122,0.0029586511891915366,0.0029748489418045558,0.002980069540354824,0.002961238376940185,0.0028265431440555513
Actinomycetota,0.022,0.013000000000000001,0.025,0.012,0.014,0.0196,0.022099999999999998,0.019200000000000002,0.018,0.0204,0.020590205902059004,0.02144,0.0199,0.0197,0.021120211202112004,0.019590156721252888,0.020114201142011404,0.020026160209280625,0.01952011712070145,0.019452155617243658,0.019362216474002835,0.020081433496918905,0.019537616577935756,0.019379339266731133,0.019814679364762288
Annelida,0.0,0.0,0.002,0.0,0.001,0.0002,0.0001,0.0002,0.0005,0.00030000000000000003,0.00033000330003300017,0.00024,0.00029,0.00023,0.0001800018000180001,0.00027100216801730407,0.0002300023000230001,0.00020800166401324806,0.000224001344007968,0.0002660021280169961,0.0002399649697949244,0.00023512788030900702,0.00025865792871034656,0.0002392086711177,0.00025233309021368427
Apicomplexa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011000110001100011,6.000000000000001e-05,5e-05,7.000000000000001e-05,9.000090000900009e-05,5.9000472003776034e-05,7.000070000700007e-05,6.000048000384003e-05,5.700034200205202e-05,7.200057600460804e-05,6.600755616137693e-05,6.875084219562546e-05,5.503360185327843e-05,6.598859892903529e-05,5.981738105882989e-05
Aquificota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000030000300003e-05,3.0000000000000004e-05,4e-05,3.0000000000000004e-05,3.000030000300003e-05,2.0000160001280012e-05,2.000020000200002e-05,2.3000184001472015e-05,2.500015000090001e-05,2.9000232001856013e-05,2.681556969055938e-05,2.8187845300206438e-05,2.545304085714127e-05,2.612048707607647e-05,2.2001795331983406e-05
Armatimonadota,0.001,0.0,0.0,0.001,0.0,0.00030000000000000003,0.0,0.0001,0.0007999999999999999,0.0001,0.0003000030000300001,0.00023,0.00031,0.00020999999999999998,0.00014000140001400014,0.000269002152017148,0.0002820028200282001,0.00026500212001695603,0.000274001644009816,0.00026600212801699603,0.00024271528463500804,0.0002516280824359068,0.0002834230495443135,0.0002818263079260529,0.0002509579780053826
Arthropoda,0.003,0.004,0.006,0.005,0.005,0.0042,0.0059,0.0052,0.0041,0.004,0.004040040400404002,0.00394,0.00378,0.00409,0.004120041200412002,0.004239033912271005,0.003958039580395802,0.003899031192249337,0.0040410242461449445,0.004054032432259361,0.004100719426525331,0.003966236086265331,0.004141966459482164,0.004160718638723285,0.003908756451947546
Artverviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,1e-05,1e-05,0.0,1.0000080000640005e-06,0.0,2.000016000128001e-06,0.0,1.0000080000640005e-06,0.0,0.0,2.751680092663921e-06,1.3747624776882353e-06,6.875561041244814e-07
