phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Abditibacteriota,,,,,,,,,,0.00012575452716297788,4.9035832934917233e-05,2.369303306362764e-05,2.483299808785915e-05,1.1975761059615339e-05,1.1864366561469292e-05,3.500677381073419e-05,2.1028528703941696e-05,3.0324978801674955e-05,2.3378660659910648e-05,2.5665434725801116e-05,1.5982240534319127e-05,1.9158449155472593e-05,1.9977896455362866e-05,2.7966239156092204e-05,2.15021737104879e-05
Acanthocephala,,,,,,,,,,,,1.184651653181382e-05,,1.1975761059615339e-05,,8.168247222504643e-06,9.34601275730742e-06,9.330762708207676e-06,,4.666442677418385e-06,5.593784187011694e-06,2.394806144434074e-06,3.196463432858059e-06,3.1961416178391097e-06,5.57463762864501e-06
Acidobacteriota,0.007272727272727273,0.0023724792408066427,0.006009615384615384,0.0060168471720818285,0.003631961259079903,0.004410143329658214,0.002926472381416901,0.0031777071620630658,0.004619225967540574,0.003646881287726359,0.0035796158042489556,0.003613187542203215,0.003352454741860985,0.0033053100524538335,0.0036898180006169476,0.003393323274720364,0.0035421388350195104,0.0033485774669078467,0.00338055433142291,0.003447334527942704,0.0034385790509585488,0.0034541087289885627,0.0034617698977850416,0.0034422445224124025,0.003273905041622583
Actinomycetota,0.02666666666666666,0.01542111506524318,0.03004807692307692,0.014440433212996389,0.01694915254237288,0.024010780350361385,0.026947933178880622,0.02346614519677341,0.022471910112359546,0.02565392354124749,0.025241195003248625,0.02539893144420883,0.024708833097419853,0.023592249287442215,0.025057542177823126,0.022859423298408392,0.023498212575060167,0.023357231749319644,0.022817572804071297,0.022692910740284112,0.02250299467232009,0.023316630890923406,0.022695689489148976,0.02252720515793325,0.022950783117130183
Annelida,,,0.0024038461538461535,,0.0012106537530266342,0.0002450079627587897,0.0001219363492257042,0.0002444390124663897,0.0006242197253433209,0.0003772635814889337,0.00040454562171306696,0.00028431639676353165,0.00036007847227395763,0.0002754425043711528,0.00021355859810644716,0.0003162278567569187,0.00026869786677258825,0.00024259983041332488,0.00026184099939088694,0.0003103184380482898,0.0002788900973237742,0.00027300790046544724,0.0003004675626885854,0.00027806432075194097,0.0002922702871018165
Apicomplexa,,,,,,,,,,,0.00013484854057102237,7.107909919088293e-05,6.208249521964787e-05,8.383032741730738e-05,0.00010677929905322363,6.884665516111057e-05,8.177761162643995e-05,6.998072031155757e-05,6.662918288074534e-05,8.399596819353092e-05,7.67147545647318e-05,7.98268714811358e-05,6.392926865716118e-05,7.670739882813863e-05,6.928478195601656e-05
Aquificota,,,,,,,,,,,3.677687470118792e-05,3.553954959544146e-05,4.96659961757183e-05,3.5927283178846024e-05,3.559309968440788e-05,2.3337849207156123e-05,2.3365031893268555e-05,2.6825942786097073e-05,2.922332582488831e-05,3.3831709411283286e-05,3.116536904192229e-05,3.272901730726568e-05,2.956728675393704e-05,3.036334536947154e-05,2.5484057730948618e-05
Armatimonadota,0.0012121212121212121,,,0.0012033694344163657,,0.0003675119441381845,,0.00012221950623319484,0.0009987515605493131,0.00012575452716297788,0.000367768747011879,0.0002724698802317179,0.0003849114703618168,0.0002514909822519221,0.0001661011318605701,0.00031389407183617037,0.0003294469496950864,0.0003090815147093745,0.00032028765104071964,0.00031031843804828977,0.00028208654543066854,0.00029216634962086135,0.0003292357335842983,0.00032760451582846767,0.00029067753349357113
Arthropoda,0.0036363636363636364,0.004744958481613285,0.007211538461538461,0.0060168471720818285,0.006053268765133172,0.005145167217934583,0.007194244604316547,0.0063554143241261315,0.005118601747815231,0.0050301810865191155,0.0049526191264266375,0.004667527513534645,0.004693436638605379,0.0048980862733826736,0.004888119023325346,0.004946457139456398,0.004623939811677844,0.004547580474912482,0.004723658386334323,0.00472943965356342,0.004765904127333717,0.004605212215746374,0.0048114765823093555,0.004836561303194847,0.004527402131263688
Artverviricota,,,,,,,,,,,,5.92325826590691e-05,1.2416499043929574e-05,1.1975761059615339e-05,,1.1668924603578062e-06,,2.332690677051919e-06,,1.1666106693545962e-06,,,3.196463432858058e-06,1.5980708089195548e-06,7.963768040921443e-07
