,family,read count,relative error
0,Abditibacteriaceae,1000,0.31867400807660423
1,Abyssicoccaceae,1000,1.3878457769189638
2,Acanthaceae,1000,0.9304344519928117
3,Acanthamoebidae,1000,0.6681206222492259
4,Acanthocerataceae,1000,2.8187370496370425
5,Acanthocnemidae,1000,
6,Acanthoecidae,1000,
7,Acanthopleuribacteraceae,1000,0.795534687687657
8,Acaridae,1000,0.7247442828444499
9,Acarosporaceae,1000,0.9868510081785827
10,Acartiidae,1000,0.5906374473231443
11,Acaryochloridaceae,1000,0.6218905517418111
12,Acaulosporaceae,1000,0.5638605038864755
13,Acavomonidia,1000,
14,Acerentomidae,1000,
15,Acetobacteraceae,1000,0.8640823354779458
16,Acetomicrobiaceae,1000,0.8745384650486802
17,Achnanthaceae,1000,1.304670428194979
18,Achnanthidiaceae,1000,
19,Acholeplasmataceae,1000,0.8167390807691259
20,Acidaminobacteraceae,1000,0.442304473124656
21,Acidaminococcaceae,1000,1.511050565329237
22,Acidiferrobacteraceae,1000,0.3689175221848227
23,Acidilutibacteraceae,1000,
24,Acidimicrobiaceae,1000,0.4210632795749644
25,Acidithiobacillaceae,1000,0.7382541649003913
26,Acidobacteriaceae,1000,1.8909509637528255
27,Acidocellaceae,1000,0.6080066431544353
28,Acidothermaceae,1000,0.5675621259519782
29,Acinetidae,1000,
30,Acinetosporaceae,1000,0.9527433121124664
31,Ackermannviridae,1000,0.9128620482237638
32,Acmaeidae,1000,
33,Acoetidae,1000,
34,Acrasidae,1000,0.2184204563703034
35,Acrididae,1000,0.3754737419222266
36,Acroceridae,1000,
37,Acrochaetiaceae,1000,1.2447398335693467
38,Acroporidae,1000,0.5458252103345127
39,Acrospermaceae,1000,1.4703870417764295
40,Acrothesauraceae,1000,
41,Acrotrichaceae,1000,
42,Actinidiaceae,1000,0.8057124523311485
43,Actiniidae,1000,1.1404353488170915
44,Actinomycetaceae,1000,1.683649609432288
45,Actinopolymorphaceae,1000,0.9980268007667774
46,Actinopolysporaceae,1000,1.2001914047360123
47,Actinospicaceae,1000,0.5788919958630669
48,Actinostolidae,1000,0.0029760835960262032
49,Acutalibacteraceae,1000,0.5657393011745238
50,Acytosteliaceae,1000,0.33779680658103534
51,Adelgidae,1000,0.3753904380331898
52,Adelidae,1000,
53,Adenocystaceae,1000,
54,Adenoviridae,1000,
55,Aderidae,1000,
56,Adinetidae,1000,0.8537936565704406
57,Adintoviridae,1000,1.9348177109927132
58,Aegisthidae,1000,
59,Aeglidae,1000,
60,Aerococcaceae,1000,1.5122678926259283
61,Aeromonadaceae,1000,0.5627563839172075
62,Aerosakkonemataceae,1000,1.7843218660014428
63,Aestuariirhabdaceae,1000,0.48118671824523207
64,Aestuariivirgaceae,1000,0.6029333994201962
65,Afifellaceae,1000,1.3181373150660085
66,Agalmatidae,1000,1.3675747739123318
67,Agaonidae,1000,0.8514013120899276
68,Agaraceae,1000,
69,Agaricaceae,1000,0.6108833712675098
70,Agaricostilbaceae,1000,
71,Agelasidae,1000,
72,Aggregatilineaceae,1000,0.5103061771034659
73,Aggregaviridae,1000,1.5062385969470664
74,Agriolimacidae,1000,
75,Agromyzidae,1000,
76,Ahnfeltiaceae,1000,1.5943389609988592
77,Ahrensiaceae,1000,0.39487734858589396
78,Aiptasiidae,1000,1.7303540703282576
79,Aizoaceae,1000,0.26612983560799663
80,Ajellomycetaceae,1000,2.1193784467198444
81,Akkermansiaceae,1000,0.16467112737856465
