,genus,read count,relative error
0,Aaosphaeria,1000,0.5400579297149506
1,Abditibacterium,1000,0.705044668066054
2,Abelmoschus,1000,
3,Abidjanvirus,1000,0.0028406040268447895
4,Abies,1000,
5,Abiotrophia,1000,0.0028406040268447895
6,Abortiporus,1000,0.48877226009783864
7,Abrostola,1000,
8,Abrus,1000,0.9700965091727767
9,Abscondita,1000,2.9011762068083655
10,Absidia,1000,0.3700034780111391
11,Abyssalbus,1000,1.1508969345985012
12,Abyssibacter,1000,3.104398903462613
13,Abyssibius,1000,0.4320814918502248
14,Abyssicoccus,1000,1.3883961424251787
15,Abyssisolibacter,1000,0.6317215297071945
16,Acacia,1000,0.6678634223731882
17,Acanthamoeba,1000,0.6760030379156036
18,Acanthephyra,1000,
19,Acanthoceras,1000,2.838515810332164
20,Acanthocheilonema,1000,1.1005152909372315
21,Acanthocnemus,1000,
22,Acanthocyclops,1000,0.21861899093063394
23,Acanthodendrilla,1000,
24,Acanthophora,1000,0.0037963992740592343
25,Acanthopleuribacter,1000,0.5577236416288252
26,Acanthoscelides,1000,1.9573245577658933
27,Acanthotrema,1000,
28,Acanvirus,1000,0.001317073703335739
29,Acaricomes,1000,
30,Acaromyces,1000,1.2429083546973532
31,Acarospora,1000,0.3850711917473868
32,Acartia,1000,0.6018162354679257
33,Acarus,1000,0.20478852744992082
34,Acaryochloris,1000,0.6856953704712064
35,Acaulospora,1000,0.5694784670675711
36,Acavomonas,1000,
37,Acentria,1000,
38,Acephala,1000,0.20998631261555528
39,Acer,1000,0.44834267187125176
40,Aceraius,1000,0.4740681633679552
41,Acerihabitans,1000,0.7910267919087461
42,Acetabularia,1000,1.1024804457064163
43,Acetanaerobacterium,1000,
44,Acetatifactor,1000,0.7382256223070244
45,Aceticella,1000,0.2655780088474045
46,Acetivibrio,1000,1.0002224766958305
47,Acetoanaerobium,1000,0.6189776149401109
48,Acetobacter,1000,0.8022748118225123
49,Acetobacterium,1000,0.4901901359047451
50,Acetobacteroides,1000,2.1213673205207173
51,Acetohalobium,1000,0.002040337797413555
52,Acetomicrobium,1000,0.8763703992970968
53,Acetonema,1000,1.56999780940583
54,Achaetomiella,1000,
55,Achlya,1000,0.5690269134785205
56,Achnanthes,1000,1.4446341704211132
57,Achnanthidium,1000,
58,Acholeplasma,1000,1.3996747003156336
59,Acholoe,1000,
60,Achromatium,1000,1.030917105739695
61,Achromobacter,1000,0.408228529458797
62,Acidaminobacter,1000,0.44490723698706053
63,Acidaminococcus,1000,2.195248283243607
64,Acidianus,1000,
65,Acidibacter,1000,0.7314047514927065
66,Acidibrevibacterium,1000,0.7296910338401106
67,Acidicapsa,1000,0.45482807658028973
68,Acididesulfobacillus,1000,0.4914398398496627
69,Acidiferrimicrobium,1000,1.8632379266036487
70,Acidiferrobacter,1000,0.6299264531144064
71,Acidihalobacter,1000,1.1334429737000165
72,Acidiluteibacter,1000,1.2333571680087845
73,Acidilutibacter,1000,
74,Acidimangrovimonas,1000,0.325519542083237
75,Acidimicrobium,1000,0.40902628510135103
76,Acidiphilium,1000,1.105075748134553
77,Acidipila,1000,0.5619162409221686
78,Acidipropionibacterium,1000,1.5302742129539917
79,Acidisarcina,1000,1.8166709659686082
80,Acidisoma,1000,0.7177311669772198
81,Acidisphaera,1000,0.8307280705804017
82,Aciditerrimonas,1000,1.502092762409729
83,Acidithiobacillus,1000,0.7771523787425999
84,Acidithrix,1000,0.5761807941250701
85,Acidobacterium,1000,0.5487056226659891
86,Acidocella,1000,0.7195419345483297
87,Acidomonas,1000,0.3043394501243546
88,Acidomyces,1000,0.9722007726010209
89,Acidothermus,1000,0.567409294950205
90,Acidovorax,1000,0.41103738075701696
91,Acineta,1000,
92,Acinetobacter,1000,0.25830272550279526
93,Acionnavirus,1000,
94,Acleris,1000,
95,Acrasis,1000,0.2190697469172173
96,Acremonium,1000,0.2682069865646167
97,Acrobasis,1000,
98,Acrocarpospora,1000,0.7900673124817985
99,Acrocera,1000,
100,Acrochaetium,1000,1.2495398719710227
101,Acrolepiopsis,1000,
102,Acromyrmex,1000,0.625491135066471
103,Acronicta,1000,
104,Acropolitis,1000,
105,Acropora,1000,0.5554931529709067
106,Acrosorium,1000,
107,Acrothesaurum,1000,
108,Acrothrix,1000,
109,Actibacterium,1000,0.46198162705509954
110,Actinacidiphila,1000,0.2625015063396939
111,Actinarchaeum,1000,
112,Actinastrum,1000,
113,Actinia,1000,1.1832243502993702
114,Actinidia,1000,0.8490471910498706
115,Actiniopteris,1000,
116,Actinoallomurus,1000,0.6888598117717943
117,Actinoalloteichus,1000,0.3707691895561098
118,Actinobacillus,1000,1.6865438186276778
119,Actinobaculum,1000,0.5055909167060542
120,Actinocatenispora,1000,0.9573017690054773
121,Actinocorallia,1000,0.8848053662034188
122,Actinocrinis,1000,0.0006510860751172911
123,Actinocrispum,1000,0.45642147088511925
124,Actinocyclus,1000,0.9898706969029614
125,Actinokineospora,1000,0.5944570300326398
126,Actinomadura,1000,0.6849557686447161
127,Actinomarinicola,1000,0.40641675088157636
128,Actinomortierella,1000,0.721737489267294
129,Actinomyces,1000,1.8286470598214983
130,Actinomycetospora,1000,1.18859379099514
131,Actinophrys,1000,
132,Actinophytocola,1000,0.726790764513162
133,Actinoplanes,1000,1.3225022099257735
134,Actinopolymorpha,1000,1.0054323650323311
135,Actinopolyspora,1000,1.225339855276014
136,Actinoptychus,1000,1.7766856445866521
137,Actinorhabdospora,1000,0.19824675730524385
138,Actinorugispora,1000,0.0009313366917907699
139,Actinospica,1000,0.6185540277840914
140,Actinosynnema,1000,1.1942106365809502
141,Actinotalea,1000,1.7431127725534215
142,Actinotignum,1000,1.113641957722324
143,Actinotrichia,1000,
144,Actirhodobacter,1000,0.35411888950340564
145,Actomonas,1000,0.4439366133157386
146,Aculus,1000,
147,Acutalibacter,1000,0.23404021505471864
148,Acuticoccus,1000,2.4597200516755438
149,Acyrthosiphon,1000,0.5689803285858895
150,Acytostelium,1000,0.35685051382214233
151,Adalia,1000,
152,Adelges,1000,0.3755136597057296
153,Adelpha,1000,
154,Adelphocoris,1000,
155,Adenocystis,1000,
156,Adenoides,1000,
157,Adenophora,1000,
158,Adhaeretor,1000,0.6837929693386916
159,Adhaeribacter,1000,0.29138177353467226
160,Adiantum,1000,0.38437655722838776
161,Adineta,1000,0.8645943546334435
162,Adlercreutzia,1000,2.509677396554461
163,Adonisia,1000,2.639456851055186
164,Aduncisulcus,1000,1.9528911303993153
165,Advenella,1000,0.5289975617466555
166,Aedes,1000,1.7291015113296422
167,Aedoeadaptatus,1000,0.36208587235544776
