class,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acantharea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0
Acidimicrobiia,0.0,0.0,0.0,0.001,0.0,0.0008,0.0005,0.0008,0.0006000000000000001,0.001,0.0006100061000610002,0.00046,0.00051,0.00062,0.0005700057000570002,0.0006080048640389041,0.0006220062200622002,0.0006060048480387682,0.0006000036000215241,0.0005710045680364601,0.0006181332603028335,0.0006208201050264765,0.0006548998620539468,0.0005808371468231941,0.0005617333370696751
Acidithiobacillia,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,4.000040000400004e-05,4e-05,0.0,6e-05,4.000040000400004e-05,2.300018400147201e-05,3.0000300003000026e-05,2.1000168001344013e-05,3.400020400122401e-05,3.600028800230402e-05,3.369135679070281e-05,2.6812828456293933e-05,3.3020161111967055e-05,3.093215574798529e-05,1.8564014811361e-05
Aconoidasida,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,3.000030000300003e-05,2e-05,5e-05,8e-05,3.000030000300003e-05,4.600036800294402e-05,4.3000430004300045e-05,5.400043200345603e-05,4.5000270001620016e-05,5.100040800326403e-05,4.2629880020889264e-05,4.056299689541902e-05,3.989936134362686e-05,4.2617636808335293e-05,4.2628478455717854e-05
Actinomycetes,0.001,0.004,0.004,0.001,0.009000000000000001,0.0039000000000000003,0.005,0.0041,0.0035,0.0044,0.004560045600456004,0.0046500000000000005,0.00419,0.00436,0.0048100481004810045,0.0044230353842830104,0.004517045170451704,0.0045490363922910705,0.004522027132162674,0.00456603652829217,0.004674847649387451,0.004688807437741561,0.00455609431342822,0.004472102339919708,0.004519306272410153
Actinophryidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agaricomycetes,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,3.000030000300003e-05,3.0000000000000004e-05,4e-05,4e-05,4.000040000400004e-05,3.800030400243202e-05,3.4000340003400034e-05,4.200033600268802e-05,3.2000192001152016e-05,3.400027200217602e-05,3.850440776080321e-05,4.056299689541902e-05,3.7835601274128915e-05,3.230691822567353e-05,5.4316932225834036e-05
Agaricostilbomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,2.062736130043029e-06,6.875084219562546e-07,0.0,0.0,0.0
Alphaproteobacteria,0.064,0.074,0.063,0.075,0.063,0.0789,0.0778,0.07970000000000001,0.0677,0.0747,0.07329073290732901,0.0726,0.07157000000000001,0.07203,0.07186071860718601,0.07328558628468508,0.07223872238722381,0.07328058624468427,0.07330043980263294,0.07250558004463488,0.07379438505228379,0.07343689959967369,0.07329168718812096,0.0736205928239158,0.07289469815927167
