class,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriia,,,,,,,,,,,,,,,,,,,,,,,,,
Acantharea,,,,,,,,,,,,,,,,,,3.170707733673434e-06,,3.1890399076456105e-06,,,,,
Acidimicrobiia,,,,0.003194888178913738,,0.0025740025740025744,0.0016313213703099511,0.002545338848234171,0.001998667554963358,0.0033624747814391394,0.001992357187183591,0.0014993969816486847,0.0016849477996564032,0.0020560437738351848,0.0018469913483036844,0.001932883175015036,0.0019838865038306233,0.0019214488866060497,0.0019022738513435164,0.001820941787265375,0.0019412360426423526,0.0019527871007924207,0.00206337956430606,0.0018240887651241324,0.001765749643932404
Acidithiobacillia,,,,,,0.0003217503217503218,,,,0.0003362474781439139,0.0001306463729300716,0.00013038234623032041,,0.00019897197811308238,0.00012961342795113584,7.311893589695135e-05,9.568584423620376e-05,6.658486240714212e-05,0.00010779551824281292,0.00011480543667524198,0.0001058070813008728,8.433964222691811e-05,0.00010403594441880351,9.714082181135858e-05,5.835402740046161e-05
Aconoidasida,,,,,,0.0003217503217503218,,,,,9.798477969755372e-05,6.519117311516021e-05,0.00016519096075062777,0.0002652959708174432,9.721007096335188e-05,0.0001462378717939027,0.00013714971007189208,0.00017121821761836544,0.00014267053885078183,0.00016264103528992614,0.00013387834776845128,0.0001275907408048248,0.00012571009950605424,0.00013383846560676072,0.0001339981369936526
Actinomycetes,0.003508771929824561,0.01337792642140468,0.013559322033898303,0.003194888178913738,0.029126213592233007,0.012548262548262551,0.016313213703099513,0.013044861597200128,0.011658894070619586,0.014794889038332213,0.014893686514028164,0.015156947749274749,0.013843002510902607,0.014458630409550654,0.015586014711124084,0.014061089281400487,0.014407098613831078,0.014423549480480236,0.01433680392629374,0.01456115621830968,0.014681272362543343,0.014748624615065889,0.014354792914285945,0.01404440414899293,0.014205963781601065
Actinophryidae,,,,,,,,,,,,,,,,3.1790841694326677e-06,,,,,,,,,
Agaricomycetes,,,0.0033898305084745757,,,,,,0.00033311125916055963,,9.798477969755372e-05,9.778675967274032e-05,0.00013215276860050222,0.0001326479854087216,0.00012961342795113584,0.00012080519843844139,0.00010844395680103093,0.0001331697248142842,0.00010145460540500042,0.00010842735685995077,0.0001209223786295689,0.0001275907408048248,0.00011920785297987902,0.0001014581916696412,0.00017073956165320248
Agaricostilbomycetes,,,,,,,,,,,,,,,,,,3.170707733673434e-06,,,6.477984569441191e-06,2.1625549288953357e-06,,,
Alphaproteobacteria,0.2245614035087719,0.24749163879598657,0.21355932203389827,0.23961661341853036,0.20388349514563103,0.2538610038610039,0.25383360522022835,0.2535793827553293,0.22551632245169884,0.2511768661735037,0.23937681680112355,0.23664395840803154,0.2364543412184486,0.23886585972475538,0.23285052331421532,0.23297918335685652,0.23040513386449607,0.23234946272357118,0.2323944555058104,0.23122133850382753,0.23174989797174114,0.23099546728486656,0.2309186157150599,0.23120163196580287,0.22913681425912752
