family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abyssicoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,0.0,2.000016000128001e-06,0.0,6.875084219562546e-07,0.0,6.873812388441177e-07,2.0626683123734445e-06
Acanthaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,2.000020000200002e-06,0.0,0.0,1.0000080000640005e-06,1.375157420028686e-06,6.875084219562546e-07,0.0,0.0,1.375112208248963e-06
Acanthamoebidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,7.000056000448003e-06,2.000020000200002e-06,6.000048000384003e-06,4.000024000144001e-06,1.0000080000640005e-06,3.437893550071715e-06,4.125050531737528e-06,8.255040277991764e-06,4.811668671908823e-06,4.125336624746889e-06
Acanthocerataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000300003000036e-05,0.0,0.0,5e-05,0.0,4.500036000288002e-05,6.400064000640006e-05,2.5000200001600016e-05,9.1000546003276e-05,4.500036000288002e-05,3.162862066065978e-05,3.918798005150651e-05,2.8892640972971176e-05,5.4303117868685296e-05,6.463027378770126e-05
Acanthocnemidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthoecidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375112208248963e-06
Acanthopleuribacteraceae,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,3.0000300003000036e-05,2e-05,1e-05,1e-05,1.000010000100001e-05,1.1000088000704003e-05,6.000060000600006e-06,4.000032000256002e-06,6.000036000216002e-06,1.2000096000768006e-05,1.4439152910301203e-05,7.562592641518801e-06,1.0318800347489704e-05,6.186431149597058e-06,7.563117145369296e-06
Acaridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Acarosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acartiidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,2e-05,1e-05,1.000010000100001e-05,6.000048000384004e-06,1.6000160001600015e-05,9.000072000576005e-06,7.000042000252003e-06,8.000064000512004e-06,1.581431033032989e-05,4.125050531737528e-06,2.2701360764477352e-05,1.7184530971102942e-05,1.5126234290738593e-05
Acaryochloridaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,2e-05,2e-05,0.0,4.000032000256002e-06,1.0000100001000012e-05,8.000064000512004e-06,1.7000102000612004e-05,1.3000104000832005e-05,1.2376416780258175e-05,8.937609485431311e-06,1.5134240509651568e-05,1.0998099821505881e-05,1.375112208248963e-05
Acaulosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acavomonidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375157420028686e-06,0.0,0.0,0.0,0.0
Acerentomidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0001,0.0,0.00010000100001000009,0.00016,0.00015000000000000001,0.00011,0.00010000100001000009,0.0001600012800102401,0.00015100151001510014,0.00014400115200921608,0.00014400086400518405,0.00014500116000928007,0.00014989215878312678,0.00012100148226430082,0.00015959744537450744,0.00013610148529113528,0.0001519498990115104
Acetomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,1.0000080000640005e-06,1.0000060000360005e-06,0.0,1.375157420028686e-06,0.0,0.0,1.3747624776882351e-06,6.875561041244814e-07
Achnanthaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,4.000032000256002e-06,2.000012000072001e-06,4.000032000256002e-06,0.0,6.875084219562546e-07,2.751680092663921e-06,0.0,6.875561041244814e-07
Achnanthidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000018000108001e-06,0.0,0.0,6.875084219562546e-07,2.063760069497941e-06,6.873812388441177e-07,6.875561041244814e-07
Acholeplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,0.0,3.0000000000000004e-05,1.000010000100001e-05,1.5000120000960009e-05,1.6000160001600015e-05,1.1000088000704007e-05,1.5000090000540005e-05,1.4000112000896008e-05,2.3377676140487664e-05,1.2375151595212582e-05,1.0318800347489705e-05,1.2372862299194118e-05,1.3063565978365149e-05
Acidaminobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
