family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssicoccaceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,3.2371993046497947e-06,,6.5215406487632845e-06,,2.2089635322211897e-06,,2.203579935964105e-06,6.619477149565317e-06
Acanthaceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,6.517354084588744e-06,,,3.2607703243816422e-06,4.413666476879304e-06,2.2089635322211897e-06,,,4.412984766376879e-06
Acanthamoebidae,,,,,,,,,,,,,6.746045131041927e-05,6.781500067815001e-05,,2.2741301452195943e-05,6.517354084588744e-06,1.9423195827898768e-05,1.296890704535955e-05,3.2607703243816422e-06,1.1034166192198261e-05,1.3253781193327138e-05,2.657966257118538e-05,1.542505955174873e-05,1.3238954299130635e-05
Acanthocerataceae,,,,,,,,,,,9.999333377774825e-05,,,0.000169537501695375,,0.0001461940807641168,0.0002085553307068398,8.092998261624488e-05,0.0002950426352819297,0.0001467346645971739,0.000101514328968224,0.0001259109213366078,9.302881899914885e-05,0.0001740828149411643,0.0002074102840197133
Acanthocnemidae,,,,,,,,,,,,,,3.390750033907501e-05,,,,,,,,,,,
Acanthoecidae,,,,,,,,,,,,,,,,,,,,,,,,,4.412984766376879e-06
Acanthopleuribacteraceae,,,,,0.0032894736842105257,,,,,,9.999333377774825e-05,6.64982045484772e-05,3.373022565520964e-05,3.390750033907501e-05,3.317850033178502e-05,3.573633085345076e-05,1.9552062253766234e-05,1.2948797218599179e-05,1.945336056803933e-05,3.912924389257971e-05,4.6343498007232695e-05,2.4298598854433087e-05,3.3224578213981726e-05,1.9832219423676944e-05,2.427141621507283e-05
Acaridae,,,,,,,,,,,,,,,,,,,3.2422267613398885e-06,,,,,2.203579935964105e-06,
Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Acartiidae,,,,,,,,,,,6.666222251849882e-05,,6.746045131041927e-05,3.390750033907501e-05,3.317850033178502e-05,1.949254410188224e-05,5.213883267670995e-05,2.9134793741848154e-05,2.269558732937922e-05,2.6086162595053138e-05,5.0757164484112e-05,1.3253781193327138e-05,7.30940720707598e-05,5.508949839910262e-05,4.8542832430145665e-05
Acaryochloridaceae,,,,,,,,,,,,0.00023274371591967016,6.746045131041927e-05,6.781500067815001e-05,,1.2995029401254826e-05,3.2586770422943726e-05,2.5897594437198357e-05,5.5117854942778086e-05,4.239001421696135e-05,3.9722998291913744e-05,2.871652591887547e-05,4.8729381380506535e-05,3.525727897542567e-05,4.4129847663768784e-05
Acaulosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Acavomonidia,,,,,,,,,,,,,,,,,,,,,4.413666476879304e-06,,,,
Acerentomidae,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacteraceae,,,,,,0.00032754667540124465,0.0013333333333333333,,0.0003414134516899966,,0.00033331111259249407,0.0005319856363878176,0.0005059533848281446,0.00037298250372982505,0.0003317850033178502,0.000519801176050193,0.0004920602333864501,0.00046615669986957046,0.00046688065363294386,0.0004728116970353381,0.0004810896459798442,0.0003887775816709294,0.0005138734763762507,0.0004363088273208927,0.00048763481668464507
Acetomicrobiaceae,,,,,,,,,,,,,,,,,6.517354084588744e-06,3.2371993046497947e-06,3.2422267613398885e-06,,4.413666476879304e-06,,,4.407159871928209e-06,2.206492383188439e-06
Achnanthaceae,,,,,,,,,,,,,,,,,6.517354084588744e-06,1.2948797218599179e-05,6.484453522679777e-06,1.3043081297526569e-05,,2.2089635322211897e-06,8.85988752372846e-06,,2.206492383188439e-06
Achnanthidiaceae,,,,,,,,,,,,,,,,,,,9.726680284019664e-06,,,2.2089635322211897e-06,6.644915642796345e-06,2.203579935964105e-06,2.206492383188439e-06
Acholeplasmataceae,,,,,,,,,,,3.333111125924941e-05,3.32491022742386e-05,,0.00010172250101722502,3.317850033178502e-05,4.87313602547056e-05,5.213883267670995e-05,3.560919235114775e-05,4.863340142009832e-05,4.5650784541342995e-05,7.503233010694817e-05,3.976134357998141e-05,3.3224578213981726e-05,3.966443884735389e-05,4.1923355280580344e-05
Acidaminobacteraceae,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcaceae,,,,,,,,,,,6.666222251849882e-05,,,,6.635700066357004e-05,9.746272050941119e-06,1.9552062253766234e-05,6.474398609299589e-06,2.5937814090719108e-05,1.9564621946289857e-05,1.1034166192198261e-05,1.3253781193327138e-05,1.7719775047456923e-05,2.4239379295605154e-05,8.825969532753756e-06
Acidiferrobacteraceae,,,,,,,,,,0.0003418803418803418,9.999333377774823e-05,0.00023274371591967016,3.373022565520964e-05,0.00020344500203445002,6.635700066357004e-05,0.00012995029401254826,0.00010753634239571427,0.00011330197566274282,0.0001329312972149354,0.00012717004265088406,0.00013461682754481875,0.0001259109213366078,0.00012846836909406268,0.00011238257673416934,0.00013018305060811787
Acidilutibacteraceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,,,3.2607703243816422e-06,,4.4179270644423795e-06,,,4.412984766376879e-06
Acidimicrobiaceae,,,,,,,,,,0.0003418803418803418,3.333111125924941e-05,,3.373022565520964e-05,3.390750033907501e-05,,,9.776031126883117e-06,9.711597913949386e-06,1.6211133806699435e-05,2.6086162595053138e-05,1.1034166192198261e-05,6.626890596663569e-06,4.429943761864231e-06,2.8646539167533367e-05,4.412984766376879e-06
