genus,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Aaosphaeria,,,,,,,,,,,,,,,,3.3147596302056184e-06,6.652541104388353e-06,3.3016158107780017e-06,6.615572395863025e-06,,9.004020295062337e-06,2.253587147341925e-06,,2.247696111485865e-06,4.503419221043871e-06
Abditibacterium,,,,,,,,,,,,,,,,,,,,,,,,,
Abelmoschus,,,,,,,,,,,,,,,,,,,,,,,,,
Abidjanvirus,,,,,,,,,,,,,,,,,,,,,,,,,
Abies,,,,,,,,,,,,,,,,,,,,,,2.253587147341925e-06,,,2.2517096105219352e-06
Abiotrophia,,,,,,,,,,,,,,3.462723778524187e-05,,,,,,,2.251005073765584e-06,2.253587147341925e-06,,2.247696111485865e-06,
Abortiporus,,,,,,,,,,,,,,,,,,,,,,,,,
Abrostola,,,,,,,,,,,,,,,3.390290208841879e-05,9.944278890616855e-06,6.652541104388353e-06,6.603231621556003e-06,3.3077861979315123e-06,1.3310572254778513e-05,1.3506030442593507e-05,2.253587147341925e-06,1.3546066786625484e-05,1.1238480557429324e-05,1.8013676884175482e-05
Abrus,,,,,,,,,,,,3.398124235422047e-05,,,,,,,,,,2.253587147341925e-06,,,
Abscondita,,,,,,,,,,,,,,,,,,,,,,,,,
Absidia,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssalbus,,,,,,,0.00034048348655090226,,0.00035001750087504374,,0.0001707358716066247,0.0003398124235422047,6.896789544467051e-05,0.00027701790228193494,0.00013561160835367516,0.00020220033744254272,0.00017296606871409717,0.00016508079053890006,0.00016538930989657558,0.00017969272543950994,0.0001328092993521695,0.0001352152288405155,0.00011965692328185843,0.0001618341200269823,0.00020715728416801805
Abyssibacter,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssibius,,,,,,,,,0.0007000350017500875,,0.0004097660918558989,0.0003058311811879843,0.00017241973861167626,0.0002077634267114512,0.0004407377271494438,0.0002585512511560382,0.00022286012699700985,0.0002905421913484641,0.0002348528200531373,0.00020964151301276152,0.00027237161392563574,0.0002614161090916633,0.00031155953609238613,0.00027646662171276136,0.0001913953168943645
Abyssicoccus,,,,,,,,,,,,,,,,3.3147596302056184e-06,,3.3016158107780017e-06,,6.655286127389256e-06,,2.253587147341925e-06,,2.247696111485865e-06,6.755128831565807e-06
Abyssisolibacter,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthamoeba,,,,,,,,,,,,,6.896789544467051e-05,6.925447557048373e-05,,2.3203317411439327e-05,6.652541104388353e-06,1.980969486466801e-05,1.3231144791726046e-05,3.327643063694628e-06,1.1255025368827923e-05,1.352152288405155e-05,2.709213357325096e-05,1.573387278040105e-05,1.3510257663131614e-05
Acanthephyra,,,,,,,,,,,,,,,,,,,,,2.251005073765584e-06,,,4.49539222297173e-06,
Acanthoceras,,,,,,,,,,,0.00010244152296397485,,,0.00017313618892620934,,0.00014916418335925283,0.0002128813153404273,8.254039526945006e-05,0.00030100854401176745,0.00014974393786625827,0.00010354623339321689,0.00012845446739848972,9.482246750637837e-05,0.00017756799280738334,0.00021166070338906194
Acanthocheilonema,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocnemus,,,,,,,,,,,,,,3.462723778524187e-05,,,,,,,,,,,
Acanthocyclops,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthodendrilla,,,,,,,,,,,,,,,,3.3147596302056184e-06,,,,,,,,,
Acanthophora,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthopleuribacter,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthoscelides,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthotrema,,,,,,,,,,,,,,,,3.3147596302056184e-06,,,,,,,,,
Acanvirus,,,,,,,,,,,,,,,,,,,,,,,,,
Acaricomes,,,,,,,,,,,,,,,,,,,,,,,,,
Acaromyces,,,,,,,,,,,,,,,,,3.3262705521941765e-06,3.3016158107780017e-06,,3.327643063694628e-06,2.251005073765584e-06,2.253587147341925e-06,4.5153555955418275e-06,2.247696111485865e-06,6.755128831565807e-06
Acarospora,,,,,,,,,,,,,,,,,,,,,,,,,
